userid	birthdate	profileLevel	gender	updatedTime
32869	1973-08-04	2	1	2022-01-16 21:39:20.773
34724	1989-12-18	3	2	2022-01-16 08:34:36.296
13325	2008-12-20	1	1	2022-01-16 07:37:22.257
21846	2007-04-21	3	1	2022-01-16 10:15:26.395
12257	1993-11-02	2	1	2022-01-16 19:45:06.729
17075	2006-04-05	1	1	2022-01-16 03:39:02.116
1892	2009-11-16	1	2	2022-01-16 02:30:12.548
16240	1986-05-13	1	1	2022-01-16 15:44:49.883
1296	1993-12-12	1	2	2022-01-16 14:20:40.326
28921	1997-09-14	2	1	2022-01-16 15:01:55.369
31393	1962-11-12	1	2	2022-01-16 13:52:49.925
27306	1965-01-27	2	1	2022-01-16 23:25:35.075
27514	1963-05-26	3	1	2022-01-16 01:53:03.522
15541	1952-06-02	3	1	2022-01-16 17:44:54.766
8749	2002-03-07	2	1	2022-01-16 16:21:15.133
38801	1962-07-10	3	2	2022-01-16 22:31:00.038
41840	2000-07-30	1	2	2022-01-16 08:02:03.416
14945	1995-06-27	1	1	2022-01-16 09:34:50.755
6227	1986-06-27	3	2	2022-01-16 09:22:17.116
20968	1982-09-23	1	1	2022-01-16 21:01:56.212
33481	1996-09-24	3	1	2022-01-16 17:52:15.328
18181	1972-05-22	3	2	2022-01-16 10:48:22.668
2592	1950-02-05	1	2	2022-01-16 15:43:19.567
33233	2009-05-13	2	1	2022-01-16 19:58:15.362
30659	1958-04-21	1	1	2022-01-16 21:25:14.963
3535	1952-01-13	3	2	2022-01-16 13:20:46.711
1214	1986-07-23	2	1	2022-01-16 15:51:19.729
36969	1961-05-03	3	1	2022-01-16 20:39:24.854
30358	1960-07-24	1	2	2022-01-16 11:06:45.989
12693	1980-10-07	2	1	2022-01-16 23:13:37.526
9963	1972-08-31	2	2	2022-01-16 00:16:41.226
8072	1986-07-30	2	2	2022-01-16 09:56:31.708
40492	1988-11-11	2	1	2022-01-16 04:16:51.866
28958	2005-02-28	1	2	2022-01-16 18:54:04.276
9408	2005-09-21	3	1	2022-01-16 14:11:55.312
27555	1964-08-31	3	1	2022-01-16 21:59:52.608
28243	2008-06-16	2	2	2022-01-16 10:05:01.872
6463	1981-08-23	3	2	2022-01-16 13:46:02.008
24931	1971-10-04	2	1	2022-01-16 04:26:03.314
42174	1967-07-17	1	2	2022-01-16 19:40:15.390
36842	1996-12-08	1	1	2022-01-16 18:51:13.981
15247	1994-07-29	3	1	2022-01-16 21:43:10.337
23375	1973-10-29	1	2	2022-01-16 21:18:07.330
10641	1999-06-22	2	1	2022-01-16 10:20:18.832
43272	1986-08-26	1	2	2022-01-16 15:30:17.065
26914	1989-09-11	1	1	2022-01-16 20:41:27.709
5797	2002-06-11	1	1	2022-01-16 06:25:25.389
34350	1983-08-12	2	2	2022-01-16 16:17:56.747
15043	1984-02-16	3	1	2022-01-16 06:56:38.502
37404	1965-12-25	2	1	2022-01-16 03:20:23.054
38700	1966-01-23	1	2	2022-01-16 19:00:42.160
28500	1959-08-09	3	1	2022-01-16 18:10:46.459
23505	2000-03-30	3	1	2022-01-16 07:55:52.020
33851	1976-03-25	1	2	2022-01-16 09:16:19.281
995	1997-07-24	2	1	2022-01-16 18:11:20.860
34107	1968-07-14	2	1	2022-01-16 12:00:48.619
14642	1971-10-07	2	2	2022-01-16 18:48:10.745
434	2002-04-11	3	2	2022-01-16 23:08:09.651
33085	1984-08-11	1	1	2022-01-16 06:34:24.030
5144	1987-03-14	1	1	2022-01-16 23:40:58.010
22897	2001-09-24	1	1	2022-01-16 12:47:57.666
21697	1952-08-18	3	1	2022-01-16 07:23:28.766
11173	1952-06-11	1	2	2022-01-16 09:14:14.705
12538	1952-09-07	3	1	2022-01-16 12:04:10.181
41658	1992-05-16	1	1	2022-01-16 20:54:19.044
4946	2008-08-02	1	2	2022-01-16 08:39:31.034
40682	1953-07-27	1	2	2022-01-16 08:19:01.753
21567	2008-11-08	1	1	2022-01-16 06:17:09.147
41029	1987-05-12	3	1	2022-01-16 17:28:39.924
2158	1994-03-16	1	1	2022-01-16 02:06:31.906
29565	1996-01-24	3	1	2022-01-16 08:28:14.690
1026	1973-07-17	1	1	2022-01-16 02:25:29.029
3753	1984-05-16	1	2	2022-01-16 13:05:20.713
3710	1982-05-18	3	2	2022-01-16 14:36:30.738
16271	1972-11-04	2	1	2022-01-16 18:40:13.703
17044	1996-02-10	3	2	2022-01-16 03:16:53.155
23730	1964-04-06	3	2	2022-01-16 22:07:39.526
41195	2009-07-22	2	2	2022-01-16 15:10:01.841
12533	1965-07-01	1	1	2022-01-16 09:24:07.007
11449	1974-12-13	3	2	2022-01-16 11:17:22.654
29731	1991-08-24	3	2	2022-01-16 20:21:49.901
5746	1968-08-16	2	1	2022-01-16 06:11:13.456
30912	2000-07-26	1	2	2022-01-16 04:06:31.143
10843	1956-11-24	1	2	2022-01-16 11:27:58.267
44581	1968-03-03	1	2	2022-01-16 06:58:33.533
6681	1951-08-15	1	1	2022-01-16 09:53:31.485
34215	1975-02-19	3	1	2022-01-16 10:32:36.123
41675	1977-07-31	3	2	2022-01-16 13:07:49.608
30710	1950-05-24	1	1	2022-01-16 08:07:33.668
44085	1975-12-17	1	2	2022-01-16 00:12:07.236
21689	2008-03-22	2	2	2022-01-16 14:08:41.315
9938	1962-03-30	3	2	2022-01-16 02:17:04.558
10673	1985-01-25	2	2	2022-01-16 07:37:53.412
20867	1968-12-24	1	2	2022-01-16 07:34:04.463
34405	1964-02-28	2	1	2022-01-16 01:55:17.313
216	1978-11-20	3	1	2022-01-16 16:31:18.056
39171	1977-05-25	2	2	2022-01-16 15:27:24.081
11184	1953-12-13	2	2	2022-01-16 13:46:17.076
34631	2004-05-01	2	2	2022-01-16 14:28:39.222
33590	1954-05-25	1	1	2022-01-16 08:45:45.044
13231	1988-01-10	2	1	2022-01-16 22:24:03.547
36068	2008-11-30	1	1	2022-01-16 05:06:16.328
44000	1956-10-21	2	2	2022-01-16 20:43:49.877
15919	1969-03-31	2	2	2022-01-16 13:24:10.309
33009	1959-06-01	2	2	2022-01-16 12:59:31.278
7009	1991-09-26	2	2	2022-01-16 15:06:13.802
21200	1974-02-02	2	1	2022-01-16 22:34:25.174
25125	1980-08-17	3	1	2022-01-16 09:22:47.482
41122	1971-10-12	2	2	2022-01-16 23:41:36.698
3655	1951-02-19	1	1	2022-01-16 13:55:27.847
22243	1999-07-11	2	2	2022-01-16 02:03:55.674
8218	2004-02-29	3	2	2022-01-16 08:30:26.569
8646	1955-07-12	1	1	2022-01-16 12:53:11.719
12850	1960-08-30	1	1	2022-01-16 05:32:01.379
29705	2001-05-10	1	1	2022-01-16 03:33:48.213
35832	1962-05-28	1	1	2022-01-16 04:51:05.128
43448	1964-09-06	2	1	2022-01-16 07:50:30.856
12276	1959-08-13	2	2	2022-01-16 20:43:07.907
23459	1986-01-31	2	1	2022-01-16 04:41:37.901
39767	1952-07-13	2	2	2022-01-16 08:06:58.347
20734	1973-10-17	2	2	2022-01-16 12:12:35.179
28041	1999-10-22	3	2	2022-01-16 12:39:32.809
28564	1958-05-28	1	1	2022-01-16 06:13:27.501
38156	1994-03-03	2	1	2022-01-16 05:42:06.578
42239	1983-01-25	1	1	2022-01-16 21:01:31.361
6788	1952-02-12	2	2	2022-01-16 11:13:31.483
24542	2009-12-02	3	2	2022-01-16 00:25:04.199
32115	1985-12-07	2	1	2022-01-16 20:05:04.613
26663	1984-04-08	2	2	2022-01-16 02:05:53.801
565	1996-04-04	3	2	2022-01-16 08:34:24.158
9380	1988-06-25	1	1	2022-01-16 05:20:53.750
39933	2000-05-24	1	2	2022-01-16 19:23:20.822
16317	1984-11-08	1	1	2022-01-16 22:30:13.222
34680	1988-08-29	2	1	2022-01-16 21:38:20.644
7954	1998-12-10	2	2	2022-01-16 20:55:51.858
40217	1971-04-29	2	1	2022-01-16 05:08:35.605
18899	2007-07-24	1	1	2022-01-16 16:05:54.967
1952	1996-10-14	2	2	2022-01-16 19:35:13.078
25968	2005-04-15	1	2	2022-01-16 12:35:14.263
533	1984-11-19	1	2	2022-01-16 22:04:35.009
19180	1971-12-24	3	1	2022-01-16 07:29:38.628
16253	2007-01-06	3	2	2022-01-16 20:23:33.648
2782	2003-12-16	3	1	2022-01-16 14:03:12.305
44438	1977-10-10	2	2	2022-01-16 11:56:54.693
5376	1953-03-31	2	2	2022-01-16 13:32:06.698
24433	1976-07-01	2	2	2022-01-16 23:43:34.004
42460	1973-06-10	3	2	2022-01-16 10:43:21.101
26935	1956-09-13	1	2	2022-01-16 08:19:43.479
22495	1952-07-25	3	1	2022-01-16 16:26:50.600
11482	1977-10-27	2	1	2022-01-16 03:24:07.733
14431	2006-05-10	1	1	2022-01-16 20:51:27.182
2635	1970-07-02	3	2	2022-01-16 16:49:04.560
30990	1998-12-01	1	1	2022-01-16 20:58:26.843
17131	1968-05-13	1	1	2022-01-16 06:14:22.709
41259	1960-10-25	2	1	2022-01-16 06:30:08.632
30403	1961-01-11	3	1	2022-01-16 18:05:51.648
41074	1953-07-19	2	2	2022-01-16 07:38:07.214
19556	1986-03-05	2	2	2022-01-16 20:49:48.242
39357	1959-12-26	2	2	2022-01-16 18:44:28.100
12114	1975-04-18	1	1	2022-01-16 02:25:42.362
18008	1977-07-25	2	1	2022-01-16 13:45:50.073
12954	1980-12-09	1	2	2022-01-16 02:42:14.681
44166	1996-02-03	3	2	2022-01-16 07:44:45.216
34999	1974-12-19	1	2	2022-01-16 14:34:41.249
33413	1992-01-23	1	1	2022-01-16 04:08:13.868
28340	1990-11-08	1	2	2022-01-16 17:24:00.581
14562	1977-11-12	2	2	2022-01-16 02:55:59.405
25282	1978-05-19	3	1	2022-01-16 18:11:14.843
32446	1958-03-18	2	2	2022-01-16 12:49:55.155
10521	1980-05-29	2	2	2022-01-16 11:24:56.052
35506	1950-08-31	1	2	2022-01-16 10:54:36.477
12755	2004-11-06	2	2	2022-01-16 23:55:00.445
25630	1986-01-17	1	1	2022-01-16 21:55:12.160
8420	1969-07-31	1	2	2022-01-16 22:20:19.927
10650	1979-11-30	2	1	2022-01-16 06:00:11.902
17238	1988-05-28	1	1	2022-01-16 08:17:16.133
29168	1953-04-15	3	2	2022-01-16 11:56:15.438
24701	1982-05-20	2	1	2022-01-16 10:02:33.155
27524	1980-06-25	3	1	2022-01-16 13:44:36.553
43589	1963-05-12	2	1	2022-01-16 04:19:34.590
19730	1972-05-27	1	2	2022-01-16 12:35:38.149
23625	1983-06-25	1	1	2022-01-16 11:18:25.447
42207	1954-09-15	2	2	2022-01-16 16:25:23.370
33466	1978-07-03	2	2	2022-01-16 12:13:00.906
17678	1997-04-18	3	1	2022-01-16 06:40:24.900
11608	2008-04-03	1	1	2022-01-16 13:38:49.046
42041	1970-12-24	3	1	2022-01-16 05:53:05.863
4234	1992-09-27	2	1	2022-01-16 13:13:05.234
36364	2005-04-25	1	1	2022-01-16 22:11:19.944
34828	2006-08-04	2	1	2022-01-16 03:46:54.473
5404	2008-05-31	1	2	2022-01-16 13:19:20.952
4283	1984-09-10	1	1	2022-01-16 04:12:32.407
13085	1957-02-09	1	2	2022-01-16 18:40:16.453
43187	1971-11-25	2	2	2022-01-16 15:37:17.692
7535	2003-11-02	1	2	2022-01-16 19:38:42.525
41799	1997-10-19	1	2	2022-01-16 07:22:10.222
41611	1958-11-26	1	2	2022-01-16 02:41:20.670
12125	1968-06-26	1	2	2022-01-16 02:29:53.424
10685	1963-05-31	3	2	2022-01-16 18:23:34.833
38197	1973-10-11	1	1	2022-01-16 02:29:54.890
37841	1964-09-15	3	2	2022-01-16 07:24:39.678
16456	1961-05-31	3	1	2022-01-16 05:05:29.518
5342	1957-10-23	2	2	2022-01-16 13:20:58.208
10004	1960-07-28	2	1	2022-01-16 14:00:16.529
21710	1966-10-13	3	1	2022-01-16 09:24:27.948
12533	1987-11-26	1	1	2022-01-16 15:20:27.406
32242	1976-07-13	2	1	2022-01-16 17:01:16.645
38166	1975-01-02	2	1	2022-01-16 22:26:59.081
28646	1951-10-11	2	1	2022-01-16 04:20:19.698
42422	1953-01-31	3	2	2022-01-16 16:54:26.156
27198	1990-03-03	2	1	2022-01-16 10:22:13.232
34927	1989-01-26	2	1	2022-01-16 18:27:16.591
6191	1961-10-01	2	1	2022-01-16 00:01:22.052
21029	1994-12-16	3	1	2022-01-16 06:32:57.811
8152	1990-12-30	2	2	2022-01-16 08:38:08.137
17790	1955-01-30	3	1	2022-01-16 15:11:39.412
