userid	birthdate	profileLevel	gender	updatedTime
11563	2002-06-27	1	2	2022-01-18 21:16:12.136
25656	1972-06-02	2	2	2022-01-18 15:31:13.486
5843	1992-10-01	3	1	2022-01-18 05:28:18.980
10977	1952-09-04	3	2	2022-01-18 05:58:29.989
15023	1955-10-27	1	2	2022-01-18 19:38:23.256
13587	2007-11-23	2	2	2022-01-18 03:35:17.422
34130	2003-04-02	1	1	2022-01-18 06:05:51.902
16438	1988-01-15	1	2	2022-01-18 01:13:55.337
42585	1986-02-21	2	1	2022-01-18 15:58:24.280
38863	1998-10-07	1	1	2022-01-18 06:13:48.954
11541	1997-01-09	2	1	2022-01-18 01:06:17.560
34547	1980-01-04	1	2	2022-01-18 01:21:20.104
24099	1993-07-20	3	2	2022-01-18 15:47:28.800
37248	1960-03-20	2	1	2022-01-18 14:28:22.948
17578	1997-08-06	1	1	2022-01-18 18:15:42.937
16877	1970-10-03	1	1	2022-01-18 04:27:13.626
36472	2009-09-14	2	1	2022-01-18 05:00:45.275
8567	1996-04-30	1	1	2022-01-18 14:43:43.095
3487	1962-08-25	1	1	2022-01-18 08:24:46.876
43049	1960-09-16	2	1	2022-01-18 11:28:38.360
11787	2008-10-18	1	1	2022-01-18 21:19:01.068
10457	1983-06-10	3	2	2022-01-18 01:20:32.459
16624	1981-06-10	1	2	2022-01-18 22:54:08.327
26459	1981-08-13	2	1	2022-01-18 03:07:37.258
11243	1969-05-02	3	2	2022-01-18 16:43:07.743
13827	1976-04-13	2	2	2022-01-18 07:49:05.298
16429	1950-11-16	2	1	2022-01-18 13:48:51.145
8027	2003-11-01	2	2	2022-01-18 20:38:23.421
36625	1955-07-02	3	1	2022-01-18 21:59:05.234
11479	1984-04-11	2	1	2022-01-18 16:14:47.207
36803	1972-03-14	2	1	2022-01-18 18:24:49.300
36765	1989-10-07	3	2	2022-01-18 00:59:38.386
5366	1951-06-06	1	1	2022-01-18 16:13:38.086
34224	1971-02-13	1	1	2022-01-18 06:58:12.181
22991	1988-09-01	2	1	2022-01-18 02:42:07.348
20849	2008-11-03	2	1	2022-01-18 16:39:40.197
12285	1977-07-25	1	2	2022-01-18 18:50:23.704
5569	1971-11-07	1	2	2022-01-18 22:55:56.546
1063	1951-09-05	2	1	2022-01-18 21:40:59.996
8164	1966-04-25	3	2	2022-01-18 23:29:42.589
17810	2008-12-13	3	1	2022-01-18 03:45:03.942
1919	2005-08-22	2	2	2022-01-18 13:56:04.337
15399	1992-06-01	2	1	2022-01-18 16:44:54.211
2339	1965-05-14	3	2	2022-01-18 14:27:37.605
44009	1950-02-08	2	1	2022-01-18 07:36:42.692
42143	1998-08-05	1	1	2022-01-18 09:04:09.892
9798	2000-03-01	3	1	2022-01-18 05:16:52.755
23684	1965-03-16	3	1	2022-01-18 10:34:36.538
8457	1960-04-27	3	1	2022-01-18 08:26:38.601
19393	1966-11-21	2	2	2022-01-18 10:47:57.511
6143	1979-11-02	1	1	2022-01-18 09:56:53.089
28902	1981-06-11	2	1	2022-01-18 23:53:35.132
17802	1967-08-22	2	1	2022-01-18 08:04:53.759
11324	1991-07-28	3	2	2022-01-18 14:45:42.234
37763	1950-08-20	2	1	2022-01-18 06:46:12.702
41705	1980-07-21	1	1	2022-01-18 05:26:33.002
2512	1984-12-10	2	2	2022-01-18 01:48:15.982
30424	1996-07-11	1	1	2022-01-18 03:58:38.528
12487	2009-04-29	3	1	2022-01-18 06:51:08.146
7315	1986-12-16	1	1	2022-01-18 02:03:00.149
36306	1967-08-21	1	2	2022-01-18 13:33:17.547
22706	1978-09-15	3	2	2022-01-18 09:39:41.294
29444	1995-06-24	1	2	2022-01-18 01:13:38.123
33209	1955-08-08	2	1	2022-01-18 10:55:25.516
32293	1971-10-25	1	2	2022-01-18 01:19:44.224
35559	1953-09-22	1	1	2022-01-18 19:12:02.484
10346	1998-06-08	1	2	2022-01-18 00:12:04.106
39054	1971-10-04	3	2	2022-01-18 12:37:20.350
44277	1953-04-18	3	1	2022-01-18 11:12:54.836
30260	1969-09-28	3	1	2022-01-18 01:21:21.789
744	1983-08-16	2	2	2022-01-18 07:14:54.117
8600	1969-12-15	1	1	2022-01-18 01:54:13.651
29882	1954-04-09	1	2	2022-01-18 17:38:43.944
9103	1997-04-16	2	2	2022-01-18 11:35:06.453
38636	1986-02-24	3	1	2022-01-18 22:00:16.207
10190	1972-12-05	3	1	2022-01-18 09:12:08.148
9020	1952-05-26	1	1	2022-01-18 11:24:03.578
35687	1963-07-03	1	2	2022-01-18 07:33:35.574
16758	1970-07-12	1	1	2022-01-18 01:48:30.847
14063	1963-05-03	1	2	2022-01-18 01:37:01.843
32534	1983-02-06	2	2	2022-01-18 04:14:23.335
33682	1966-03-03	3	2	2022-01-18 18:35:23.112
31267	1994-06-18	2	1	2022-01-18 23:43:23.726
6915	1958-10-22	1	1	2022-01-18 21:10:30.256
21720	1968-05-24	3	2	2022-01-18 20:10:14.322
41089	1986-12-28	1	2	2022-01-18 03:38:59.953
29438	1993-11-07	3	2	2022-01-18 02:58:07.666
26101	1957-10-08	3	1	2022-01-18 17:46:09.051
41436	1989-09-13	1	1	2022-01-18 23:38:35.480
4620	1978-11-01	3	1	2022-01-18 06:56:33.829
20606	1994-02-02	3	1	2022-01-18 15:20:56.439
9406	1953-12-09	3	2	2022-01-18 00:27:31.877
37355	1964-03-06	1	2	2022-01-18 05:31:48.598
5013	1965-03-05	1	1	2022-01-18 09:37:35.126
23228	1993-08-04	2	2	2022-01-18 11:25:56.518
23541	1997-03-03	2	1	2022-01-18 19:12:17.542
27334	1985-06-25	3	2	2022-01-18 06:24:44.015
22824	1973-10-16	2	1	2022-01-18 15:03:00.082
4723	1979-04-16	3	2	2022-01-18 01:15:48.983
22896	1990-04-30	1	1	2022-01-18 12:44:26.753
24601	2004-10-22	3	1	2022-01-18 00:46:12.938
41990	1953-02-19	3	2	2022-01-18 15:24:45.423
33470	2008-09-17	2	2	2022-01-18 01:23:00.116
23049	1962-08-01	1	1	2022-01-18 15:17:02.756
30583	2006-02-01	3	1	2022-01-18 06:39:38.941
26004	1987-04-09	2	1	2022-01-18 02:50:34.865
26140	1996-04-24	1	1	2022-01-18 12:36:17.698
9934	1960-12-05	1	2	2022-01-18 17:07:09.108
27027	2000-09-19	3	1	2022-01-18 12:02:37.817
5784	2000-02-01	3	2	2022-01-18 10:56:45.207
40910	1973-05-14	2	2	2022-01-18 03:12:02.471
36828	1954-05-17	2	1	2022-01-18 16:09:03.403
2067	1968-04-22	1	2	2022-01-18 06:12:57.551
43912	1981-06-25	3	1	2022-01-18 08:20:30.015
37403	1974-01-22	3	1	2022-01-18 21:35:53.519
38362	1989-12-12	3	1	2022-01-18 07:43:07.711
23104	1978-12-24	2	2	2022-01-18 01:06:59.997
41721	1997-05-04	3	1	2022-01-18 20:51:35.802
38021	1958-02-01	1	1	2022-01-18 07:09:03.081
40007	1959-06-12	2	2	2022-01-18 10:20:14.349
2782	1962-08-18	2	2	2022-01-18 03:47:51.976
31958	1977-10-02	1	1	2022-01-18 00:00:52.918
21742	1988-09-25	2	2	2022-01-18 18:52:59.579
7022	1987-03-24	3	1	2022-01-18 12:08:25.996
7541	1974-06-26	3	2	2022-01-18 01:35:50.412
12083	1999-08-09	3	1	2022-01-18 11:57:21.632
26278	1972-08-22	1	1	2022-01-18 02:34:47.706
10610	2005-10-21	1	1	2022-01-18 22:24:35.103
44173	1967-09-03	2	2	2022-01-18 19:38:46.578
34705	1959-10-28	2	1	2022-01-18 08:57:49.248
37457	1972-12-01	2	2	2022-01-18 11:52:27.001
33286	1964-03-24	2	1	2022-01-18 17:36:25.087
40382	1950-05-24	1	1	2022-01-18 11:00:13.892
44923	1975-06-16	2	1	2022-01-18 13:12:12.155
12002	1997-04-07	3	1	2022-01-18 02:47:59.904
41477	1953-08-20	3	1	2022-01-18 13:59:23.048
