userid	birthdate	profileLevel	gender	updatedTime
2064	1972-10-03	1	2	2022-01-19 12:27:41.034
19411	1954-06-18	2	1	2022-01-19 04:47:55.891
27125	1991-01-18	2	2	2022-01-19 01:40:06.656
10181	1958-02-28	2	2	2022-01-19 21:36:15.789
43813	2006-01-21	3	1	2022-01-19 02:11:32.302
4001	1956-06-16	2	1	2022-01-19 07:43:15.327
44084	1957-01-18	2	2	2022-01-19 11:59:23.218
35474	1982-04-01	2	1	2022-01-19 03:51:57.028
31200	1967-04-28	2	2	2022-01-19 12:55:42.157
8060	1995-03-10	3	1	2022-01-19 22:42:58.173
43548	1988-07-03	1	1	2022-01-19 14:41:26.853
6248	1975-10-28	1	2	2022-01-19 03:33:46.667
39601	1972-10-31	3	2	2022-01-19 21:23:41.097
28551	1963-02-21	1	1	2022-01-19 03:32:13.360
39746	1977-02-18	1	2	2022-01-19 13:03:37.348
14992	1956-09-18	2	2	2022-01-19 17:52:56.449
33616	1979-11-24	1	1	2022-01-19 04:54:57.836
13768	1967-10-26	2	2	2022-01-19 23:01:56.113
33743	1993-11-20	3	2	2022-01-19 22:18:53.739
37910	1980-02-12	2	2	2022-01-19 15:34:58.747
41969	1965-09-07	2	2	2022-01-19 17:13:08.359
39399	1994-09-12	1	1	2022-01-19 23:16:55.742
39140	1955-10-25	1	2	2022-01-19 16:29:33.385
29364	1956-03-08	1	1	2022-01-19 08:31:31.771
19555	1952-07-07	2	2	2022-01-19 20:43:24.569
7933	1996-11-09	2	1	2022-01-19 22:40:39.980
19044	1995-03-10	2	2	2022-01-19 17:06:06.972
13131	1987-05-22	2	1	2022-01-19 20:32:58.966
15756	1975-12-08	1	2	2022-01-19 06:29:29.376
32894	1965-05-12	3	1	2022-01-19 06:55:59.809
1198	1970-12-27	3	2	2022-01-19 23:42:55.232
32399	1963-06-30	2	1	2022-01-19 16:40:44.400
14632	1968-01-09	1	1	2022-01-19 22:21:06.628
20473	1951-06-16	2	1	2022-01-19 10:26:05.033
26445	1999-08-30	2	1	2022-01-19 13:13:23.509
13948	1980-01-13	2	2	2022-01-19 20:51:23.632
38135	1960-08-22	3	1	2022-01-19 03:28:21.220
39107	1983-06-21	2	1	2022-01-19 11:50:46.621
7682	1993-09-13	1	2	2022-01-19 02:01:44.455
20743	1965-07-28	2	2	2022-01-19 06:52:37.965
11272	1951-03-26	2	2	2022-01-19 15:48:40.609
39714	1976-10-09	2	2	2022-01-19 14:56:27.243
33596	1972-01-31	3	1	2022-01-19 09:46:47.886
40450	1976-01-31	1	2	2022-01-19 08:07:12.238
24198	1978-08-15	3	1	2022-01-19 02:03:52.177
6461	1971-03-08	1	1	2022-01-19 04:51:07.448
23137	1968-06-15	3	1	2022-01-19 21:55:34.140
32266	1962-04-15	1	2	2022-01-19 13:05:05.697
20612	1956-05-09	2	1	2022-01-19 20:58:39.254
43045	1996-01-06	1	1	2022-01-19 17:21:01.317
5702	1973-10-13	3	2	2022-01-19 23:36:18.045
2135	2007-12-21	1	2	2022-01-19 13:28:00.405
28382	1977-05-04	3	2	2022-01-19 18:31:25.147
37369	1997-05-09	2	1	2022-01-19 09:21:27.944
5443	2004-03-25	2	1	2022-01-19 07:00:15.261
42631	1957-12-21	1	2	2022-01-19 09:09:35.229
30376	1959-02-07	3	2	2022-01-19 16:45:33.273
24457	1996-06-03	2	1	2022-01-19 16:04:19.389
43400	1989-10-01	3	1	2022-01-19 09:17:18.820
41964	2009-10-04	1	2	2022-01-19 10:32:54.693
10155	1985-12-22	1	2	2022-01-19 02:14:00.255
6860	1960-12-17	1	1	2022-01-19 10:51:40.894
6460	1950-11-09	3	1	2022-01-19 07:28:34.030
2443	1981-12-20	1	2	2022-01-19 22:08:37.632
18499	2005-07-22	1	1	2022-01-19 18:29:09.557
11603	1955-11-19	2	1	2022-01-19 09:23:21.936
37561	2007-10-22	2	1	2022-01-19 08:14:41.878
40251	1990-03-02	3	1	2022-01-19 01:14:38.329
20139	1967-04-09	2	1	2022-01-19 19:35:58.103
35274	1981-01-19	1	1	2022-01-19 15:06:36.111
4876	1997-06-10	3	1	2022-01-19 00:13:42.719
27133	1967-10-10	1	1	2022-01-19 14:06:01.452
21812	1975-04-16	1	2	2022-01-19 17:30:19.794
11383	1957-07-04	1	1	2022-01-19 12:33:07.905
9241	2003-01-21	1	1	2022-01-19 17:41:50.306
34615	1952-08-07	2	2	2022-01-19 21:12:13.713
1978	1964-09-22	2	2	2022-01-19 04:41:01.411
2784	1979-10-27	3	2	2022-01-19 00:46:17.593
7350	1986-04-01	2	2	2022-01-19 01:33:59.309
15215	1970-06-01	3	2	2022-01-19 04:03:43.484
17437	1968-11-01	2	1	2022-01-19 12:18:05.682
31249	1979-08-27	1	2	2022-01-19 20:02:04.050
15126	1997-01-26	2	2	2022-01-19 10:13:24.708
977	1995-02-15	1	2	2022-01-19 04:57:35.793
24173	1986-09-05	3	1	2022-01-19 12:40:46.080
7786	1963-12-28	2	2	2022-01-19 04:31:36.298
20022	1952-09-24	2	1	2022-01-19 11:55:02.074
33418	1987-01-15	3	1	2022-01-19 18:32:43.878
37563	1978-10-21	1	2	2022-01-19 15:50:30.158
4720	1975-09-06	2	1	2022-01-19 20:10:30.628
30140	1982-03-19	2	1	2022-01-19 17:38:47.093
25651	1964-12-05	1	1	2022-01-19 06:07:34.942
27056	1991-08-17	3	1	2022-01-19 02:08:51.045
26360	1973-04-13	3	2	2022-01-19 01:26:36.061
32959	1988-02-07	2	1	2022-01-19 03:55:06.398
42647	1963-03-22	3	1	2022-01-19 15:20:35.632
41903	1958-02-16	1	2	2022-01-19 20:42:01.554
33201	1988-07-18	2	2	2022-01-19 01:38:19.938
43157	1955-04-16	1	1	2022-01-19 21:42:11.017
13001	1995-12-06	1	1	2022-01-19 22:38:44.808
37574	1968-02-07	1	2	2022-01-19 04:24:35.587
17415	1977-02-15	2	2	2022-01-19 21:35:29.221
81	1993-12-12	1	2	2022-01-19 00:10:54.791
9099	1970-01-06	2	1	2022-01-19 08:03:34.846
7314	1968-08-27	3	1	2022-01-19 19:53:59.488
35215	1978-12-11	2	1	2022-01-19 02:48:39.563
35788	1964-11-28	3	2	2022-01-19 06:30:26.464
13386	1995-02-25	3	1	2022-01-19 00:37:43.365
32214	1992-02-08	3	1	2022-01-19 19:16:04.544
9881	1952-01-29	1	1	2022-01-19 04:03:26.711
28333	1996-08-15	2	1	2022-01-19 00:16:59.135
32985	1983-10-01	1	1	2022-01-19 21:33:53.837
909	1961-03-23	3	2	2022-01-19 15:28:53.461
18486	1965-07-09	2	1	2022-01-19 19:34:21.652
29537	1975-04-24	1	2	2022-01-19 17:03:52.979
27062	1958-07-04	3	1	2022-01-19 06:21:16.410
35431	1960-08-10	2	1	2022-01-19 20:54:40.175
18367	1977-07-07	2	1	2022-01-19 09:21:05.285
33993	1999-03-08	3	1	2022-01-19 07:04:55.799
6982	1953-03-29	1	1	2022-01-19 08:47:55.791
37473	1959-12-01	3	1	2022-01-19 00:58:48.788
9816	1970-03-28	3	2	2022-01-19 19:33:52.295
27631	2004-07-01	3	1	2022-01-19 00:55:10.096
20246	2007-04-05	3	1	2022-01-19 07:25:06.400
12203	1976-07-10	2	2	2022-01-19 09:36:57.125
40213	2005-04-11	3	1	2022-01-19 18:18:14.965
31893	1959-08-27	1	1	2022-01-19 09:42:44.727
17662	1993-07-30	3	1	2022-01-19 17:43:13.741
16990	1995-11-24	3	2	2022-01-19 10:09:29.649
26913	1953-02-26	3	2	2022-01-19 07:23:34.669
19226	1992-07-29	1	1	2022-01-19 19:19:43.102
39763	2005-11-14	2	2	2022-01-19 03:56:06.961
