userid	birthdate	profileLevel	gender	updatedTime
9238	1965-02-02	3	2	2022-01-21 17:23:31.244
441	1971-11-13	3	2	2022-01-21 15:00:08.041
17077	1992-02-13	1	1	2022-01-21 09:11:28.981
17228	1975-09-24	3	2	2022-01-21 05:08:08.562
14174	2009-08-09	2	2	2022-01-21 11:38:39.267
2144	1958-05-06	3	1	2022-01-21 17:29:59.200
38131	2003-06-24	3	1	2022-01-21 01:19:45.593
19237	1992-04-21	2	1	2022-01-21 23:27:42.876
19696	1980-10-07	2	1	2022-01-21 20:35:22.820
28861	1959-05-17	1	2	2022-01-21 09:17:04.614
6083	1958-07-29	3	2	2022-01-21 23:43:38.960
12672	1976-08-27	1	1	2022-01-21 14:24:27.536
5385	1977-01-18	1	1	2022-01-21 15:56:11.387
15875	1972-06-17	1	1	2022-01-21 06:27:02.161
4848	1952-09-02	1	2	2022-01-21 20:52:41.373
4177	1956-01-03	3	2	2022-01-21 10:06:55.370
41626	2005-08-19	1	1	2022-01-21 04:50:44.010
30916	1972-10-28	1	1	2022-01-21 19:27:49.779
18262	1968-06-22	2	1	2022-01-21 16:19:12.983
26451	2004-02-25	2	1	2022-01-21 14:06:20.710
12321	1995-02-10	2	1	2022-01-21 05:05:45.914
17704	1954-07-17	2	1	2022-01-21 19:45:31.365
2540	1964-02-20	2	2	2022-01-21 03:02:18.630
18125	2002-05-04	3	2	2022-01-21 13:28:50.746
26024	1961-06-04	1	2	2022-01-21 11:16:42.540
42611	1986-04-04	2	2	2022-01-21 07:49:07.901
20226	1954-09-19	2	1	2022-01-21 12:51:47.486
1261	1958-02-01	3	2	2022-01-21 17:37:11.206
39520	2002-01-27	1	2	2022-01-21 21:37:49.059
15244	1977-01-07	3	2	2022-01-21 01:54:25.215
33871	1952-03-29	2	1	2022-01-21 14:07:49.395
31730	1964-10-25	3	1	2022-01-21 11:48:54.504
16332	1953-01-13	2	1	2022-01-21 06:37:48.992
41066	1966-06-28	2	2	2022-01-21 15:22:36.672
6701	1977-12-28	1	1	2022-01-21 17:26:39.071
24567	1967-07-06	2	1	2022-01-21 04:23:00.688
5475	1961-01-15	3	1	2022-01-21 22:30:57.777
4008	1965-07-24	1	2	2022-01-21 13:23:41.878
32624	1967-09-04	3	1	2022-01-21 21:28:30.851
4681	1969-08-28	1	2	2022-01-21 01:25:44.588
32158	1951-11-17	1	2	2022-01-21 18:29:05.124
43607	2009-09-07	1	1	2022-01-21 16:30:29.866
11856	1985-09-10	1	2	2022-01-21 17:01:46.540
36419	2001-03-18	1	1	2022-01-21 06:56:59.531
30942	1994-04-25	1	1	2022-01-21 23:35:02.595
35073	1956-06-18	1	2	2022-01-21 21:31:19.312
31936	1986-08-12	1	2	2022-01-21 10:37:20.857
20153	1998-12-15	1	2	2022-01-21 08:52:17.625
6166	1955-12-11	3	1	2022-01-21 20:09:46.900
11563	1965-03-08	1	1	2022-01-21 23:47:08.440
29223	1996-12-21	2	1	2022-01-21 13:29:30.376
34127	1972-06-06	3	1	2022-01-21 20:33:02.053
4387	1980-04-13	3	1	2022-01-21 23:33:57.769
13182	1951-12-17	1	2	2022-01-21 10:46:08.063
5485	1996-10-08	2	1	2022-01-21 10:58:15.176
44874	1993-03-28	2	1	2022-01-21 11:16:06.192
31709	1961-10-17	1	2	2022-01-21 16:27:27.006
40465	2000-07-10	3	1	2022-01-21 04:35:08.437
23884	1950-11-27	2	2	2022-01-21 20:20:25.419
4246	1968-01-30	2	2	2022-01-21 02:33:33.499
8430	1971-04-01	3	1	2022-01-21 14:52:54.512
24806	1956-06-18	3	1	2022-01-21 09:42:22.730
12901	1983-08-14	1	1	2022-01-21 11:57:16.651
10801	2009-04-09	3	2	2022-01-21 04:10:01.128
29299	1964-03-12	3	1	2022-01-21 00:22:13.774
14285	1964-03-30	3	2	2022-01-21 17:05:48.244
15735	1970-10-05	2	1	2022-01-21 13:27:17.311
4606	2006-11-11	2	1	2022-01-21 00:53:19.421
524	1991-08-12	1	2	2022-01-21 22:51:35.841
39421	1951-10-19	3	2	2022-01-21 04:06:07.945
9477	1971-02-08	2	2	2022-01-21 13:25:28.423
11932	1954-07-26	1	1	2022-01-21 00:04:37.334
15127	1959-09-07	1	2	2022-01-21 19:48:38.442
30570	1992-07-27	2	2	2022-01-21 07:52:49.726
33459	2000-10-02	3	2	2022-01-21 14:10:21.059
42878	2009-06-28	1	2	2022-01-21 23:08:49.840
3874	1998-01-18	2	1	2022-01-21 21:03:04.757
41312	1981-02-02	1	1	2022-01-21 21:49:22.257
16922	1980-02-10	3	2	2022-01-21 13:37:02.079
23392	1968-12-09	3	1	2022-01-21 08:23:28.178
12559	1968-02-26	3	1	2022-01-21 16:37:57.326
11507	1976-01-05	2	1	2022-01-21 02:14:40.358
27918	1969-05-22	2	1	2022-01-21 07:58:55.700
15789	2004-05-20	1	2	2022-01-21 14:21:52.409
17169	1991-07-17	1	2	2022-01-21 14:24:07.496
8035	1990-06-18	2	1	2022-01-21 20:52:10.271
27062	1961-01-28	2	1	2022-01-21 20:34:12.804
44531	1993-12-15	1	1	2022-01-21 22:40:57.263
19830	1974-09-08	2	2	2022-01-21 01:18:04.952
43052	1991-12-05	2	1	2022-01-21 07:30:09.291
12315	1964-10-24	2	1	2022-01-21 23:58:18.117
17807	1982-11-27	2	1	2022-01-21 21:34:57.091
3612	2000-03-22	2	1	2022-01-21 21:56:16.903
44287	2006-03-15	1	2	2022-01-21 21:43:26.028
4649	1965-11-15	2	2	2022-01-21 21:19:41.124
3373	1966-04-30	3	2	2022-01-21 10:27:47.903
35303	1969-12-23	3	1	2022-01-21 07:20:15.886
20940	2005-07-26	1	1	2022-01-21 14:19:52.310
42173	2002-02-21	3	2	2022-01-21 13:12:37.360
10516	2002-02-21	1	2	2022-01-21 04:18:53.110
24782	1995-12-08	2	2	2022-01-21 03:07:18.692
31234	1977-12-05	2	1	2022-01-21 23:09:06.923
38893	1994-03-03	2	1	2022-01-21 04:47:20.254
19558	1962-11-05	1	2	2022-01-21 00:23:40.508
38722	1976-10-31	3	1	2022-01-21 09:32:04.962
41090	1972-03-16	1	2	2022-01-21 13:56:12.840
1228	1988-09-03	1	1	2022-01-21 13:44:19.759
40167	1993-07-06	2	2	2022-01-21 16:19:17.481
34577	1991-07-24	1	1	2022-01-21 10:50:01.014
6499	1953-10-23	2	1	2022-01-21 09:00:42.377
11252	1967-12-13	1	2	2022-01-21 05:30:54.850
6187	1984-01-22	2	1	2022-01-21 21:30:50.249
19582	1987-02-15	3	2	2022-01-21 10:23:29.166
32062	1975-12-25	2	2	2022-01-21 05:36:13.127
32595	2003-04-10	2	1	2022-01-21 20:27:17.856
12429	1982-07-21	1	2	2022-01-21 15:30:43.968
23648	1964-12-02	2	1	2022-01-21 10:52:17.077
27033	2001-08-03	3	2	2022-01-21 01:20:16.089
39686	1961-06-19	2	2	2022-01-21 21:41:15.344
18729	1965-07-10	1	1	2022-01-21 14:00:28.657
40790	1980-11-13	2	2	2022-01-21 07:33:23.789
13346	1968-04-27	1	2	2022-01-21 15:48:31.529
18326	1978-09-15	2	1	2022-01-21 10:28:36.187
19951	2009-11-13	1	2	2022-01-21 03:22:18.047
20540	1994-07-04	2	2	2022-01-21 05:40:41.345
16048	1978-06-30	2	2	2022-01-21 13:22:28.205
40697	1967-09-09	1	1	2022-01-21 14:28:04.188
36086	1987-11-22	1	2	2022-01-21 03:08:10.787
30939	1953-02-13	2	2	2022-01-21 07:12:20.070
12016	1962-04-28	3	1	2022-01-21 11:13:19.716
22297	1998-08-02	2	2	2022-01-21 09:35:59.934
31086	1990-07-13	1	2	2022-01-21 17:10:34.702
18984	1964-07-10	2	2	2022-01-21 21:11:45.708
23757	1972-12-26	1	2	2022-01-21 03:14:08.278
11723	1956-01-26	1	2	2022-01-21 01:12:32.709
41616	1998-11-16	1	2	2022-01-21 07:26:26.034
4031	1973-03-29	1	1	2022-01-21 08:37:59.118
30281	1971-02-28	3	1	2022-01-21 08:31:48.027
36310	1977-08-08	2	2	2022-01-21 18:12:38.880
40262	1972-02-03	1	1	2022-01-21 07:56:09.452
7345	1999-06-02	1	1	2022-01-21 21:21:02.626
44457	1953-10-22	1	1	2022-01-21 18:08:21.947
3061	2004-03-25	2	2	2022-01-21 20:39:09.551
41542	2004-12-01	3	1	2022-01-21 15:02:14.671
25635	2004-07-07	1	1	2022-01-21 17:26:08.350
7109	1962-12-17	1	1	2022-01-21 21:37:45.085
