userid	birthdate	profileLevel	gender	updatedTime
27071	2001-01-11	1	1	2022-01-22 01:22:17.932
35753	1966-04-21	3	2	2022-01-22 13:03:21.775
18278	1987-01-24	3	1	2022-01-22 01:14:07.257
13553	1962-04-23	1	2	2022-01-22 00:42:59.815
44967	1983-01-10	3	1	2022-01-22 04:15:25.940
31209	1955-03-15	1	2	2022-01-22 02:44:29.364
12269	1990-09-12	1	2	2022-01-22 03:10:44.107
6220	1987-02-01	1	1	2022-01-22 16:46:27.183
15722	2008-07-30	2	2	2022-01-22 19:05:28.167
32081	1983-10-07	2	1	2022-01-22 03:47:49.939
2571	1956-10-13	2	2	2022-01-22 02:59:21.381
881	2004-01-27	1	1	2022-01-22 06:28:23.996
6139	1965-03-20	3	2	2022-01-22 18:49:04.223
16920	1989-08-25	1	1	2022-01-22 04:04:46.933
19499	1981-01-05	2	2	2022-01-22 18:40:43.647
38075	2009-07-17	3	2	2022-01-22 00:22:05.862
24583	1992-09-20	1	1	2022-01-22 12:09:32.716
29852	1996-12-20	1	2	2022-01-22 21:06:11.352
18467	2009-07-09	1	2	2022-01-22 23:20:09.539
32539	1998-06-11	1	2	2022-01-22 19:55:05.280
31736	1992-09-19	2	2	2022-01-22 21:08:57.082
21886	2003-06-08	1	1	2022-01-22 00:29:34.655
35871	1962-06-01	1	1	2022-01-22 01:29:36.392
14387	1996-05-17	2	2	2022-01-22 03:29:31.863
8289	1973-05-21	3	2	2022-01-22 21:52:12.999
21306	1957-04-09	1	2	2022-01-22 19:20:58.288
3373	1998-01-26	3	2	2022-01-22 22:13:24.021
2238	1959-10-06	3	2	2022-01-22 16:07:47.276
32078	1955-08-04	2	2	2022-01-22 14:55:41.037
24634	1979-09-24	2	2	2022-01-22 14:25:57.621
27616	1955-06-30	3	1	2022-01-22 12:32:45.441
10221	1960-06-03	3	2	2022-01-22 11:19:56.725
16420	1999-11-27	1	2	2022-01-22 21:42:43.810
9470	1982-02-06	1	1	2022-01-22 14:23:19.313
16709	1992-10-16	3	1	2022-01-22 23:42:11.561
35299	1995-05-20	1	1	2022-01-22 22:09:36.384
