userid	birthdate	profileLevel	gender	updatedTime
2807	1983-11-13	2	1	2022-01-23 03:14:42.768
2292	2004-08-29	3	1	2022-01-23 14:08:51.780
20187	1952-05-29	2	1	2022-01-23 18:36:17.370
639	1989-01-16	3	2	2022-01-23 17:34:26.393
7967	1963-04-22	1	2	2022-01-23 17:12:33.897
42237	1976-06-17	3	1	2022-01-23 17:30:38.669
14993	2007-10-02	2	1	2022-01-23 10:26:15.704
22719	1980-09-08	2	1	2022-01-23 05:26:22.385
20521	1981-07-18	1	1	2022-01-23 18:34:10.520
4502	2009-09-26	3	2	2022-01-23 09:21:30.043
12223	2002-12-13	1	2	2022-01-23 16:48:15.577
30943	1963-01-01	1	1	2022-01-23 15:41:40.343
26724	1986-10-05	3	2	2022-01-23 00:58:48.061
41006	1992-09-02	1	1	2022-01-23 21:01:52.740
9585	1952-08-09	2	1	2022-01-23 12:40:07.884
15341	1956-04-23	1	1	2022-01-23 19:25:06.317
25338	2002-05-24	3	1	2022-01-23 04:01:24.381
18288	1995-07-27	1	2	2022-01-23 13:47:46.648
9916	1996-09-22	3	1	2022-01-23 07:31:09.768
9471	1962-10-28	3	2	2022-01-23 21:46:18.204
2973	1994-06-25	3	1	2022-01-23 23:51:19.491
23486	1992-09-05	1	1	2022-01-23 14:12:41.461
31953	1980-10-26	3	1	2022-01-23 11:01:20.788
35212	1972-03-26	1	2	2022-01-23 02:15:13.881
29247	1964-08-10	2	1	2022-01-23 17:47:06.071
8642	1975-12-01	2	1	2022-01-23 13:29:05.197
11892	2001-05-10	1	1	2022-01-23 14:12:00.637
37697	1996-01-13	2	2	2022-01-23 05:39:20.874
9302	2002-03-16	2	2	2022-01-23 02:59:07.937
35502	1983-03-24	1	2	2022-01-23 15:04:49.107
6814	1958-01-16	3	2	2022-01-23 16:17:29.138
32674	2001-08-21	3	2	2022-01-23 14:07:48.158
40650	2002-05-28	1	2	2022-01-23 04:43:55.219
10554	1955-09-18	2	1	2022-01-23 22:51:38.146
37641	1978-03-10	3	1	2022-01-23 05:32:33.228
36181	1983-04-14	1	1	2022-01-23 04:33:42.645
32435	2004-08-04	2	2	2022-01-23 03:41:24.833
5236	1952-09-04	1	2	2022-01-23 19:57:36.900
12914	1998-06-21	2	1	2022-01-23 21:41:38.529
30877	1970-07-14	2	1	2022-01-23 19:23:41.302
22144	1997-05-06	3	2	2022-01-23 06:17:05.315
23735	2004-08-13	1	1	2022-01-23 15:03:35.874
7548	1952-02-03	1	2	2022-01-23 01:25:14.847
31393	1954-08-19	3	2	2022-01-23 15:40:55.942
17662	1981-10-24	3	1	2022-01-23 09:23:17.490
12779	1953-06-06	1	2	2022-01-23 15:28:06.272
7250	1988-03-07	2	2	2022-01-23 04:00:32.438
40004	1955-01-06	1	2	2022-01-23 05:34:16.796
31151	1996-05-28	3	1	2022-01-23 18:39:06.905
4917	1995-04-25	2	2	2022-01-23 05:20:13.109
10604	1975-04-11	2	1	2022-01-23 17:59:30.613
22517	1985-01-19	3	1	2022-01-23 05:23:28.372
26658	1952-07-10	1	1	2022-01-23 18:38:04.796
14313	2005-07-22	3	2	2022-01-23 03:59:48.655
38505	1991-01-07	3	1	2022-01-23 15:22:03.954
10229	1956-02-09	1	2	2022-01-23 13:52:21.210
7878	1956-11-28	2	1	2022-01-23 09:36:21.796
10891	1954-02-28	2	1	2022-01-23 01:54:22.293
3675	1992-08-28	2	1	2022-01-23 23:42:33.169
19025	1962-04-24	1	2	2022-01-23 03:11:01.677
15185	1962-09-21	3	1	2022-01-23 01:40:34.169
10477	1998-06-04	2	2	2022-01-23 16:04:03.282
32768	1962-05-03	3	1	2022-01-23 03:14:32.979
37705	1996-02-10	1	2	2022-01-23 23:19:10.128
34723	2005-08-11	3	2	2022-01-23 17:30:35.914
16129	1986-01-22	1	1	2022-01-23 23:36:34.128
237	1988-01-17	2	1	2022-01-23 13:51:59.121
1225	1954-07-02	3	1	2022-01-23 12:40:55.487
23750	1961-06-09	3	1	2022-01-23 06:04:35.134
21792	1966-05-18	3	2	2022-01-23 17:42:57.519
26520	1975-05-09	3	2	2022-01-23 14:31:16.574
31131	1976-01-30	2	1	2022-01-23 19:00:02.335
34870	1994-05-29	3	1	2022-01-23 15:59:12.797
39519	1990-10-25	3	2	2022-01-23 17:08:30.206
22873	1970-11-08	3	2	2022-01-23 12:37:10.640
42974	2001-05-11	1	1	2022-01-23 22:13:34.637
20661	1984-06-16	3	2	2022-01-23 00:47:50.900
42387	1969-02-07	3	1	2022-01-23 21:15:55.395
16198	1964-08-06	3	2	2022-01-23 06:35:48.601
28525	1988-04-16	3	1	2022-01-23 08:17:03.281
41973	1966-06-30	1	1	2022-01-23 07:46:59.317
