userid	birthdate	profileLevel	gender	updatedTime
10775	1981-10-12	1	1	2022-01-24 22:29:24.977
18217	1971-01-25	2	1	2022-01-24 10:41:43.820
24606	2003-05-28	3	1	2022-01-24 17:36:03.973
41205	1997-07-08	3	2	2022-01-24 10:45:21.247
34084	1965-03-17	2	1	2022-01-24 13:58:26.669
34762	1973-08-20	1	2	2022-01-24 11:23:10.790
36762	1957-11-25	3	2	2022-01-24 05:04:01.718
36843	1962-08-06	1	2	2022-01-24 00:35:14.948
32071	1978-04-05	2	1	2022-01-24 13:38:35.232
1833	1954-06-08	2	2	2022-01-24 09:13:11.068
42091	2008-04-27	2	2	2022-01-24 02:43:09.364
23640	1957-11-15	3	1	2022-01-24 20:20:41.877
15406	1975-01-03	2	1	2022-01-24 10:36:45.324
35720	2009-05-24	1	2	2022-01-24 00:29:17.706
27357	1976-02-11	2	1	2022-01-24 15:50:26.378
36755	1992-04-05	1	1	2022-01-24 06:23:37.475
4717	1986-08-20	2	1	2022-01-24 13:42:53.871
23520	1985-09-25	1	1	2022-01-24 14:51:47.741
1360	2004-08-20	3	1	2022-01-24 07:39:00.562
25432	1957-10-21	1	1	2022-01-24 06:41:03.016
27565	1977-06-14	1	1	2022-01-24 15:36:27.332
28665	1975-04-13	3	1	2022-01-24 13:47:09.060
9186	1982-03-18	1	2	2022-01-24 03:08:40.886
34823	1955-04-15	3	1	2022-01-24 15:43:10.014
28131	1986-04-06	3	1	2022-01-24 11:23:16.803
34726	1969-04-26	2	1	2022-01-24 14:13:25.991
17777	1960-07-02	3	1	2022-01-24 16:20:34.770
36958	1959-11-25	1	1	2022-01-24 03:36:13.909
10784	1988-12-08	2	2	2022-01-24 06:52:50.746
28572	1979-05-09	1	2	2022-01-24 05:45:52.982
31312	1986-03-27	2	2	2022-01-24 21:50:49.689
6420	1971-12-20	2	1	2022-01-24 22:19:47.860
37706	1973-07-25	3	2	2022-01-24 07:51:00.313
7498	2000-12-02	1	2	2022-01-24 12:03:21.904
33571	1953-11-05	2	1	2022-01-24 00:42:42.654
18425	1954-02-28	3	2	2022-01-24 18:49:57.400
20401	1993-05-13	1	2	2022-01-24 23:22:06.469
20681	1972-11-18	3	1	2022-01-24 13:30:03.021
42665	1973-12-26	2	1	2022-01-24 10:04:19.730
16276	1995-07-16	1	2	2022-01-24 05:30:55.379
4030	1963-10-14	3	1	2022-01-24 12:33:21.779
897	1957-10-05	2	1	2022-01-24 16:28:31.030
6628	1976-09-03	2	1	2022-01-24 17:52:05.662
5315	1965-11-16	3	2	2022-01-24 16:17:25.426
28067	1961-09-10	1	1	2022-01-24 21:00:03.939
13341	1993-02-07	1	2	2022-01-24 05:07:09.982
42109	1972-10-05	1	1	2022-01-24 02:53:17.640
20254	2009-01-17	1	2	2022-01-24 04:41:51.494
31097	1981-11-12	2	2	2022-01-24 22:30:06.907
15844	1981-07-20	1	1	2022-01-24 18:51:39.250
19476	2009-06-01	3	2	2022-01-24 17:57:10.735
1861	1966-12-08	2	2	2022-01-24 11:46:29.039
15374	1994-01-28	1	2	2022-01-24 00:47:07.677
14045	1967-10-18	3	2	2022-01-24 11:08:34.248
30159	1993-03-15	2	1	2022-01-24 08:40:33.049
4483	1959-04-26	2	2	2022-01-24 08:02:59.011
14933	1983-06-24	2	1	2022-01-24 19:36:25.550
3741	1985-12-09	3	1	2022-01-24 11:00:38.355
40807	1956-06-16	1	1	2022-01-24 22:13:05.232
41615	1968-02-02	3	2	2022-01-24 12:38:26.986
18730	1973-07-18	3	2	2022-01-24 00:01:25.296
35592	1971-03-08	1	1	2022-01-24 18:39:38.017
40535	1957-12-16	3	2	2022-01-24 02:00:08.960
29941	1960-01-30	3	1	2022-01-24 02:18:51.792
42358	1988-12-03	3	1	2022-01-24 00:04:43.791
1969	1975-10-23	2	2	2022-01-24 04:26:57.352
34992	2008-03-26	2	2	2022-01-24 15:39:51.007
41245	1972-08-10	3	1	2022-01-24 14:18:41.450
14732	1987-01-04	1	2	2022-01-24 22:04:21.929
15781	1962-09-25	3	2	2022-01-24 02:53:51.670
40358	1954-04-02	3	2	2022-01-24 00:24:57.650
9743	1975-01-31	1	2	2022-01-24 09:38:39.620
5802	1974-04-11	2	2	2022-01-24 02:09:20.545
38650	1964-05-22	2	1	2022-01-24 06:54:29.959
10344	1985-02-13	1	1	2022-01-24 10:58:03.991
6116	1965-07-10	2	2	2022-01-24 13:01:15.063
27582	1982-07-12	1	1	2022-01-24 08:39:17.352
4744	1954-12-03	2	1	2022-01-24 18:01:59.201
