userid	birthdate	profileLevel	gender	updatedTime
44704	1958-02-07	2	2	2022-01-25 07:03:31.172
4073	1956-12-26	3	2	2022-01-25 10:44:00.042
23888	1951-03-15	2	1	2022-01-25 23:12:23.999
18995	1994-03-06	3	2	2022-01-25 22:22:54.838
10857	1999-09-10	1	1	2022-01-25 00:48:03.631
29769	1967-12-10	1	1	2022-01-25 19:38:34.489
13574	1982-03-26	2	1	2022-01-25 22:13:18.905
24325	1977-10-15	1	1	2022-01-25 07:25:19.381
31611	1981-05-13	3	2	2022-01-25 19:56:03.603
44715	2002-10-18	1	1	2022-01-25 14:10:39.445
13619	1965-01-18	2	2	2022-01-25 08:24:06.584
36616	1987-02-10	1	2	2022-01-25 08:27:00.910
42366	1964-03-22	3	1	2022-01-25 04:51:56.675
7034	1959-03-23	3	2	2022-01-25 05:26:19.782
23763	2009-01-20	2	1	2022-01-25 21:08:31.272
10627	2003-06-13	2	1	2022-01-25 12:24:00.329
44008	2008-02-02	1	1	2022-01-25 03:47:53.451
19223	1963-09-05	3	1	2022-01-25 18:56:55.369
18650	2004-05-15	3	1	2022-01-25 20:01:57.341
11651	1989-11-17	1	2	2022-01-25 00:33:09.275
19937	2009-08-13	1	1	2022-01-25 05:01:48.816
25182	1998-10-21	3	1	2022-01-25 19:44:04.403
24444	1977-01-03	2	1	2022-01-25 23:24:58.301
39263	1962-05-15	3	2	2022-01-25 08:32:38.145
26438	1972-06-24	1	1	2022-01-25 01:57:48.488
22075	2007-09-24	2	2	2022-01-25 06:56:56.759
13818	1995-05-22	3	2	2022-01-25 16:03:19.206
12337	1950-01-30	2	2	2022-01-25 04:36:29.947
714	1973-07-28	3	2	2022-01-25 15:25:50.669
34165	1985-12-11	1	1	2022-01-25 20:09:06.457
26699	1981-09-15	2	1	2022-01-25 12:48:20.109
4905	1995-09-02	3	2	2022-01-25 05:36:09.304
26864	2008-11-02	2	2	2022-01-25 18:20:40.606
15342	1962-12-21	3	1	2022-01-25 17:33:34.410
2254	1981-03-03	1	2	2022-01-25 03:17:33.448
36938	1977-05-24	3	2	2022-01-25 01:17:18.109
35775	1964-02-02	2	2	2022-01-25 01:10:14.348
38883	1960-06-05	3	2	2022-01-25 19:27:13.837
35143	1964-11-14	1	2	2022-01-25 20:09:56.085
23992	1965-02-18	1	1	2022-01-25 17:27:20.406
