userid	birthdate	profileLevel	gender	updatedTime
24728	2007-06-03	2	2	2022-01-26 16:38:10.768
8334	1971-04-22	1	2	2022-01-26 05:36:03.515
39015	1998-11-29	3	1	2022-01-26 06:51:04.224
4090	1998-08-09	1	1	2022-01-26 03:38:31.430
11855	1958-09-13	2	1	2022-01-26 08:26:31.785
2026	2004-04-12	1	1	2022-01-26 10:44:59.927
7360	1986-08-09	3	1	2022-01-26 20:12:32.217
7857	1960-05-09	3	2	2022-01-26 20:32:26.846
38241	1989-12-08	3	2	2022-01-26 13:05:15.078
19932	1978-02-05	3	2	2022-01-26 19:04:23.952
5397	1965-11-13	2	2	2022-01-26 02:31:13.851
10784	1996-05-25	3	1	2022-01-26 16:54:32.778
40577	1998-10-13	1	1	2022-01-26 22:24:05.546
6042	1955-05-01	3	2	2022-01-26 04:58:14.163
28557	1996-09-06	1	2	2022-01-26 13:00:24.719
7646	1976-11-09	2	2	2022-01-26 12:56:27.261
24357	1951-04-04	2	1	2022-01-26 19:25:19.606
21024	2006-11-30	2	2	2022-01-26 03:27:29.995
12037	1964-02-22	1	2	2022-01-26 02:13:49.657
39636	1967-04-01	1	2	2022-01-26 21:08:45.897
7731	1994-11-17	2	2	2022-01-26 10:26:11.541
27387	1992-05-24	1	2	2022-01-26 16:22:54.606
39445	2001-05-03	1	1	2022-01-26 15:39:07.906
2695	1994-02-23	3	1	2022-01-26 00:50:11.494
37419	1968-08-19	2	2	2022-01-26 03:24:17.892
6170	2005-08-10	1	2	2022-01-26 22:24:02.276
8088	1969-01-08	2	2	2022-01-26 06:53:42.327
8001	1976-08-31	1	2	2022-01-26 08:36:16.537
11846	1971-09-01	1	2	2022-01-26 16:06:12.265
17960	1986-01-28	1	2	2022-01-26 02:15:03.467
10897	1976-11-10	1	1	2022-01-26 07:29:52.271
22757	1973-03-07	2	1	2022-01-26 11:54:13.526
10276	1978-01-27	3	1	2022-01-26 11:01:11.512
13505	2004-09-08	1	1	2022-01-26 21:28:44.287
18773	1957-12-22	3	2	2022-01-26 20:09:23.374
5014	1987-12-15	3	2	2022-01-26 00:17:42.083
24488	2008-08-30	1	1	2022-01-26 23:12:31.656
3846	1996-12-14	3	1	2022-01-26 10:51:23.182
10782	1951-12-24	1	2	2022-01-26 20:43:52.525
32983	1977-05-15	1	2	2022-01-26 04:04:58.086
35777	1965-12-02	1	2	2022-01-26 19:30:48.361
28863	1992-10-01	2	2	2022-01-26 17:41:38.124
36216	1977-02-09	3	2	2022-01-26 00:55:52.749
30798	2003-05-22	2	1	2022-01-26 23:17:47.632
23305	1989-07-02	3	2	2022-01-26 18:36:17.938
20033	2003-05-16	3	2	2022-01-26 17:27:26.914
239	1998-11-30	3	1	2022-01-26 16:54:11.895
21931	1976-04-02	2	1	2022-01-26 02:28:52.691
1588	1961-04-19	2	1	2022-01-26 02:35:21.539
22170	1990-08-27	2	2	2022-01-26 15:04:25.507
20631	1963-05-08	1	1	2022-01-26 07:27:44.812
21406	1952-09-17	2	2	2022-01-26 06:58:05.015
10492	1988-11-12	2	1	2022-01-26 01:48:08.832
20466	1971-01-28	3	2	2022-01-26 04:53:17.821
8040	1988-02-03	3	1	2022-01-26 04:55:03.543
44220	1992-11-20	2	1	2022-01-26 20:31:22.715
9589	1989-03-14	3	2	2022-01-26 03:44:28.160
18365	2001-05-13	1	1	2022-01-26 03:53:16.413
8468	2004-06-14	3	2	2022-01-26 23:43:49.049
33968	1960-12-21	2	2	2022-01-26 14:21:18.905
4768	1986-06-10	2	1	2022-01-26 10:20:05.279
24345	1999-11-02	3	2	2022-01-26 20:22:09.310
37148	1982-11-27	3	1	2022-01-26 05:37:42.363
29568	1977-08-25	2	2	2022-01-26 19:56:52.376
7606	1989-07-22	2	2	2022-01-26 13:47:38.083
9213	1952-11-21	1	2	2022-01-26 10:20:16.057
40401	1959-10-17	1	2	2022-01-26 20:01:08.462
30119	2006-06-18	3	2	2022-01-26 09:03:35.057
7466	1959-09-02	1	2	2022-01-26 23:03:19.346
22898	1956-09-13	3	2	2022-01-26 09:38:03.093
16184	1988-12-12	3	1	2022-01-26 18:02:34.811
44606	1961-06-14	3	1	2022-01-26 14:37:16.573
21235	2003-12-05	3	1	2022-01-26 01:22:52.017
22414	2004-03-18	1	2	2022-01-26 09:53:02.915
22386	2004-12-10	3	2	2022-01-26 18:23:07.479
7022	1999-01-19	1	1	2022-01-26 08:59:14.898
38571	1987-09-09	2	2	2022-01-26 08:44:40.868
7463	1951-09-13	1	1	2022-01-26 07:23:32.488
4387	1963-08-25	1	1	2022-01-26 13:41:42.527
8882	1967-02-22	1	1	2022-01-26 17:47:57.074
30388	1998-10-21	1	1	2022-01-26 15:07:14.386
42719	1986-08-01	2	2	2022-01-26 04:46:52.413
24779	1950-08-19	1	2	2022-01-26 15:25:58.271
28115	2003-04-30	1	1	2022-01-26 13:45:13.794
34658	1957-06-13	2	1	2022-01-26 17:35:23.270
32148	1953-09-26	2	1	2022-01-26 10:03:18.758
2660	1979-01-14	3	2	2022-01-26 08:27:57.505
29542	1979-04-25	1	2	2022-01-26 14:37:14.096
29801	1960-12-26	3	2	2022-01-26 11:04:56.865
43633	2001-07-21	1	1	2022-01-26 13:34:09.366
28748	1971-07-03	1	2	2022-01-26 22:13:03.716
31617	2004-03-25	3	1	2022-01-26 01:39:06.367
4291	1998-04-09	1	1	2022-01-26 02:20:16.007
9291	1982-01-13	1	1	2022-01-26 19:41:13.313
32760	1999-11-03	2	2	2022-01-26 17:25:05.053
40248	1967-02-15	3	2	2022-01-26 23:42:21.798
21116	1956-01-08	3	1	2022-01-26 17:59:39.985
43437	1992-08-12	3	1	2022-01-26 13:16:22.484
30509	1968-06-15	3	1	2022-01-26 22:05:48.659
44194	1977-04-14	1	1	2022-01-26 05:03:58.916
29122	1966-12-17	3	2	2022-01-26 11:42:21.338
39304	2007-07-18	1	2	2022-01-26 21:29:28.011
24855	1986-03-30	2	1	2022-01-26 20:04:34.468
24719	1968-07-25	3	1	2022-01-26 00:45:53.226
34676	1981-04-14	3	2	2022-01-26 13:09:34.479
25359	1983-04-29	2	2	2022-01-26 09:30:36.780
20428	1983-05-01	1	1	2022-01-26 11:02:03.908
41938	2008-02-11	2	2	2022-01-26 00:44:20.605
1076	1986-05-04	3	1	2022-01-26 05:10:25.240
6206	2008-04-25	2	1	2022-01-26 05:27:17.187
27525	1984-06-05	1	1	2022-01-26 05:46:36.069
17996	1996-02-29	3	2	2022-01-26 08:10:26.063
32441	1991-01-05	1	2	2022-01-26 14:54:41.075
29074	2004-07-06	3	2	2022-01-26 05:38:43.905
38747	1961-10-23	3	1	2022-01-26 13:22:52.912
42674	1950-10-12	2	2	2022-01-26 12:29:13.055
19358	2008-06-02	2	1	2022-01-26 23:05:55.309
363	1998-12-19	2	1	2022-01-26 21:23:01.993
14953	1995-03-15	1	1	2022-01-26 19:11:13.946
12000	1990-04-08	1	2	2022-01-26 08:54:23.908
19487	1953-12-16	1	2	2022-01-26 13:14:34.141
21765	1975-11-17	1	2	2022-01-26 15:51:21.359
9915	1993-06-05	1	1	2022-01-26 11:38:21.381
16142	1965-12-19	1	1	2022-01-26 06:42:41.252
43970	1991-09-26	2	1	2022-01-26 19:51:34.295
27614	2009-05-28	3	1	2022-01-26 13:23:49.150
37120	1956-04-21	1	2	2022-01-26 00:23:15.936
4732	1987-08-29	3	2	2022-01-26 10:17:52.143
18239	1981-10-21	3	1	2022-01-26 02:58:19.611
16285	1996-07-15	1	2	2022-01-26 13:25:01.036
29768	1997-02-15	1	2	2022-01-26 08:18:46.015
25693	1993-12-29	2	2	2022-01-26 15:01:36.981
44024	1990-07-22	3	2	2022-01-26 01:32:29.028
16745	1969-09-16	1	1	2022-01-26 13:42:59.276
28526	1984-10-10	1	2	2022-01-26 01:14:29.008
9773	1997-03-11	3	2	2022-01-26 08:31:45.677
38759	1969-10-21	3	1	2022-01-26 18:33:05.574
22072	2004-06-04	3	1	2022-01-26 19:14:43.294
5468	1999-10-10	3	2	2022-01-26 13:34:18.700
3836	1957-03-09	3	1	2022-01-26 23:55:51.455
5621	2006-12-03	3	1	2022-01-26 16:57:51.544
39072	1955-03-22	3	1	2022-01-26 11:19:35.905
33515	1990-02-17	2	1	2022-01-26 22:12:47.339
43376	1958-06-17	3	1	2022-01-26 17:36:32.961
40015	1972-02-18	3	1	2022-01-26 23:51:01.987
24195	1979-12-31	3	1	2022-01-26 02:58:27.020
5808	1969-10-18	2	1	2022-01-26 02:00:34.200
43468	1951-04-06	2	2	2022-01-26 08:02:05.688
18175	1976-01-06	2	2	2022-01-26 21:03:15.964
41569	1993-04-26	2	1	2022-01-26 19:10:07.770
6640	1962-05-16	3	2	2022-01-26 18:10:20.860
33956	1999-04-01	1	2	2022-01-26 21:27:50.044
1855	2000-03-30	1	2	2022-01-26 14:38:18.266
21891	1977-05-04	2	2	2022-01-26 12:31:17.488
3638	1968-08-30	1	1	2022-01-26 18:29:31.676
36231	1956-06-19	1	1	2022-01-26 09:13:34.184
27690	1952-12-05	2	1	2022-01-26 23:58:26.336
32685	2009-12-08	1	2	2022-01-26 05:45:13.248
13252	2008-10-26	1	2	2022-01-26 05:07:42.659
43660	1976-08-06	3	1	2022-01-26 16:29:04.576
39237	1981-06-02	3	1	2022-01-26 07:03:09.655
20374	1970-10-19	2	1	2022-01-26 14:49:32.711
948	1972-05-15	1	2	2022-01-26 16:38:55.038
8105	1987-01-20	1	2	2022-01-26 01:17:34.446
15517	1963-06-25	1	1	2022-01-26 14:54:17.583
14023	1956-09-21	2	2	2022-01-26 01:58:04.920
8835	1956-02-13	3	1	2022-01-26 07:06:57.437
11803	1996-03-25	3	1	2022-01-26 15:16:42.799
1557	1982-01-29	2	2	2022-01-26 13:15:40.884
36757	1989-04-06	3	2	2022-01-26 13:21:48.095
31003	1972-04-17	1	2	2022-01-26 11:41:32.419
6019	1968-02-20	1	1	2022-01-26 12:52:51.197
21892	1988-09-28	3	1	2022-01-26 07:32:29.173
13261	1997-12-24	2	2	2022-01-26 13:32:21.626
32539	1975-03-08	1	2	2022-01-26 19:03:55.887
12174	1983-12-31	3	2	2022-01-26 09:07:13.557
5743	1979-01-02	1	1	2022-01-26 05:19:09.475
39476	2008-01-11	3	1	2022-01-26 03:44:59.935
23668	2004-04-29	3	2	2022-01-26 04:39:57.624
38796	1991-03-03	2	2	2022-01-26 23:10:04.273
7945	1964-07-17	3	1	2022-01-26 02:14:45.303
13186	1972-08-08	2	2	2022-01-26 23:19:11.623
30164	2007-10-29	2	1	2022-01-26 05:54:31.170
11849	1956-10-12	1	1	2022-01-26 18:26:42.217
38036	1950-11-02	3	1	2022-01-26 12:08:37.424
8708	1985-11-05	3	1	2022-01-26 02:33:25.137
8054	1968-04-15	1	2	2022-01-26 09:03:17.387
40340	2002-03-24	3	1	2022-01-26 07:29:07.745
40467	1993-06-21	1	1	2022-01-26 18:14:11.031
10568	1964-10-24	1	2	2022-01-26 13:06:24.049
19633	2007-07-06	1	1	2022-01-26 08:30:17.190
13047	1970-09-01	3	1	2022-01-26 14:07:51.743
31135	1993-02-11	3	2	2022-01-26 09:48:12.205
35567	1989-07-16	1	1	2022-01-26 00:16:16.505
41795	2007-10-11	3	1	2022-01-26 01:56:23.940
17411	1975-07-14	3	2	2022-01-26 10:59:29.785
30270	1990-07-05	1	1	2022-01-26 00:12:47.163
44912	1994-04-20	3	1	2022-01-26 20:58:11.981
16255	2005-01-30	3	1	2022-01-26 18:45:00.341
13904	1991-10-17	2	2	2022-01-26 06:05:04.404
28852	1992-06-14	3	1	2022-01-26 10:43:16.520
16538	2006-03-13	3	2	2022-01-26 18:11:11.476
17845	1952-06-25	1	2	2022-01-26 18:15:49.452
36228	1974-11-05	1	2	2022-01-26 21:18:26.678
26312	1992-12-04	3	2	2022-01-26 17:57:22.362
11751	1972-01-24	3	1	2022-01-26 02:00:07.943
41382	1954-12-17	2	2	2022-01-26 05:44:26.896
37954	1995-02-21	1	1	2022-01-26 02:43:40.697
33725	1975-01-30	1	2	2022-01-26 08:44:57.527
5031	2006-08-28	1	2	2022-01-26 00:25:59.694
9887	1950-08-24	1	2	2022-01-26 17:42:34.483
4109	1990-06-19	3	2	2022-01-26 11:07:38.218
26323	2000-08-03	1	1	2022-01-26 22:59:49.034
11879	1988-05-07	1	2	2022-01-26 06:53:40.607
43643	1969-09-19	1	2	2022-01-26 09:23:12.306
37384	1989-03-24	3	1	2022-01-26 07:57:31.113
22689	1954-07-12	2	2	2022-01-26 19:42:40.116
31701	1987-08-03	2	2	2022-01-26 18:09:15.140
42045	1997-03-24	2	1	2022-01-26 17:35:05.820
40052	1972-11-02	3	2	2022-01-26 12:42:37.617
15136	1977-05-06	3	2	2022-01-26 04:52:00.300
8337	1968-11-28	2	2	2022-01-26 06:50:47.069
6716	1997-08-09	2	2	2022-01-26 17:15:10.113
32409	1951-02-28	2	2	2022-01-26 12:27:04.373
26817	2004-12-28	2	1	2022-01-26 20:19:00.262
43066	1985-05-21	2	1	2022-01-26 01:05:34.400
42111	1998-06-07	2	1	2022-01-26 09:50:11.155
12169	1956-09-03	1	1	2022-01-26 08:35:17.772
15187	1961-05-05	3	2	2022-01-26 19:03:04.835
4111	1976-08-13	3	1	2022-01-26 21:23:31.603
26612	2005-02-04	1	2	2022-01-26 01:58:55.214
27680	1959-07-10	1	1	2022-01-26 07:50:44.719
10443	1977-11-05	1	1	2022-01-26 22:46:09.101
12753	1963-02-27	2	1	2022-01-26 06:10:02.029
1731	1964-09-28	3	2	2022-01-26 07:25:14.153
36152	1979-03-11	3	1	2022-01-26 19:48:05.648
36746	1956-06-14	3	2	2022-01-26 11:49:23.599
37014	1970-04-07	3	2	2022-01-26 08:47:42.490
6510	2002-11-24	1	2	2022-01-26 06:43:58.862
1580	1997-04-19	3	1	2022-01-26 15:22:11.934
27187	2009-01-24	2	2	2022-01-26 21:57:38.145
21775	1982-12-22	3	1	2022-01-26 13:31:21.742
25914	1996-09-18	2	2	2022-01-26 04:14:43.612
