userid	birthdate	profileLevel	gender	updatedTime
36022	2003-02-20	3	1	2022-01-27 14:56:55.989
27374	1989-09-30	3	1	2022-01-27 16:46:26.274
35235	1954-05-11	2	2	2022-01-27 02:54:07.422
38618	2009-01-30	3	2	2022-01-27 21:50:44.378
856	1995-11-25	2	1	2022-01-27 21:14:30.063
18619	1977-08-03	2	1	2022-01-27 23:20:22.419
16554	1988-01-08	2	1	2022-01-27 14:27:15.820
3616	2006-01-22	2	1	2022-01-27 04:02:20.521
35305	2004-05-24	2	1	2022-01-27 19:53:57.810
2520	1981-01-04	2	2	2022-01-27 04:40:57.366
21061	1952-06-24	1	1	2022-01-27 01:19:53.385
18322	1996-06-12	2	2	2022-01-27 04:37:43.319
27407	1971-10-23	2	2	2022-01-27 13:06:24.593
8269	1953-12-02	3	1	2022-01-27 13:56:48.831
10753	1998-02-23	3	1	2022-01-27 10:57:07.351
578	1985-09-03	1	1	2022-01-27 18:55:14.340
6755	1972-01-28	2	2	2022-01-27 17:20:52.046
2708	1972-05-19	2	2	2022-01-27 00:51:06.665
5832	1979-10-03	3	2	2022-01-27 21:10:33.705
3723	1965-06-11	2	2	2022-01-27 04:29:27.056
5151	1996-02-09	2	1	2022-01-27 10:37:17.731
29133	2009-07-08	3	2	2022-01-27 11:45:26.056
5196	2002-12-27	2	2	2022-01-27 02:49:16.231
14635	1950-05-19	2	1	2022-01-27 07:49:22.172
34529	2006-05-17	3	1	2022-01-27 09:15:03.601
12101	1998-12-18	3	2	2022-01-27 23:27:35.346
39746	1975-10-09	1	1	2022-01-27 02:55:28.020
39124	1956-09-14	3	2	2022-01-27 18:19:37.792
23618	1993-07-25	3	1	2022-01-27 13:56:02.619
30066	1954-07-09	1	2	2022-01-27 01:42:03.728
44994	1989-03-02	2	1	2022-01-27 04:29:36.818
11820	1986-06-30	2	2	2022-01-27 20:38:44.710
23141	1976-09-12	2	2	2022-01-27 13:15:13.248
12820	1960-05-09	2	1	2022-01-27 09:01:24.347
27243	1978-10-17	3	1	2022-01-27 20:13:42.048
29746	1985-07-06	3	2	2022-01-27 03:35:06.220
15054	1954-11-06	2	1	2022-01-27 19:41:53.472
5664	1975-04-17	1	1	2022-01-27 11:32:01.041
13983	1954-09-06	2	2	2022-01-27 23:37:30.876
31978	1958-02-24	2	2	2022-01-27 00:35:07.623
42298	1978-07-24	3	2	2022-01-27 03:12:59.327
6720	1951-11-24	3	1	2022-01-27 07:06:27.307
30494	1995-06-24	3	1	2022-01-27 16:39:44.099
3032	1997-09-02	1	2	2022-01-27 13:06:11.975
26301	1987-09-22	1	1	2022-01-27 22:33:04.256
13873	1971-06-09	2	2	2022-01-27 23:44:06.486
36719	1983-02-24	3	2	2022-01-27 14:24:29.256
29471	1954-06-25	2	1	2022-01-27 14:11:11.075
6093	1979-05-16	3	2	2022-01-27 18:26:27.738
27846	1988-12-03	1	1	2022-01-27 11:12:32.521
11782	1972-01-25	2	1	2022-01-27 14:17:39.906
34850	1982-10-05	3	1	2022-01-27 05:36:37.884
26012	1961-10-26	1	2	2022-01-27 04:15:41.428
18143	1955-04-09	3	1	2022-01-27 00:54:36.236
44612	1983-01-20	1	2	2022-01-27 12:09:20.626
24469	1955-10-17	2	2	2022-01-27 08:54:05.819
10112	1953-04-24	3	1	2022-01-27 10:32:03.224
34116	1999-10-07	3	2	2022-01-27 18:45:26.626
29838	1961-10-02	1	2	2022-01-27 23:49:47.875
25357	1978-02-25	3	1	2022-01-27 23:41:52.336
30520	1976-06-12	1	1	2022-01-27 10:59:44.119
2422	1995-06-10	2	1	2022-01-27 16:42:52.898
43383	1993-01-19	3	2	2022-01-27 03:42:43.349
16583	1998-02-10	2	2	2022-01-27 03:43:49.206
30345	1998-10-02	2	1	2022-01-27 22:18:30.315
4895	1978-04-10	1	1	2022-01-27 10:27:17.425
37759	1992-09-27	3	1	2022-01-27 04:15:27.307
41623	1995-10-12	3	2	2022-01-27 06:07:54.948
27011	1984-05-31	2	2	2022-01-27 06:01:45.319
28454	1973-07-02	2	1	2022-01-27 09:28:01.677
17333	1981-04-24	2	1	2022-01-27 21:54:06.058
1042	1986-05-14	1	2	2022-01-27 08:32:47.896
20061	1986-04-19	3	2	2022-01-27 16:55:24.146
14615	1956-12-15	3	1	2022-01-27 07:58:37.247
13883	1957-06-06	3	1	2022-01-27 13:15:26.066
6044	1998-12-20	3	2	2022-01-27 16:02:46.564
40377	1956-02-23	1	1	2022-01-27 04:05:03.676
26772	1976-03-27	3	1	2022-01-27 15:38:32.420
35280	1974-09-24	1	1	2022-01-27 20:45:41.207
10487	1998-05-14	1	2	2022-01-27 03:12:36.675
11351	1967-03-06	2	2	2022-01-27 08:44:13.349
32697	1972-10-13	1	2	2022-01-27 07:36:07.597
4678	1999-08-04	3	1	2022-01-27 18:55:54.591
12283	1986-06-17	3	2	2022-01-27 04:19:25.755
17719	1984-08-18	3	2	2022-01-27 04:46:25.607
24788	1999-08-03	1	2	2022-01-27 08:11:10.930
