userid	birthdate	profileLevel	gender	updatedTime
13630	1957-12-13	1	1	2022-01-28 07:52:49.448
25754	2008-10-20	2	2	2022-01-28 09:14:26.941
9081	2006-05-25	1	1	2022-01-28 12:52:38.579
20852	1998-04-25	2	2	2022-01-28 11:34:52.908
6212	1973-01-28	1	1	2022-01-28 06:50:32.590
2434	1969-11-20	3	1	2022-01-28 13:31:46.684
14426	1953-08-03	1	2	2022-01-28 02:47:27.203
43644	1988-04-23	2	1	2022-01-28 09:36:04.420
1654	1973-02-21	2	2	2022-01-28 06:46:29.393
31975	1962-12-08	3	2	2022-01-28 22:58:10.083
25032	1993-11-22	2	2	2022-01-28 04:40:49.899
32456	1986-10-11	2	1	2022-01-28 02:45:25.083
23229	1978-09-02	2	2	2022-01-28 14:27:21.375
13825	1964-11-16	3	1	2022-01-28 10:43:26.764
2384	1976-07-13	1	1	2022-01-28 08:43:09.008
19974	1965-07-23	3	1	2022-01-28 22:36:52.019
10201	1974-02-08	3	1	2022-01-28 11:07:56.340
21322	1997-12-22	2	2	2022-01-28 02:13:35.404
25547	1970-03-09	3	1	2022-01-28 01:46:03.656
5095	1974-01-10	1	2	2022-01-28 12:00:47.867
23468	2009-11-08	3	2	2022-01-28 21:01:15.946
44284	1996-05-29	3	1	2022-01-28 21:55:46.301
18454	1988-02-01	3	1	2022-01-28 22:25:47.689
38054	1982-11-04	2	1	2022-01-28 06:31:33.186
37437	1992-04-01	1	1	2022-01-28 16:29:52.431
2963	1984-02-25	1	1	2022-01-28 15:11:09.024
12869	1963-04-26	2	2	2022-01-28 00:02:16.444
21149	2009-10-05	1	2	2022-01-28 19:34:21.327
16265	1952-01-28	3	1	2022-01-28 08:05:06.778
26351	1990-02-20	2	2	2022-01-28 08:43:12.642
41918	2009-02-11	3	1	2022-01-28 13:30:43.835
16641	2008-06-29	2	1	2022-01-28 08:07:11.892
3306	1978-08-30	3	1	2022-01-28 08:27:39.197
41524	1992-02-17	3	2	2022-01-28 18:20:27.594
20793	1953-09-25	1	2	2022-01-28 06:09:11.017
15400	1973-05-03	3	2	2022-01-28 20:19:13.484
