userid	birthdate	profileLevel	gender	updatedTime
10898	1970-08-11	3	1	2022-01-30 03:59:32.485
39357	1966-11-15	3	2	2022-01-30 12:57:56.645
1263	1955-12-28	1	1	2022-01-30 11:24:45.501
38958	1969-11-07	1	1	2022-01-30 15:45:43.334
29491	2004-03-15	2	2	2022-01-30 02:40:36.565
22219	1973-08-07	2	1	2022-01-30 11:36:05.561
2305	1989-09-25	1	2	2022-01-30 10:38:03.169
1842	1958-12-23	2	2	2022-01-30 19:20:05.157
447	1955-12-10	1	1	2022-01-30 14:14:26.861
23504	2001-12-07	2	2	2022-01-30 21:54:43.475
21260	1956-01-31	1	2	2022-01-30 12:59:43.771
11938	1970-07-30	3	2	2022-01-30 17:02:15.058
8602	1999-02-17	1	1	2022-01-30 09:07:01.072
14292	1974-05-15	2	2	2022-01-30 02:59:06.382
4027	1994-05-01	2	2	2022-01-30 20:54:18.392
32453	1957-02-18	2	2	2022-01-30 05:48:04.547
20959	2004-10-28	3	1	2022-01-30 08:51:13.836
5412	2007-11-04	3	2	2022-01-30 11:03:25.772
12130	1968-05-09	2	2	2022-01-30 23:07:47.353
33522	1970-11-02	3	2	2022-01-30 07:02:07.687
29303	1968-09-26	1	1	2022-01-30 08:28:25.288
31589	1965-01-18	1	2	2022-01-30 08:58:44.193
39062	1989-05-08	2	2	2022-01-30 19:01:13.127
28018	1984-12-03	1	1	2022-01-30 04:33:24.970
16054	1974-07-04	1	2	2022-01-30 14:43:17.221
23953	1990-09-13	2	1	2022-01-30 06:37:00.351
26334	1974-07-08	3	2	2022-01-30 23:48:05.612
34192	1957-01-14	2	2	2022-01-30 18:30:19.375
19085	1992-09-12	2	1	2022-01-30 04:14:47.192
34694	1990-11-02	1	2	2022-01-30 20:44:02.818
26363	1986-09-24	2	2	2022-01-30 12:43:06.594
11390	1953-01-20	2	2	2022-01-30 07:40:43.291
26537	1979-11-07	3	1	2022-01-30 21:10:57.580
10705	1960-12-18	3	2	2022-01-30 13:10:06.206
15059	1954-03-27	3	2	2022-01-30 20:38:06.818
13587	1966-07-20	3	2	2022-01-30 05:36:09.965
35853	1973-08-31	2	1	2022-01-30 19:11:49.163
12218	1968-06-26	1	2	2022-01-30 02:22:46.232
15253	1991-07-15	1	2	2022-01-30 22:08:13.884
2097	1961-01-30	1	1	2022-01-30 10:29:50.388
43490	1955-08-08	1	2	2022-01-30 08:54:06.650
25518	1963-03-05	1	1	2022-01-30 19:14:14.940
20325	1958-11-06	1	2	2022-01-30 01:12:44.870
14162	1960-08-25	1	2	2022-01-30 06:37:59.592
27062	1975-06-24	3	1	2022-01-30 12:51:42.601
19066	2004-09-27	2	2	2022-01-30 16:10:21.184
11068	1990-09-29	1	1	2022-01-30 19:37:06.382
42306	2004-10-20	3	1	2022-01-30 16:35:36.903
13738	1976-05-27	3	1	2022-01-30 02:54:16.591
16405	2001-02-13	2	2	2022-01-30 06:39:59.081
21255	2007-08-02	2	2	2022-01-30 03:37:17.687
33396	1965-06-30	2	1	2022-01-30 05:36:35.671
11102	2004-12-21	1	2	2022-01-30 01:46:55.726
34994	1980-02-15	3	1	2022-01-30 14:06:40.770
37963	1994-07-04	3	2	2022-01-30 14:52:18.099
19641	2001-02-05	2	1	2022-01-30 13:21:24.405
23996	1967-09-29	1	1	2022-01-30 09:51:18.379
38085	1974-09-06	1	2	2022-01-30 11:11:47.957
4650	1959-01-20	3	2	2022-01-30 06:27:43.637
36835	2002-12-18	1	1	2022-01-30 05:12:21.763
1903	1961-09-24	1	1	2022-01-30 09:31:54.988
30079	1971-04-15	2	1	2022-01-30 07:18:34.490
2666	2007-01-18	1	2	2022-01-30 07:19:23.845
42384	1980-01-04	3	1	2022-01-30 22:17:15.509
193	2007-09-29	2	1	2022-01-30 08:31:47.824
26163	2002-01-21	1	2	2022-01-30 13:03:08.370
2561	1957-06-17	2	1	2022-01-30 05:59:16.264
8139	1968-05-24	3	2	2022-01-30 00:32:26.552
11083	1985-01-12	3	1	2022-01-30 07:48:34.429
38296	1974-09-21	1	2	2022-01-30 03:46:37.891
34274	1991-08-28	1	2	2022-01-30 12:23:15.499
42285	1960-07-15	2	2	2022-01-30 10:41:01.481
37285	2003-01-19	2	1	2022-01-30 12:37:26.173
31561	1965-06-22	3	1	2022-01-30 20:46:15.711
34776	1983-06-13	2	2	2022-01-30 09:02:05.440
5882	1971-04-29	1	2	2022-01-30 13:10:37.449
42369	1965-01-30	2	1	2022-01-30 02:15:15.877
31030	1987-05-13	1	1	2022-01-30 22:48:47.949
3133	1961-04-05	2	2	2022-01-30 18:28:37.868
10610	1969-12-04	1	1	2022-01-30 08:11:44.056
22161	1987-05-01	2	1	2022-01-30 07:36:12.198
8570	1982-07-18	2	1	2022-01-30 09:06:31.745
22409	1970-03-28	1	2	2022-01-30 22:23:39.464
4330	1991-08-04	3	1	2022-01-30 01:04:39.397
43907	1978-06-25	1	2	2022-01-30 04:33:14.463
18339	1995-12-22	1	2	2022-01-30 16:46:37.859
10255	1988-10-15	3	1	2022-01-30 14:13:43.033
40839	1989-06-11	2	2	2022-01-30 04:11:05.899
