userid	birthdate	profileLevel	gender	updatedTime
20503	1986-05-28	2	1	2022-01-31 22:31:26.164
41725	1987-10-21	2	2	2022-01-31 12:05:32.958
24721	1975-06-25	3	1	2022-01-31 06:34:13.892
33258	1998-10-18	2	2	2022-01-31 02:31:07.081
43777	1976-05-15	1	1	2022-01-31 06:04:05.192
29194	2007-01-28	3	2	2022-01-31 21:51:29.329
29577	1965-06-11	3	2	2022-01-31 02:32:27.224
35830	2005-09-05	3	2	2022-01-31 07:48:55.424
11563	1995-08-05	1	1	2022-01-31 20:13:24.544
19977	2004-03-18	3	2	2022-01-31 18:31:20.341
3243	1985-06-07	2	2	2022-01-31 20:22:13.135
5855	1985-02-12	3	1	2022-01-31 22:11:31.163
13851	1990-09-01	3	2	2022-01-31 16:21:40.813
10136	1975-02-19	2	2	2022-01-31 16:57:47.011
16928	1950-12-05	2	2	2022-01-31 10:44:28.396
27059	1989-02-06	1	1	2022-01-31 15:23:23.046
29508	1969-10-27	1	1	2022-01-31 01:10:26.477
6479	1996-04-30	2	1	2022-01-31 09:11:39.121
30722	1962-06-20	2	1	2022-01-31 20:55:35.390
7063	1967-07-06	2	2	2022-01-31 07:09:23.200
20894	1958-07-06	1	2	2022-01-31 07:13:36.679
11117	1962-06-20	3	1	2022-01-31 14:00:29.605
34582	1963-04-18	2	2	2022-01-31 22:40:45.104
38225	1951-07-10	3	1	2022-01-31 10:00:12.545
44272	1976-09-24	1	2	2022-01-31 19:51:57.619
26481	1966-10-25	2	1	2022-01-31 22:35:58.278
18774	2007-08-02	3	1	2022-01-31 14:38:54.887
42797	1995-09-22	2	1	2022-01-31 21:51:05.128
25200	1963-03-12	1	2	2022-01-31 15:08:19.226
44523	2002-03-08	1	2	2022-01-31 18:12:59.256
2299	2002-03-18	3	1	2022-01-31 06:50:13.857
14713	1968-12-01	1	1	2022-01-31 16:09:05.157
17739	1954-10-24	1	1	2022-01-31 21:57:37.164
7916	1991-09-02	2	2	2022-01-31 11:48:15.476
3284	1960-12-15	3	1	2022-01-31 03:31:04.735
36446	1968-11-01	2	2	2022-01-31 17:59:36.400
40238	2001-10-13	1	1	2022-01-31 19:23:07.309
41463	1968-07-21	3	2	2022-01-31 09:50:07.468
32820	1952-06-01	1	2	2022-01-31 14:43:47.881
40677	1996-08-14	2	1	2022-01-31 11:54:27.915
