userid	birthdate	profileLevel	gender	updatedTime
14052	1977-11-09	3	1	2022-02-01 13:34:58.781
33771	2008-03-28	2	2	2022-02-01 03:48:14.012
41382	1994-09-13	2	1	2022-02-01 23:34:13.286
25858	1999-08-30	1	1	2022-02-01 05:16:01.147
34346	1952-02-11	3	2	2022-02-01 07:40:06.583
42823	1984-05-13	2	1	2022-02-01 09:18:28.694
31630	1975-08-21	1	2	2022-02-01 06:04:38.095
20660	1958-01-20	1	2	2022-02-01 18:44:59.471
31139	1992-01-27	1	1	2022-02-01 10:18:55.041
27027	1970-10-29	2	1	2022-02-01 09:58:15.272
6745	1952-07-23	3	2	2022-02-01 23:14:36.148
24837	1966-07-09	2	1	2022-02-01 11:15:48.463
40409	1969-07-31	3	1	2022-02-01 16:59:00.010
20244	1960-07-02	1	2	2022-02-01 14:37:10.308
6842	1989-05-03	2	2	2022-02-01 08:48:40.643
19797	1993-09-23	3	1	2022-02-01 13:01:29.768
40943	1967-11-17	3	2	2022-02-01 19:53:16.717
10353	1958-01-30	2	2	2022-02-01 08:37:08.368
43455	1964-01-16	1	2	2022-02-01 01:21:36.799
5408	1970-02-15	1	1	2022-02-01 08:07:02.492
37423	1955-05-31	3	1	2022-02-01 12:13:48.458
11274	1973-12-09	2	2	2022-02-01 18:12:36.493
1970	2004-08-02	3	1	2022-02-01 19:01:36.811
36488	1990-02-20	3	2	2022-02-01 03:09:48.616
30304	1984-09-06	1	2	2022-02-01 11:15:49.614
4394	1959-06-02	1	2	2022-02-01 11:39:46.135
16569	1959-07-20	2	1	2022-02-01 19:58:03.281
38811	1986-01-31	1	1	2022-02-01 16:02:56.134
25792	1967-07-06	3	2	2022-02-01 01:27:48.434
7304	2002-07-22	3	2	2022-02-01 08:52:24.305
42189	2008-02-14	2	2	2022-02-01 14:07:03.276
8713	2008-04-06	3	2	2022-02-01 00:45:31.254
39817	2002-05-08	2	1	2022-02-01 03:16:35.456
4844	1961-03-23	3	1	2022-02-01 21:49:20.150
15403	1959-03-27	2	1	2022-02-01 08:49:18.491
22335	1978-07-21	1	1	2022-02-01 08:30:06.304
34078	1999-01-22	2	1	2022-02-01 16:49:52.811
43764	2006-11-06	3	1	2022-02-01 09:16:56.580
19152	1957-08-18	1	1	2022-02-01 21:21:33.498
28762	2007-09-20	3	2	2022-02-01 02:44:43.888
30468	1982-08-24	3	1	2022-02-01 01:35:58.479
40076	1998-06-02	3	1	2022-02-01 00:56:30.931
32121	1992-05-01	3	1	2022-02-01 10:03:32.030
13091	1991-03-24	3	2	2022-02-01 21:12:27.758
32407	2001-11-06	1	2	2022-02-01 06:11:03.171
11404	1991-01-02	2	1	2022-02-01 07:41:16.839
