userid	birthdate	profileLevel	gender	updatedTime
15041	1988-12-29	2	1	2022-02-02 07:51:44.535
30001	1965-07-03	1	1	2022-02-02 20:40:42.127
11157	1960-08-09	1	2	2022-02-02 20:59:14.032
36111	1993-09-25	1	1	2022-02-02 03:10:04.975
30088	2007-08-15	2	2	2022-02-02 23:05:33.353
7458	1974-01-11	3	1	2022-02-02 20:51:16.107
30325	1980-03-21	3	2	2022-02-02 09:45:39.656
19633	1998-01-19	2	2	2022-02-02 11:00:40.172
37567	1956-01-26	3	2	2022-02-02 22:59:02.448
36113	1969-04-18	3	1	2022-02-02 02:20:06.082
30383	2002-03-10	1	2	2022-02-02 05:19:08.505
19498	2006-03-17	2	2	2022-02-02 10:36:13.724
24031	1970-10-20	3	2	2022-02-02 18:54:59.547
12279	1996-07-23	1	2	2022-02-02 06:53:11.581
42715	1989-07-24	2	1	2022-02-02 13:16:35.691
16757	2007-04-02	2	1	2022-02-02 04:10:33.862
16700	1990-07-21	1	1	2022-02-02 19:03:27.781
43871	1981-01-02	3	2	2022-02-02 05:31:07.469
30278	1958-05-17	1	1	2022-02-02 20:46:04.887
41860	1965-05-22	3	2	2022-02-02 13:38:58.537
24860	1951-05-05	3	1	2022-02-02 00:35:14.149
10518	1963-05-11	2	2	2022-02-02 03:24:27.050
19937	1981-07-27	2	1	2022-02-02 03:50:39.074
6733	1993-10-19	3	2	2022-02-02 12:35:19.972
38176	1955-06-28	3	2	2022-02-02 08:51:51.477
5699	1951-10-14	1	2	2022-02-02 03:34:46.340
26540	1985-08-09	1	1	2022-02-02 07:46:03.820
30432	1959-04-26	2	1	2022-02-02 17:37:32.608
16526	1984-08-12	2	1	2022-02-02 07:35:50.472
31644	1952-07-06	2	2	2022-02-02 12:14:00.211
6471	1983-11-26	3	1	2022-02-02 13:45:38.914
4634	1995-10-28	2	2	2022-02-02 20:58:31.605
13179	1961-04-01	2	2	2022-02-02 23:19:30.555
33050	1978-07-21	3	1	2022-02-02 01:13:08.948
21502	2007-08-12	3	1	2022-02-02 06:14:47.610
25789	2009-04-02	3	2	2022-02-02 17:34:41.835
22266	1977-08-09	3	2	2022-02-02 23:28:36.529
26580	1960-03-20	1	2	2022-02-02 02:01:09.142
32654	1978-06-17	2	2	2022-02-02 00:40:26.603
35175	2007-12-14	1	2	2022-02-02 10:19:44.424
16956	2006-02-05	1	1	2022-02-02 00:01:21.869
7840	1951-07-02	3	2	2022-02-02 08:55:59.746
13751	2001-06-20	3	1	2022-02-02 01:46:51.503
22587	1952-09-26	3	1	2022-02-02 21:02:28.057
21845	2007-10-29	3	1	2022-02-02 15:50:00.228
25101	1968-08-16	2	1	2022-02-02 04:34:09.322
20689	1997-11-12	1	1	2022-02-02 09:37:36.024
26864	1961-03-19	3	1	2022-02-02 22:54:46.212
24154	1971-05-03	3	1	2022-02-02 09:41:44.296
12282	1956-08-07	1	1	2022-02-02 08:22:02.807
41260	1959-09-30	2	2	2022-02-02 21:15:05.502
22102	1958-11-22	1	1	2022-02-02 14:46:17.345
10887	1965-05-23	3	1	2022-02-02 10:16:40.682
22668	2002-03-14	3	1	2022-02-02 17:10:18.017
392	1991-01-20	1	2	2022-02-02 09:53:15.975
18201	1994-07-23	2	2	2022-02-02 05:36:03.098
26775	1982-07-23	2	1	2022-02-02 04:10:34.939
34631	1955-07-18	3	1	2022-02-02 06:01:13.781
41888	1982-06-03	1	2	2022-02-02 21:27:16.597
14840	1969-12-30	1	1	2022-02-02 04:11:31.911
21002	2007-11-24	2	1	2022-02-02 14:03:43.042
14623	1997-12-07	1	2	2022-02-02 13:18:25.590
25335	2000-07-03	1	2	2022-02-02 04:37:48.123
30558	2005-10-24	1	1	2022-02-02 16:48:20.077
42137	1996-08-06	3	1	2022-02-02 12:48:13.489
35465	1985-04-10	3	1	2022-02-02 10:12:38.522
9629	1990-01-18	2	2	2022-02-02 20:26:38.000
24564	1981-12-01	2	1	2022-02-02 07:47:48.376
8137	2003-08-11	1	1	2022-02-02 01:55:22.588
24961	1996-06-03	2	2	2022-02-02 10:31:36.735
24222	1998-06-02	1	1	2022-02-02 00:37:14.897
29624	2009-02-17	1	2	2022-02-02 05:14:52.141
2897	1990-04-27	2	1	2022-02-02 13:49:37.845
9858	1953-01-23	2	2	2022-02-02 06:32:33.518
38142	1972-09-04	1	1	2022-02-02 15:44:20.834
34658	2005-04-11	1	2	2022-02-02 06:11:49.349
20465	1981-01-23	3	1	2022-02-02 15:14:25.467
38658	1954-04-16	3	1	2022-02-02 08:01:18.250
36888	1965-07-27	1	1	2022-02-02 04:39:13.743
12260	1973-05-09	3	2	2022-02-02 00:00:18.867
36672	1971-06-22	2	1	2022-02-02 03:34:24.836
