userid	birthdate	profileLevel	gender	updatedTime
4176	1975-12-29	2	1	2022-02-03 02:12:25.653
36043	1968-04-04	1	1	2022-02-03 07:20:20.117
44280	1984-07-11	3	2	2022-02-03 18:05:38.801
44700	1970-01-18	2	2	2022-02-03 07:17:13.480
30655	1988-05-13	1	1	2022-02-03 10:59:48.314
40278	1966-10-17	2	2	2022-02-03 15:38:08.056
37774	1969-03-23	3	1	2022-02-03 01:36:37.905
20961	1969-12-13	1	1	2022-02-03 20:55:55.986
40510	2004-10-08	1	2	2022-02-03 19:54:15.991
34231	1961-08-16	3	2	2022-02-03 18:49:40.729
19401	1972-12-08	3	1	2022-02-03 05:27:58.044
19906	1957-07-25	3	2	2022-02-03 17:47:45.437
3898	1986-04-10	1	1	2022-02-03 08:29:03.046
9710	1952-10-28	2	1	2022-02-03 06:26:38.823
1377	1957-11-21	1	1	2022-02-03 09:31:03.044
771	1963-09-11	3	1	2022-02-03 23:02:17.086
6573	1973-08-15	3	2	2022-02-03 08:12:50.709
27296	1997-02-12	2	2	2022-02-03 22:55:01.069
36350	1966-01-04	2	1	2022-02-03 03:39:27.562
36072	1955-05-09	3	2	2022-02-03 13:34:29.096
31761	1996-01-01	3	2	2022-02-03 17:47:48.995
41149	1972-08-05	3	2	2022-02-03 05:26:18.221
33615	1993-06-04	1	2	2022-02-03 00:36:53.668
21778	1988-12-11	3	1	2022-02-03 15:58:58.439
16014	1951-12-07	2	1	2022-02-03 22:59:07.586
38690	2006-01-05	3	1	2022-02-03 12:16:28.992
42254	2002-01-30	2	2	2022-02-03 12:42:48.742
37666	1982-12-18	1	1	2022-02-03 17:01:39.679
19650	1963-05-15	1	2	2022-02-03 22:47:51.905
35253	1991-05-06	2	2	2022-02-03 18:50:44.438
4643	1990-08-06	2	1	2022-02-03 15:38:22.399
5455	1972-09-10	3	1	2022-02-03 09:45:10.437
11861	1956-10-20	1	2	2022-02-03 19:10:26.347
6148	1980-04-08	3	2	2022-02-03 14:28:57.746
13729	1968-02-09	1	1	2022-02-03 14:34:48.680
16881	2003-04-15	3	1	2022-02-03 03:12:46.672
16263	1957-07-18	3	2	2022-02-03 15:35:59.391
30506	1965-01-18	2	1	2022-02-03 03:53:00.349
37097	1954-03-21	3	1	2022-02-03 07:46:49.744
22156	1958-07-27	2	2	2022-02-03 07:53:23.442
41355	1952-02-07	2	2	2022-02-03 22:53:28.998
39679	1962-01-07	2	2	2022-02-03 22:52:18.883
42327	1994-11-02	1	2	2022-02-03 07:54:48.915
2849	1964-05-31	1	2	2022-02-03 08:10:47.919
747	1955-10-13	1	2	2022-02-03 11:54:35.661
28051	1985-02-18	1	2	2022-02-03 00:59:49.838
5181	1961-12-10	2	1	2022-02-03 22:14:06.441
25899	1968-03-09	3	2	2022-02-03 09:51:48.370
24239	1956-01-08	3	1	2022-02-03 00:21:26.716
10569	1981-07-07	1	2	2022-02-03 23:42:48.335
18025	1950-08-07	2	1	2022-02-03 19:55:23.608
9760	1995-04-13	1	2	2022-02-03 09:33:32.129
20265	1962-07-29	3	1	2022-02-03 22:15:07.620
15586	1984-07-16	2	1	2022-02-03 05:26:38.298
16708	1960-03-03	1	2	2022-02-03 12:02:38.386
12640	1988-03-30	2	2	2022-02-03 23:33:45.393
11843	1987-08-16	3	1	2022-02-03 08:19:23.007
11717	1992-07-17	3	2	2022-02-03 21:04:07.837
37311	1992-04-05	1	1	2022-02-03 14:55:37.187
13624	2003-08-13	2	1	2022-02-03 16:35:36.093
326	1995-10-20	3	1	2022-02-03 14:30:47.835
10614	1983-10-17	1	2	2022-02-03 01:06:20.455
25255	2005-09-12	3	1	2022-02-03 13:45:32.949
38535	1997-01-28	1	2	2022-02-03 05:04:42.886
38915	1981-04-16	3	1	2022-02-03 12:39:22.754
11144	1999-03-28	1	1	2022-02-03 13:04:53.539
15269	1968-02-11	2	1	2022-02-03 02:18:09.965
13479	1987-04-28	1	2	2022-02-03 14:05:50.064
42406	1961-09-07	3	2	2022-02-03 09:03:37.081
32330	2009-07-15	2	2	2022-02-03 22:49:37.558
43181	1998-11-13	3	2	2022-02-03 23:18:28.687
44718	2001-04-19	3	2	2022-02-03 13:06:57.595
19396	1951-07-16	3	1	2022-02-03 16:27:29.957
5348	1992-07-20	3	2	2022-02-03 05:47:00.673
3845	1970-04-12	2	2	2022-02-03 14:30:39.056
29951	2009-04-12	1	2	2022-02-03 01:58:30.956
1509	1951-08-28	2	1	2022-02-03 15:32:31.480
18936	1985-05-10	2	1	2022-02-03 02:05:46.525
4570	1978-07-14	3	1	2022-02-03 13:01:06.928
14487	1959-07-15	1	2	2022-02-03 22:22:48.405
15909	1950-07-09	1	2	2022-02-03 18:49:57.194
2006	1979-01-13	1	2	2022-02-03 06:07:59.385
43253	1990-09-13	3	1	2022-02-03 00:41:20.076
25814	1986-05-03	2	2	2022-02-03 03:42:45.801
3909	1985-05-09	2	1	2022-02-03 01:12:48.235
6974	1954-08-21	2	2	2022-02-03 07:56:34.175
5544	2008-04-15	3	2	2022-02-03 07:42:46.892
36025	1953-10-03	1	1	2022-02-03 02:11:49.563
12663	1994-09-04	1	2	2022-02-03 14:17:56.114
20518	1965-10-31	3	2	2022-02-03 02:14:33.129
31793	1992-05-12	3	2	2022-02-03 13:20:16.153
28330	1981-08-05	3	2	2022-02-03 04:36:55.754
4663	1958-05-28	2	2	2022-02-03 04:22:12.865
31879	1963-04-06	3	2	2022-02-03 16:37:06.005
943	1962-03-10	3	2	2022-02-03 22:58:48.326
16641	1950-07-07	1	1	2022-02-03 15:17:55.401
11250	2004-01-01	3	2	2022-02-03 12:18:30.508
24634	1965-02-16	2	1	2022-02-03 08:47:37.898
15672	1980-04-11	1	1	2022-02-03 09:24:52.696
2587	1961-04-10	1	1	2022-02-03 21:22:32.920
13207	1959-02-04	1	1	2022-02-03 14:42:09.781
19484	2006-04-26	1	1	2022-02-03 07:41:03.795
34019	2001-11-17	2	2	2022-02-03 15:55:46.156
44790	1995-06-26	2	1	2022-02-03 08:39:51.537
34918	1993-07-18	1	2	2022-02-03 00:22:24.050
42270	1951-08-19	1	1	2022-02-03 14:59:36.258
471	1956-08-01	1	1	2022-02-03 12:15:14.606
5374	2008-01-22	1	1	2022-02-03 19:34:43.356
21527	2002-03-16	2	2	2022-02-03 16:59:34.556
418	1991-07-05	1	2	2022-02-03 04:37:34.720
19839	2008-03-31	3	2	2022-02-03 08:47:09.244
29693	1971-08-06	2	1	2022-02-03 07:26:15.074
40298	1962-01-11	1	1	2022-02-03 12:03:17.243
33884	1986-07-20	2	2	2022-02-03 05:48:12.989
13939	1999-03-21	1	2	2022-02-03 15:59:00.384
33988	1985-03-17	2	1	2022-02-03 02:52:48.109
19758	1965-02-18	1	2	2022-02-03 01:27:20.688
5522	1953-02-16	2	2	2022-02-03 21:03:34.196
12431	2008-01-31	2	2	2022-02-03 13:12:20.106
22909	1952-12-11	1	1	2022-02-03 00:36:38.770
4929	1996-03-16	2	2	2022-02-03 05:19:53.721
42960	1985-10-22	3	1	2022-02-03 16:19:53.506
23015	1961-07-27	2	2	2022-02-03 04:53:04.881
8229	1955-03-20	2	1	2022-02-03 01:49:14.308
21891	1996-10-28	1	1	2022-02-03 17:54:38.121
26201	1976-08-16	3	2	2022-02-03 17:54:31.295
22200	1992-07-17	3	2	2022-02-03 13:01:25.843
1240	2005-12-15	3	2	2022-02-03 23:07:58.741
40512	1968-05-16	2	2	2022-02-03 09:08:31.138
8344	1969-04-04	2	1	2022-02-03 07:21:37.821
32864	1985-05-02	3	1	2022-02-03 08:41:04.916
2622	1993-08-18	3	1	2022-02-03 07:23:57.272
23032	1979-11-03	3	1	2022-02-03 23:44:16.234
3114	1994-06-05	2	1	2022-02-03 05:10:31.909
20998	1953-06-28	3	2	2022-02-03 02:26:55.661
199	1957-07-03	1	1	2022-02-03 20:04:47.102
26169	1992-08-20	3	1	2022-02-03 06:26:51.337
3976	1972-12-09	3	1	2022-02-03 01:49:21.490
31287	1993-05-19	2	2	2022-02-03 14:06:25.391
26530	1963-03-24	3	1	2022-02-03 11:22:03.609
27419	1962-11-09	1	1	2022-02-03 16:34:43.519
22115	1964-10-05	1	2	2022-02-03 12:58:30.597
15459	1993-07-07	1	1	2022-02-03 06:45:01.862
7270	1970-12-25	3	2	2022-02-03 08:05:40.296
27517	1952-04-09	1	2	2022-02-03 08:18:49.250
25542	2003-06-06	3	2	2022-02-03 06:52:08.931
10348	1971-12-11	1	1	2022-02-03 07:17:11.263
42259	1972-06-22	3	1	2022-02-03 04:11:35.555
22503	1961-01-09	2	2	2022-02-03 08:20:00.955
28320	2007-06-10	2	2	2022-02-03 10:32:48.485
40654	1996-06-12	2	1	2022-02-03 16:06:04.177
36716	1985-09-20	1	2	2022-02-03 22:09:22.767
22369	1955-09-02	3	1	2022-02-03 10:03:02.909
8493	1961-11-08	2	2	2022-02-03 09:34:39.908
9095	1980-09-19	3	1	2022-02-03 00:30:09.013
32615	1980-07-06	2	1	2022-02-03 12:41:54.545
42832	1963-05-01	3	2	2022-02-03 08:51:22.723
40301	1962-07-04	2	2	2022-02-03 11:53:13.187
2064	1987-04-23	1	2	2022-02-03 23:05:35.838
28247	2007-02-24	3	2	2022-02-03 05:02:42.709
10459	1978-04-09	1	1	2022-02-03 11:22:05.508
36203	1952-02-16	3	2	2022-02-03 06:04:50.776
3498	1969-05-22	3	2	2022-02-03 22:05:26.310
38570	1994-05-20	3	1	2022-02-03 23:45:35.776
33799	1981-02-01	1	1	2022-02-03 14:51:49.015
14502	1976-02-17	2	1	2022-02-03 12:42:00.494
25297	1954-03-12	3	1	2022-02-03 05:48:51.670
38051	1955-11-18	3	1	2022-02-03 11:57:39.805
30513	1990-07-28	2	1	2022-02-03 05:44:05.259
44321	1983-04-20	1	2	2022-02-03 03:33:02.743
17233	2004-12-30	1	1	2022-02-03 22:16:59.898
4756	1992-07-04	1	2	2022-02-03 04:34:57.487
30513	1983-05-18	2	2	2022-02-03 17:56:19.814
21615	1964-10-23	3	2	2022-02-03 20:21:58.373
5155	1974-06-15	3	2	2022-02-03 05:08:42.325
23507	1979-02-16	3	1	2022-02-03 02:00:30.935
36941	2008-11-10	1	2	2022-02-03 23:43:08.849
6418	1950-11-19	1	2	2022-02-03 11:09:39.980
27607	1995-10-12	2	1	2022-02-03 17:58:25.691
30178	1952-10-21	1	2	2022-02-03 10:47:17.046
20349	1984-10-19	3	2	2022-02-03 04:23:27.168
29036	1969-10-22	2	1	2022-02-03 20:24:27.878
6635	1976-04-14	1	2	2022-02-03 23:36:40.678
9410	1985-01-24	3	2	2022-02-03 18:02:24.541
8929	1956-12-28	2	2	2022-02-03 19:44:27.876
1510	1965-07-01	2	1	2022-02-03 22:01:59.101
9371	2007-03-06	1	1	2022-02-03 03:13:25.730
33885	1975-03-26	3	1	2022-02-03 18:16:47.668
30274	1987-11-20	2	2	2022-02-03 16:14:03.358
36748	2004-11-08	3	2	2022-02-03 18:19:08.330
34445	2001-07-05	3	1	2022-02-03 18:54:13.400
22874	1982-04-10	1	2	2022-02-03 00:41:58.315
39322	1989-03-27	1	1	2022-02-03 01:20:13.265
36512	1951-04-12	2	1	2022-02-03 13:18:31.026
21185	1968-06-22	3	2	2022-02-03 16:12:51.883
29979	1978-08-26	3	2	2022-02-03 06:34:19.161
20016	2002-08-22	3	1	2022-02-03 19:15:12.744
43314	1960-02-05	2	2	2022-02-03 04:45:05.679
28681	1992-01-30	1	1	2022-02-03 05:29:27.999
9369	1950-03-16	1	1	2022-02-03 06:10:14.359
19201	1997-06-02	1	2	2022-02-03 23:41:04.748
12857	1971-12-01	2	1	2022-02-03 14:17:59.965
9936	1989-05-17	1	2	2022-02-03 09:03:12.908
43809	2008-11-16	2	1	2022-02-03 23:21:49.766
43838	1968-02-27	1	1	2022-02-03 11:43:32.289
5377	1952-08-11	3	1	2022-02-03 15:10:45.591
7747	1965-09-12	1	1	2022-02-03 09:35:13.656
4126	2007-09-05	2	1	2022-02-03 15:35:24.278
11063	1962-09-01	1	2	2022-02-03 07:43:41.537
36428	1958-04-04	3	2	2022-02-03 14:27:21.258
19174	1969-03-11	2	2	2022-02-03 07:11:25.624
8562	1967-08-22	1	1	2022-02-03 20:24:56.008
2529	1959-03-22	3	1	2022-02-03 15:26:09.781
12529	1996-03-11	1	1	2022-02-03 03:49:18.384
31002	2004-06-26	1	2	2022-02-03 07:12:14.707
10717	1975-05-12	2	1	2022-02-03 12:57:14.731
28145	1965-08-04	1	2	2022-02-03 03:22:27.175
4780	1993-01-24	1	1	2022-02-03 18:22:12.138
11612	1995-01-22	3	2	2022-02-03 12:28:21.443
35264	2006-11-27	2	1	2022-02-03 14:39:51.164
39168	1976-01-12	2	1	2022-02-03 14:12:18.259
6083	1980-06-18	2	2	2022-02-03 19:47:08.068
31748	1950-07-28	3	2	2022-02-03 07:09:49.868
23299	1985-12-22	3	2	2022-02-03 19:05:41.373
43111	2008-05-08	1	2	2022-02-03 19:57:07.362
1230	2004-06-19	3	1	2022-02-03 15:47:47.200
3619	2009-08-11	2	2	2022-02-03 05:30:20.134
5578	1967-09-16	2	2	2022-02-03 11:04:13.049
44757	1982-03-22	3	1	2022-02-03 16:40:37.585
31662	1952-12-14	3	2	2022-02-03 19:00:18.663
32909	1974-04-25	1	1	2022-02-03 08:30:51.867
44892	1960-03-20	2	2	2022-02-03 18:36:34.194
28096	1988-08-12	3	2	2022-02-03 22:24:59.161
33468	1973-10-17	2	2	2022-02-03 03:23:25.318
37244	2006-11-16	1	1	2022-02-03 11:38:24.929
13640	1959-01-28	2	1	2022-02-03 07:03:56.823
84	1955-08-30	1	1	2022-02-03 11:41:31.267
41855	2002-05-17	2	2	2022-02-03 09:02:54.990
4015	1973-02-27	1	2	2022-02-03 23:24:42.724
9258	2004-04-09	1	2	2022-02-03 05:33:40.516
5517	2005-05-10	3	2	2022-02-03 03:18:53.562
10801	1966-08-02	2	2	2022-02-03 06:15:35.121
332	1994-09-25	3	2	2022-02-03 12:13:00.458
3815	2002-12-20	1	1	2022-02-03 01:58:08.388
8560	1954-07-05	3	2	2022-02-03 12:56:14.859
20049	1961-07-07	1	2	2022-02-03 12:06:09.987
13883	1999-09-10	2	1	2022-02-03 11:11:36.100
19057	1976-02-07	2	2	2022-02-03 23:29:42.728
19535	1996-02-11	3	2	2022-02-03 09:14:43.582
12610	1951-05-11	3	2	2022-02-03 02:56:02.284
41058	1988-10-11	2	2	2022-02-03 04:45:36.644
3160	1957-02-21	3	1	2022-02-03 16:25:15.000
10370	1975-08-05	1	1	2022-02-03 05:11:23.921
35174	1953-02-07	1	1	2022-02-03 09:37:55.100
16621	1963-09-11	3	2	2022-02-03 22:46:59.213
33719	1998-03-22	3	1	2022-02-03 15:26:38.524
37968	1956-03-10	1	1	2022-02-03 22:19:15.616
43862	1999-05-17	2	2	2022-02-03 06:52:21.459
3175	1999-10-23	3	1	2022-02-03 12:38:34.937
3350	1962-09-18	3	2	2022-02-03 05:41:34.453
44059	1997-06-04	3	2	2022-02-03 12:45:54.827
30029	1979-03-20	1	2	2022-02-03 17:50:09.119
43902	1998-08-10	3	2	2022-02-03 19:53:31.905
8393	2003-11-28	2	2	2022-02-03 10:59:36.992
22401	1980-07-25	2	2	2022-02-03 04:19:34.931
10087	1951-11-24	1	2	2022-02-03 21:17:21.678
615	1950-08-12	3	2	2022-02-03 07:25:49.961
8309	2000-07-07	2	1	2022-02-03 21:51:29.604
2415	1984-03-16	1	1	2022-02-03 09:11:27.048
6946	1954-11-22	3	2	2022-02-03 10:39:15.016
16532	1984-12-31	3	2	2022-02-03 06:28:59.281
42746	1953-10-10	2	1	2022-02-03 10:24:32.887
27389	1953-04-13	1	1	2022-02-03 12:18:49.783
29877	2004-12-18	3	1	2022-02-03 20:36:03.035
13310	1992-12-21	2	1	2022-02-03 07:51:58.716
21992	1982-07-21	3	1	2022-02-03 06:34:07.917
7775	1970-05-21	3	1	2022-02-03 06:26:47.670
34418	2005-05-07	2	2	2022-02-03 20:41:37.439
35797	1983-09-03	1	2	2022-02-03 10:42:40.388
17860	1989-08-18	1	1	2022-02-03 05:32:43.023
42696	1964-06-17	2	1	2022-02-03 12:29:26.389
1807	2004-02-10	1	2	2022-02-03 21:05:53.338
9499	2007-05-01	1	1	2022-02-03 19:24:15.875
32639	1989-06-01	1	2	2022-02-03 23:06:14.906
15272	1973-12-07	1	1	2022-02-03 12:26:15.597
14656	1980-03-25	3	1	2022-02-03 20:10:15.005
30603	1989-08-13	3	1	2022-02-03 21:16:22.306
38392	1954-02-02	3	2	2022-02-03 11:23:16.661
8895	1970-07-17	2	1	2022-02-03 02:34:35.101
564	1978-07-18	2	2	2022-02-03 17:08:55.299
11197	2009-01-26	2	1	2022-02-03 19:59:19.087
35256	1966-11-22	2	1	2022-02-03 08:55:21.520
29078	1979-03-19	1	1	2022-02-03 22:23:51.037
32155	1997-01-17	3	1	2022-02-03 21:37:08.591
29301	1965-09-28	1	2	2022-02-03 19:21:16.785
41979	1993-10-31	3	1	2022-02-03 11:41:53.227
29806	1959-06-05	1	2	2022-02-03 01:00:27.008
20793	1998-12-09	2	2	2022-02-03 13:45:43.244
33518	1968-05-06	1	2	2022-02-03 01:12:29.959
25787	2009-06-23	3	1	2022-02-03 09:13:53.237
9735	1964-04-21	2	2	2022-02-03 12:36:30.936
7079	1979-11-23	3	2	2022-02-03 18:50:18.740
35939	1993-05-05	3	1	2022-02-03 19:12:25.241
26881	2005-06-21	1	2	2022-02-03 15:53:55.234
27102	1955-12-26	3	2	2022-02-03 16:47:15.960
40095	1962-03-19	1	1	2022-02-03 22:53:40.725
857	1979-03-30	3	2	2022-02-03 09:24:04.717
31020	1950-10-07	1	2	2022-02-03 02:10:05.234
9482	1990-01-10	2	1	2022-02-03 18:54:29.877
36193	1995-04-24	2	1	2022-02-03 16:46:25.855
18872	1954-10-17	1	1	2022-02-03 09:33:16.551
24836	2004-06-25	3	1	2022-02-03 20:45:48.187
44824	1951-06-26	1	2	2022-02-03 20:49:42.271
29135	1969-11-30	1	2	2022-02-03 15:44:45.362
30297	1961-04-10	3	1	2022-02-03 07:15:42.893
20433	1985-05-14	1	2	2022-02-03 10:16:41.026
22315	1977-12-29	1	2	2022-02-03 07:19:02.576
42114	1978-03-08	1	1	2022-02-03 16:21:37.618
33835	1977-11-07	1	2	2022-02-03 18:13:59.002
20087	1985-10-25	2	1	2022-02-03 02:13:27.286
35463	1971-12-09	3	2	2022-02-03 06:21:15.845
31633	2008-03-10	2	2	2022-02-03 03:29:19.161
27761	1965-07-09	2	2	2022-02-03 02:32:02.089
17260	1989-04-26	1	2	2022-02-03 02:59:26.229
28496	1956-06-01	2	2	2022-02-03 17:29:32.937
39388	1959-10-30	3	1	2022-02-03 13:33:26.339
36008	1970-03-11	3	1	2022-02-03 10:20:10.727
22315	2002-08-30	3	1	2022-02-03 09:50:08.841
18123	1980-08-24	2	2	2022-02-03 18:35:02.065
