userid	birthdate	profileLevel	gender	updatedTime
12535	2004-12-17	3	2	2022-02-04 00:36:32.264
35611	1962-12-06	3	2	2022-02-04 04:44:32.956
12587	1985-09-12	2	1	2022-02-04 22:58:51.302
9844	2005-04-05	2	1	2022-02-04 09:12:46.345
29869	2006-11-05	3	1	2022-02-04 07:27:00.431
34266	1959-02-05	3	1	2022-02-04 23:48:00.483
22170	1981-04-12	3	2	2022-02-04 11:44:53.624
29112	2000-07-04	1	2	2022-02-04 15:03:56.560
36914	1968-12-19	1	1	2022-02-04 05:49:54.993
15165	1976-02-26	1	2	2022-02-04 22:42:16.309
21849	1980-10-04	1	2	2022-02-04 21:51:31.160
23892	1969-10-15	1	2	2022-02-04 10:38:54.852
9955	1954-11-02	3	1	2022-02-04 11:13:59.738
24319	1961-11-24	1	2	2022-02-04 18:49:05.487
5374	1993-09-10	2	2	2022-02-04 23:14:40.289
31897	1967-06-11	3	1	2022-02-04 04:37:17.401
32308	1971-11-14	3	1	2022-02-04 22:55:09.105
17547	1972-11-07	1	1	2022-02-04 22:27:14.134
42056	1994-10-21	3	2	2022-02-04 11:32:53.362
8005	1958-03-10	1	2	2022-02-04 11:24:26.571
40306	2002-04-30	2	2	2022-02-04 12:42:36.153
6873	1987-03-05	1	1	2022-02-04 22:12:37.920
6998	1977-06-23	2	2	2022-02-04 19:02:08.073
22579	1969-04-22	2	1	2022-02-04 11:08:01.988
38459	1987-06-21	2	1	2022-02-04 07:15:06.679
9307	1963-12-24	2	1	2022-02-04 16:19:24.779
32902	1990-08-14	1	2	2022-02-04 12:25:40.612
17906	1994-08-14	1	1	2022-02-04 08:11:37.402
25791	2009-06-28	3	2	2022-02-04 15:11:18.503
38411	1954-12-20	1	2	2022-02-04 03:44:05.661
29638	1952-10-17	2	2	2022-02-04 13:30:51.569
44558	1955-09-23	2	1	2022-02-04 19:54:40.945
39662	1992-06-25	1	1	2022-02-04 18:31:07.780
1354	1981-08-23	3	2	2022-02-04 10:59:34.347
23173	2006-10-17	1	2	2022-02-04 20:35:04.746
30284	1977-03-29	1	2	2022-02-04 10:53:23.350
13710	1954-08-01	2	1	2022-02-04 01:55:12.463
38973	1954-12-26	1	2	2022-02-04 06:47:51.116
41834	1954-10-26	3	2	2022-02-04 06:21:45.524
29125	1966-07-26	2	1	2022-02-04 10:33:07.518
4937	1990-04-04	1	2	2022-02-04 15:35:55.168
19507	1994-10-25	2	2	2022-02-04 17:37:46.775
4412	2002-02-15	1	1	2022-02-04 12:28:26.159
17114	1997-08-09	1	1	2022-02-04 23:52:48.591
12299	1997-06-04	1	2	2022-02-04 17:44:11.730
35463	2008-07-03	2	1	2022-02-04 10:28:03.244
22687	1998-11-17	2	2	2022-02-04 20:21:27.862
24456	1966-02-18	1	1	2022-02-04 07:59:26.630
4510	1972-06-06	2	2	2022-02-04 06:26:51.708
30221	2000-02-27	1	1	2022-02-04 02:16:12.746
1097	1968-10-01	3	1	2022-02-04 07:57:24.602
17498	1955-06-09	2	2	2022-02-04 14:19:53.534
