userid	birthdate	profileLevel	gender	updatedTime
14820	1981-09-23	1	1	2022-02-05 01:51:29.101
27691	1990-02-12	1	1	2022-02-05 07:36:55.668
18824	1961-03-24	2	1	2022-02-05 13:56:00.872
6887	1962-03-10	3	2	2022-02-05 19:42:40.248
12374	2001-01-11	2	1	2022-02-05 01:18:41.896
37090	1966-02-01	3	1	2022-02-05 21:11:29.940
6017	1999-03-01	2	2	2022-02-05 16:30:04.827
15922	1977-07-23	2	1	2022-02-05 05:27:23.025
8471	2001-09-24	1	2	2022-02-05 21:11:05.220
9446	1989-02-09	2	1	2022-02-05 03:29:42.677
8335	2003-02-22	3	2	2022-02-05 09:52:05.809
32832	1951-03-05	1	1	2022-02-05 04:47:03.778
20355	1978-12-31	2	2	2022-02-05 10:17:13.184
40103	1957-08-14	3	1	2022-02-05 16:19:39.924
17212	1963-02-03	2	2	2022-02-05 22:09:18.986
10839	1952-06-07	1	2	2022-02-05 09:40:51.302
27451	1973-12-22	2	2	2022-02-05 04:51:44.752
41841	1975-01-12	3	1	2022-02-05 03:50:24.032
17466	1969-04-14	2	2	2022-02-05 00:43:54.462
26037	2003-04-05	3	1	2022-02-05 08:10:14.804
38449	1989-10-15	1	1	2022-02-05 04:14:09.168
10754	2005-05-01	3	1	2022-02-05 10:19:07.094
27280	1957-03-22	2	2	2022-02-05 04:44:20.226
528	2005-10-29	3	1	2022-02-05 01:42:07.265
34993	1964-05-21	3	2	2022-02-05 04:04:36.449
34165	2002-09-18	1	1	2022-02-05 19:37:50.389
23140	1955-02-04	3	1	2022-02-05 08:00:04.149
18	1972-11-05	2	1	2022-02-05 00:36:19.282
8579	2004-09-01	1	2	2022-02-05 12:15:28.936
2141	1964-01-21	1	2	2022-02-05 19:09:29.417
34589	2008-01-11	2	1	2022-02-05 14:15:29.369
41883	2006-04-15	1	2	2022-02-05 08:07:08.817
13674	1957-02-12	1	1	2022-02-05 17:02:13.986
8242	1994-11-01	3	2	2022-02-05 18:16:30.334
3220	1999-04-06	3	1	2022-02-05 19:43:41.466
3996	1968-05-14	2	2	2022-02-05 08:48:07.656
27914	1953-02-15	2	2	2022-02-05 17:57:05.371
5738	2009-06-08	1	2	2022-02-05 12:45:24.348
26618	1951-03-19	2	1	2022-02-05 05:48:44.831
2434	2003-03-13	3	1	2022-02-05 13:32:56.536
31574	1997-03-30	1	2	2022-02-05 12:31:36.553
39266	1974-03-31	1	2	2022-02-05 23:50:57.294
35686	1961-03-18	3	2	2022-02-05 19:12:56.569
6746	1954-12-25	1	2	2022-02-05 20:06:40.555
6635	1953-08-19	1	2	2022-02-05 20:11:09.832
4912	1986-07-22	3	2	2022-02-05 02:50:31.914
23791	1963-09-11	1	1	2022-02-05 23:36:48.512
1986	1979-05-31	2	2	2022-02-05 06:57:19.753
30935	1991-05-31	1	2	2022-02-05 14:34:59.958
37042	1985-06-13	3	2	2022-02-05 07:10:06.032
7717	1966-01-19	3	1	2022-02-05 04:25:47.100
24626	1975-04-16	2	2	2022-02-05 20:21:26.958
1049	1980-06-17	1	2	2022-02-05 01:53:40.789
40120	1951-03-10	1	1	2022-02-05 16:17:10.724
22082	1987-01-03	2	2	2022-02-05 07:05:25.571
44659	1988-10-02	2	2	2022-02-05 14:02:13.502
19391	1997-04-10	1	1	2022-02-05 09:45:13.514
39743	1996-07-09	2	2	2022-02-05 23:23:50.124
33368	1958-10-08	3	1	2022-02-05 22:25:12.312
1025	1968-04-08	3	2	2022-02-05 14:46:25.578
19502	1974-01-31	2	2	2022-02-05 15:52:03.964
36962	1983-12-16	1	1	2022-02-05 06:11:01.748
3729	1982-12-06	1	1	2022-02-05 04:19:43.436
35964	2006-06-12	3	1	2022-02-05 10:41:29.395
21659	1973-07-29	1	2	2022-02-05 11:54:15.976
17588	1986-02-19	1	1	2022-02-05 15:25:38.490
4103	1960-03-10	2	1	2022-02-05 03:43:43.685
5183	1980-03-22	3	2	2022-02-05 23:13:48.481
19423	2006-12-02	1	2	2022-02-05 07:53:50.782
41718	1961-07-01	2	1	2022-02-05 05:43:55.983
13104	1990-01-22	1	1	2022-02-05 02:18:13.240
9288	1982-12-08	2	2	2022-02-05 11:55:55.333
31584	1959-02-14	1	2	2022-02-05 07:23:21.851
41585	1978-01-17	2	2	2022-02-05 20:39:51.544
15818	1965-06-27	1	1	2022-02-05 20:39:04.797
30872	1966-04-19	1	2	2022-02-05 03:32:16.143
12635	1976-09-18	1	2	2022-02-05 21:15:11.549
32263	1975-04-28	2	2	2022-02-05 13:07:38.452
21530	2000-07-03	3	1	2022-02-05 00:48:36.818
33584	1965-10-22	1	2	2022-02-05 03:43:53.285
6826	1961-04-09	1	2	2022-02-05 20:32:09.222
19322	1969-09-04	3	1	2022-02-05 05:31:19.204
24554	1995-07-21	3	1	2022-02-05 16:27:28.383
2387	1979-12-28	3	2	2022-02-05 14:41:09.262
17335	2000-08-15	3	2	2022-02-05 00:23:27.008
17586	2002-12-22	3	1	2022-02-05 14:03:30.352
24493	1983-05-11	2	1	2022-02-05 07:45:35.855
42960	1970-11-22	3	2	2022-02-05 12:51:44.085
35815	2006-12-01	3	2	2022-02-05 11:42:09.078
267	1971-06-02	2	1	2022-02-05 19:01:49.437
13123	1963-01-15	2	2	2022-02-05 16:57:03.745
28389	1981-11-16	2	1	2022-02-05 17:13:55.040
33949	2003-03-01	2	2	2022-02-05 06:21:13.883
2282	1996-07-18	2	2	2022-02-05 21:11:47.067
31295	1995-04-16	2	2	2022-02-05 18:46:35.164
1607	1978-12-29	1	2	2022-02-05 21:04:50.795
15014	2009-06-26	3	2	2022-02-05 19:46:13.421
34046	1999-11-07	2	1	2022-02-05 09:14:36.407
14601	1983-04-12	2	1	2022-02-05 02:31:01.624
34719	1977-01-06	1	1	2022-02-05 06:08:57.832
26097	2003-07-07	2	1	2022-02-05 03:56:38.639
38823	1968-06-29	2	1	2022-02-05 11:22:12.959
15075	1996-08-15	1	2	2022-02-05 19:03:39.044
4408	1958-01-16	3	2	2022-02-05 13:30:10.726
19623	1955-11-29	3	2	2022-02-05 04:42:23.130
21461	1976-10-12	2	1	2022-02-05 00:54:15.660
37343	1980-06-24	1	2	2022-02-05 22:54:46.638
688	1983-08-20	3	1	2022-02-05 09:05:08.232
