userid	birthdate	profileLevel	gender	updatedTime
16756	1997-11-25	3	2	2022-02-06 01:53:31.310
40218	1976-01-31	3	2	2022-02-06 10:21:51.805
6619	1992-11-26	2	1	2022-02-06 08:06:41.158
15783	2004-02-11	2	2	2022-02-06 17:30:24.441
40611	2005-04-26	2	2	2022-02-06 02:25:59.450
33198	1977-05-29	3	1	2022-02-06 16:08:30.785
14446	1951-02-15	2	1	2022-02-06 14:15:20.836
8553	2009-05-11	2	1	2022-02-06 02:38:55.992
40673	1981-05-05	3	2	2022-02-06 23:17:30.189
34256	1971-06-12	3	2	2022-02-06 14:09:32.724
11991	1953-08-27	1	2	2022-02-06 22:35:00.209
34657	2004-01-16	3	2	2022-02-06 02:42:53.419
23991	1997-03-28	1	2	2022-02-06 22:55:38.358
31225	1987-11-22	1	1	2022-02-06 20:17:29.965
32734	1982-10-27	1	1	2022-02-06 04:23:23.868
36731	1974-07-29	1	2	2022-02-06 17:22:24.245
11018	1975-12-05	1	2	2022-02-06 00:21:24.903
9700	1995-09-05	3	2	2022-02-06 03:34:30.885
4747	2005-09-12	1	2	2022-02-06 10:44:49.464
8681	1962-10-07	1	1	2022-02-06 22:58:01.470
34890	1984-12-10	1	2	2022-02-06 10:14:32.591
32680	1997-08-27	3	1	2022-02-06 07:12:13.322
35558	1952-07-20	2	2	2022-02-06 12:04:10.065
24502	1972-12-02	1	2	2022-02-06 06:45:51.099
20606	2002-08-04	3	2	2022-02-06 20:10:50.789
11267	1981-10-19	1	1	2022-02-06 19:21:14.150
23210	1978-06-04	1	2	2022-02-06 07:35:18.721
21633	2001-11-09	3	1	2022-02-06 03:48:30.252
2233	1997-06-30	1	1	2022-02-06 10:52:03.756
41481	1977-12-05	3	1	2022-02-06 09:04:51.859
14006	1990-07-28	3	1	2022-02-06 21:16:17.269
11580	1984-07-13	2	1	2022-02-06 14:08:51.369
14662	1999-05-01	2	1	2022-02-06 09:22:58.777
10266	1975-02-17	2	2	2022-02-06 19:29:41.264
3767	1963-02-13	1	2	2022-02-06 12:20:48.665
5261	1998-03-21	1	1	2022-02-06 02:31:16.265
24227	1988-02-29	2	2	2022-02-06 19:53:34.480
8421	1965-01-19	2	2	2022-02-06 14:45:17.169
1298	1955-07-05	3	1	2022-02-06 07:30:42.667
12754	2000-09-12	2	1	2022-02-06 06:56:28.998
2088	1960-12-31	1	1	2022-02-06 04:37:32.536
27243	1978-09-08	2	2	2022-02-06 11:29:52.462
11760	1974-07-15	3	2	2022-02-06 04:28:33.335
32959	1989-12-09	2	1	2022-02-06 09:26:11.344
28632	1990-05-06	3	2	2022-02-06 12:52:11.529
10015	1987-05-28	1	1	2022-02-06 17:58:17.055
12325	1958-02-21	3	2	2022-02-06 21:56:50.734
30983	1988-04-05	1	1	2022-02-06 08:55:07.562
34550	1968-01-11	2	2	2022-02-06 19:21:58.039
35626	1970-06-26	1	1	2022-02-06 00:59:25.789
2942	1980-05-07	3	1	2022-02-06 21:52:45.314
20731	1983-06-24	3	1	2022-02-06 12:18:12.542
26343	1975-03-03	1	1	2022-02-06 18:40:08.369
27797	1998-10-28	1	1	2022-02-06 05:30:19.976
24314	1953-11-17	3	1	2022-02-06 19:09:51.356
35334	1983-06-21	2	1	2022-02-06 11:23:44.601
6037	1966-04-19	1	2	2022-02-06 08:41:51.904
26626	2007-10-08	3	2	2022-02-06 09:47:12.882
43278	2008-02-03	1	1	2022-02-06 12:22:54.533
43217	1964-03-17	3	2	2022-02-06 06:30:09.137
2092	1982-11-28	1	2	2022-02-06 00:06:40.934
23743	1956-01-03	3	1	2022-02-06 22:59:50.023
39416	1957-05-10	3	2	2022-02-06 02:50:56.944
35690	1950-10-15	2	2	2022-02-06 03:06:59.102
8521	1986-06-05	2	2	2022-02-06 18:31:25.274
28851	1989-01-28	3	2	2022-02-06 21:20:29.066
41040	1963-11-29	1	1	2022-02-06 20:13:54.481
22305	1984-03-08	1	1	2022-02-06 22:57:27.050
10	1960-01-12	3	1	2022-02-06 23:44:19.074
33037	2003-09-13	2	2	2022-02-06 11:41:29.255
15485	1967-07-16	2	2	2022-02-06 17:19:26.710
24722	2000-02-13	3	1	2022-02-06 23:26:10.840
38386	2007-06-14	3	2	2022-02-06 13:16:47.505
29800	1996-12-04	3	1	2022-02-06 21:17:39.651
22053	1963-07-03	3	2	2022-02-06 13:41:23.325
28847	1970-06-05	3	1	2022-02-06 14:53:06.955
13833	1993-09-24	2	2	2022-02-06 22:26:41.333
27093	1978-10-07	2	1	2022-02-06 12:21:20.426
8662	2001-09-05	1	1	2022-02-06 14:54:28.812
30311	1985-03-10	3	2	2022-02-06 03:40:24.551
28506	1970-10-07	1	1	2022-02-06 12:24:23.813
41279	2000-05-16	1	2	2022-02-06 02:45:41.179
8969	2005-11-18	1	2	2022-02-06 10:53:13.269
24422	1979-05-22	3	1	2022-02-06 11:43:24.291
41421	1957-12-08	3	1	2022-02-06 17:56:40.129
10401	1950-04-14	1	1	2022-02-06 04:48:02.887
41999	1985-02-27	1	1	2022-02-06 13:10:27.593
1167	2002-09-21	3	2	2022-02-06 10:46:13.174
7707	1958-02-18	1	2	2022-02-06 00:35:51.862
25470	1973-11-17	3	1	2022-02-06 07:29:05.251
1826	1955-10-08	2	1	2022-02-06 03:42:10.915
14956	1959-05-06	3	1	2022-02-06 13:09:17.163
32880	2006-03-19	1	2	2022-02-06 01:26:02.490
36076	1983-02-11	1	2	2022-02-06 19:53:01.380
36857	1976-06-07	1	1	2022-02-06 20:35:24.322
3866	1977-05-31	2	1	2022-02-06 07:50:02.584
25731	1987-11-09	3	1	2022-02-06 08:03:41.116
6484	1995-11-22	3	1	2022-02-06 15:27:32.617
15816	1999-01-24	3	1	2022-02-06 22:00:15.176
44649	1989-11-02	3	2	2022-02-06 20:42:52.682
8904	1963-12-14	2	2	2022-02-06 22:21:03.388
17362	1990-03-10	1	2	2022-02-06 19:06:30.056
25876	1996-11-03	3	1	2022-02-06 05:12:45.631
