userid	birthdate	profileLevel	gender	updatedTime
25112	1986-12-30	2	1	2022-02-08 20:46:40.009
6458	1982-01-23	3	2	2022-02-08 08:35:54.360
18479	1954-08-22	2	2	2022-02-08 18:29:55.568
15763	1951-04-25	3	1	2022-02-08 14:50:36.709
17871	2001-08-26	3	1	2022-02-08 00:16:49.066
4805	1955-07-21	1	2	2022-02-08 04:26:22.926
36442	1955-03-16	3	1	2022-02-08 11:02:08.002
33933	2009-10-15	1	2	2022-02-08 22:08:58.290
33032	1994-06-12	2	1	2022-02-08 00:44:39.202
35965	1994-07-20	3	2	2022-02-08 07:15:11.319
29998	2008-07-22	1	2	2022-02-08 23:32:47.688
29093	1957-08-31	2	1	2022-02-08 11:44:56.252
10690	1993-01-28	1	2	2022-02-08 08:54:53.437
31738	1991-01-31	3	2	2022-02-08 06:06:24.989
26856	1996-02-02	2	2	2022-02-08 02:10:11.786
26398	1971-03-10	2	2	2022-02-08 01:04:28.171
3622	2004-05-19	1	1	2022-02-08 09:00:44.391
23367	1951-05-25	3	2	2022-02-08 19:08:39.217
10200	1993-04-29	1	2	2022-02-08 22:25:20.657
23202	2004-07-17	3	1	2022-02-08 04:58:54.523
31508	1993-09-15	2	2	2022-02-08 16:18:38.231
20199	1988-01-02	3	2	2022-02-08 14:06:12.017
23665	1975-03-12	1	2	2022-02-08 12:51:51.696
11639	1987-06-21	1	2	2022-02-08 18:44:13.825
21634	1971-08-10	2	2	2022-02-08 23:05:10.103
40487	1984-12-20	1	1	2022-02-08 14:56:10.360
13504	2006-07-20	2	2	2022-02-08 06:20:43.474
8546	2004-08-12	2	2	2022-02-08 03:16:43.168
15840	1990-04-07	2	1	2022-02-08 13:29:52.138
21067	1980-05-09	1	1	2022-02-08 23:56:38.942
26882	1985-10-14	1	2	2022-02-08 18:08:10.338
19861	1988-06-17	2	2	2022-02-08 18:41:55.697
17944	1954-05-18	2	2	2022-02-08 01:00:09.551
13104	1996-02-07	1	2	2022-02-08 06:39:45.282
31886	1990-06-04	2	1	2022-02-08 11:13:46.909
39473	1980-10-11	1	1	2022-02-08 18:14:08.286
17154	1955-08-12	2	2	2022-02-08 18:13:14.963
10330	2007-01-17	1	1	2022-02-08 10:20:15.312
6364	1970-04-27	1	1	2022-02-08 11:44:37.362
5104	1965-08-12	2	2	2022-02-08 18:39:45.458
14080	1957-12-31	3	2	2022-02-08 15:55:37.929
20766	1977-11-16	1	2	2022-02-08 23:01:49.434
30932	1970-04-15	2	2	2022-02-08 23:45:21.397
36598	2008-04-08	3	2	2022-02-08 08:15:47.313
6547	2009-10-30	1	1	2022-02-08 02:07:33.737
16852	1981-07-19	3	1	2022-02-08 01:29:45.567
