userid	birthdate	profileLevel	gender	updatedTime
28488	1996-03-11	2	2	2022-02-09 23:59:41.074
23934	2006-10-24	3	2	2022-02-09 02:41:44.319
14842	1962-02-15	3	2	2022-02-09 08:34:11.299
23987	1965-10-20	3	1	2022-02-09 12:29:16.477
31701	1972-03-26	1	1	2022-02-09 00:10:13.191
42021	1958-09-30	1	1	2022-02-09 21:23:55.884
12900	1951-08-18	3	1	2022-02-09 10:54:35.994
39809	1983-05-07	1	2	2022-02-09 20:09:03.263
43549	2009-02-27	3	2	2022-02-09 04:58:52.555
117	2000-02-27	1	1	2022-02-09 11:06:07.683
41469	1972-10-28	3	1	2022-02-09 09:56:11.229
34546	1969-05-14	2	2	2022-02-09 22:34:58.331
1729	1991-07-07	3	2	2022-02-09 03:30:12.505
3909	2001-09-11	3	2	2022-02-09 08:44:21.318
1590	1996-03-26	2	2	2022-02-09 17:54:17.550
29564	1969-07-05	2	2	2022-02-09 16:14:16.877
23275	1988-05-19	2	2	2022-02-09 12:36:13.440
37105	1990-09-22	3	2	2022-02-09 11:17:58.979
24544	1988-07-15	2	1	2022-02-09 16:02:11.118
11394	1996-06-04	2	2	2022-02-09 19:44:06.166
31602	1957-03-28	2	1	2022-02-09 16:21:39.343
13349	2005-09-04	2	1	2022-02-09 01:32:42.633
19675	1953-09-12	2	1	2022-02-09 18:45:09.868
44955	1956-05-31	1	2	2022-02-09 23:05:39.417
922	1982-01-03	2	1	2022-02-09 08:31:06.551
735	2006-01-20	1	1	2022-02-09 02:49:07.337
38084	2007-05-20	3	2	2022-02-09 09:11:29.141
37900	2009-09-13	3	1	2022-02-09 23:11:53.495
10977	1988-07-22	1	2	2022-02-09 20:02:16.019
23707	1963-01-05	3	1	2022-02-09 02:07:51.767
40597	1963-10-09	1	1	2022-02-09 21:14:53.566
42596	1983-04-26	2	1	2022-02-09 19:32:02.618
13564	1980-02-19	3	2	2022-02-09 22:04:55.469
25180	1992-11-17	3	2	2022-02-09 07:40:50.779
37980	1967-03-24	3	1	2022-02-09 11:31:14.522
41140	2007-10-20	1	2	2022-02-09 17:58:35.499
13711	1958-11-24	3	2	2022-02-09 09:39:52.347
40302	2003-01-09	3	1	2022-02-09 18:42:27.315
43419	1981-12-08	1	2	2022-02-09 21:26:29.495
20832	1977-05-13	1	2	2022-02-09 01:30:58.991
12450	1962-04-14	2	1	2022-02-09 02:09:48.089
1733	1982-02-01	1	2	2022-02-09 23:43:07.972
44536	1985-10-02	3	1	2022-02-09 20:51:54.206
9678	1988-06-28	1	2	2022-02-09 17:40:09.071
15469	1985-01-17	1	1	2022-02-09 02:17:30.709
34895	1958-06-13	3	1	2022-02-09 18:53:06.557
21424	1957-12-29	3	1	2022-02-09 15:14:22.011
14104	1967-11-25	3	1	2022-02-09 14:54:13.186
17605	1959-04-28	1	2	2022-02-09 08:12:27.778
33687	2006-01-02	1	2	2022-02-09 05:52:26.993
11908	1951-01-12	2	2	2022-02-09 13:27:27.605
4136	1999-07-14	2	1	2022-02-09 13:51:12.920
17548	1985-07-12	2	1	2022-02-09 09:53:30.861
13897	1965-02-04	1	2	2022-02-09 10:27:22.174
15908	2002-03-07	1	1	2022-02-09 14:13:36.980
6343	1999-07-15	2	2	2022-02-09 09:26:37.439
22980	2009-11-24	1	1	2022-02-09 20:55:35.985
26357	1950-02-03	1	1	2022-02-09 06:49:22.930
12907	1969-07-16	1	1	2022-02-09 12:17:32.880
14409	1964-04-05	3	2	2022-02-09 07:41:26.179
32262	1955-09-29	2	1	2022-02-09 13:25:58.294
24766	1963-12-27	3	2	2022-02-09 17:03:23.564
1861	1968-07-08	2	1	2022-02-09 17:05:09.321
29571	1982-11-05	1	1	2022-02-09 11:39:24.345
230	1981-10-15	2	1	2022-02-09 03:17:09.702
18658	1988-11-21	2	1	2022-02-09 09:16:16.285
33736	1985-10-28	2	1	2022-02-09 18:04:50.359
18096	1982-03-04	2	1	2022-02-09 06:29:17.686
4581	1950-05-31	2	1	2022-02-09 21:53:23.809
5572	1975-02-06	2	2	2022-02-09 15:16:37.025
37239	1950-04-19	3	1	2022-02-09 11:05:23.256
28930	1987-12-02	1	2	2022-02-09 06:19:25.658
22801	1959-04-21	3	2	2022-02-09 04:23:46.916
28578	1976-09-12	3	2	2022-02-09 19:27:18.779
15946	1972-12-16	1	1	2022-02-09 15:57:54.693
25970	1956-05-05	3	1	2022-02-09 08:05:36.114
29263	1965-01-15	2	2	2022-02-09 19:51:04.283
1120	1953-11-01	3	2	2022-02-09 17:32:50.722
12260	1950-02-27	2	2	2022-02-09 04:47:42.529
26979	1953-08-08	1	1	2022-02-09 15:32:20.033
39088	1953-10-08	2	2	2022-02-09 15:27:08.516
23153	1984-07-30	1	1	2022-02-09 19:04:07.250
16251	1962-05-11	3	1	2022-02-09 13:10:42.294
16459	2002-03-30	1	1	2022-02-09 13:28:09.842
32326	1990-02-17	2	2	2022-02-09 10:52:38.375
20818	1998-05-07	3	1	2022-02-09 21:49:38.096
11937	1967-10-12	1	2	2022-02-09 11:44:47.956
10110	1967-08-08	3	1	2022-02-09 20:58:02.736
44820	1960-08-15	1	2	2022-02-09 02:05:59.598
11461	1971-10-22	2	2	2022-02-09 06:42:08.074
14103	1956-06-24	1	2	2022-02-09 22:31:56.972
16645	1996-06-23	2	2	2022-02-09 08:58:34.443
29585	1990-12-10	1	2	2022-02-09 13:59:57.886
20427	1973-10-11	3	1	2022-02-09 06:50:36.071
11964	1973-12-26	3	1	2022-02-09 04:55:30.682
8628	2008-01-25	3	1	2022-02-09 10:49:36.364
5717	2003-06-30	2	1	2022-02-09 14:57:05.050
27086	1957-11-19	3	1	2022-02-09 21:12:08.650
4295	1988-12-20	3	2	2022-02-09 20:37:09.265
5734	2004-05-26	3	2	2022-02-09 19:50:41.251
31771	1988-12-23	3	2	2022-02-09 15:04:55.162
13273	1988-11-01	3	1	2022-02-09 00:23:37.417
7534	1992-05-18	1	2	2022-02-09 15:52:26.360
20503	1992-08-25	2	1	2022-02-09 03:18:15.084
20611	1961-02-13	2	1	2022-02-09 17:46:47.569
27691	2003-08-19	2	2	2022-02-09 03:07:11.874
4179	1959-08-14	1	1	2022-02-09 11:16:27.755
33493	1970-02-19	1	1	2022-02-09 23:46:42.093
32067	1992-04-23	1	2	2022-02-09 13:05:59.583
22755	1976-08-19	1	2	2022-02-09 10:48:57.370
44240	1989-12-28	3	2	2022-02-09 05:32:26.571
5574	1994-08-20	2	2	2022-02-09 16:26:33.898
22615	1994-03-29	1	1	2022-02-09 19:47:25.782
31761	2008-04-05	3	1	2022-02-09 14:22:34.226
37209	1974-05-31	2	1	2022-02-09 16:11:59.475
25543	1989-01-29	3	1	2022-02-09 20:35:50.846
32862	1987-06-26	2	2	2022-02-09 22:24:38.938
34121	1974-11-11	2	1	2022-02-09 10:51:41.668
30843	1968-12-10	3	1	2022-02-09 01:08:58.281
36612	1976-07-01	1	1	2022-02-09 15:49:36.196
4262	1997-07-17	1	1	2022-02-09 06:59:42.025
35942	1955-01-02	1	2	2022-02-09 06:51:11.019
32138	1975-08-26	1	1	2022-02-09 11:00:33.029
40750	2003-06-29	1	2	2022-02-09 05:22:20.631
12942	2008-07-27	3	2	2022-02-09 20:27:11.443
44294	2009-02-18	3	1	2022-02-09 00:21:00.313
14520	1960-11-01	3	2	2022-02-09 05:42:20.612
6806	1976-12-23	3	2	2022-02-09 11:50:04.159
990	1953-07-20	2	1	2022-02-09 12:38:03.303
8962	1956-07-23	1	2	2022-02-09 19:42:37.328
24883	1997-02-16	2	2	2022-02-09 08:23:15.032
2028	1959-02-13	1	1	2022-02-09 16:37:08.124
15248	1993-04-16	2	2	2022-02-09 08:58:42.747
43431	2006-06-28	3	1	2022-02-09 14:56:42.412
30274	1965-01-25	3	2	2022-02-09 16:19:47.240
38257	1986-10-15	3	1	2022-02-09 00:13:11.189
41241	1965-06-08	1	2	2022-02-09 14:26:28.796
31820	2000-11-13	1	1	2022-02-09 10:09:11.171
14087	1980-11-12	3	2	2022-02-09 21:55:18.857
38415	1959-12-21	1	1	2022-02-09 22:28:01.514
43609	2003-10-25	3	1	2022-02-09 14:05:14.320
26383	1961-01-21	3	1	2022-02-09 08:21:06.174
41810	1991-06-16	1	2	2022-02-09 11:33:55.067
34225	1994-04-21	2	1	2022-02-09 13:01:13.786
