userid	birthdate	profileLevel	gender	updatedTime
32712	1999-05-16	3	2	2022-02-10 12:47:24.831
10529	2007-03-29	1	2	2022-02-10 06:07:22.379
2260	1969-01-19	2	2	2022-02-10 22:23:55.776
24742	1962-08-21	1	2	2022-02-10 22:30:28.827
42092	1964-11-12	1	1	2022-02-10 10:20:15.496
5028	1975-08-18	3	2	2022-02-10 20:00:37.519
1684	1957-08-21	3	2	2022-02-10 17:08:24.150
21699	1961-09-29	1	1	2022-02-10 11:52:22.384
22606	1981-06-12	2	2	2022-02-10 00:06:26.357
30836	1971-11-16	2	2	2022-02-10 01:07:23.427
38732	1981-04-29	3	2	2022-02-10 19:22:57.469
37643	1964-07-15	1	2	2022-02-10 05:34:00.568
33274	1999-06-01	3	2	2022-02-10 08:52:30.139
6095	1990-02-24	2	2	2022-02-10 02:40:29.549
11578	1964-12-31	2	1	2022-02-10 20:34:32.614
25980	1993-08-05	3	1	2022-02-10 00:58:42.475
44154	1968-11-02	3	1	2022-02-10 06:14:04.224
43941	1965-02-11	2	2	2022-02-10 06:27:54.244
10928	1971-03-14	2	1	2022-02-10 06:36:02.203
19024	1964-08-03	2	1	2022-02-10 23:24:35.244
9304	1999-08-06	3	1	2022-02-10 14:00:30.240
23073	2003-10-13	2	2	2022-02-10 13:32:43.862
42579	1980-08-26	1	2	2022-02-10 15:08:20.140
35983	1999-05-28	3	2	2022-02-10 15:04:34.412
25956	2007-07-28	3	2	2022-02-10 15:34:25.650
40256	1995-06-09	2	2	2022-02-10 03:44:30.325
11825	1967-06-08	1	2	2022-02-10 23:36:22.406
20175	1965-04-06	2	2	2022-02-10 00:23:32.584
7951	1993-01-31	1	2	2022-02-10 15:05:00.019
3888	1977-02-17	1	1	2022-02-10 09:51:24.726
7789	1993-07-16	3	1	2022-02-10 12:42:07.336
26076	1982-08-25	2	2	2022-02-10 06:45:41.819
24107	1982-01-25	1	2	2022-02-10 08:46:49.912
19913	1977-03-12	3	2	2022-02-10 12:20:09.610
37782	1983-06-03	2	1	2022-02-10 05:57:01.556
16375	2005-05-29	1	2	2022-02-10 06:25:54.169
15627	1955-01-14	2	1	2022-02-10 02:29:45.235
23706	2008-03-25	1	2	2022-02-10 02:40:05.760
21411	1989-03-28	3	1	2022-02-10 03:43:17.942
34566	1959-03-18	2	2	2022-02-10 09:43:33.980
40717	2005-12-30	1	1	2022-02-10 04:50:38.685
35173	1988-06-09	3	1	2022-02-10 10:27:03.235
5792	1986-11-07	3	1	2022-02-10 12:01:20.962
5180	1954-09-06	2	1	2022-02-10 01:41:48.645
38325	1961-11-11	3	1	2022-02-10 02:47:53.287
38203	2006-11-08	3	1	2022-02-10 00:06:36.199
10945	1952-03-30	1	2	2022-02-10 17:05:47.898
4694	1975-07-22	2	1	2022-02-10 18:23:28.877
5661	2000-10-07	3	1	2022-02-10 22:52:00.462
14661	1977-12-02	3	1	2022-02-10 05:28:03.674
28033	1963-05-11	1	2	2022-02-10 00:17:52.319
23034	1972-11-30	2	2	2022-02-10 07:03:04.060
29920	1982-12-04	1	1	2022-02-10 10:06:17.682
34911	1999-11-16	3	1	2022-02-10 20:00:34.760
30420	1994-01-29	1	2	2022-02-10 05:00:52.077
22643	1988-01-06	1	1	2022-02-10 18:40:22.486
26561	1961-12-03	1	1	2022-02-10 23:40:41.277
40827	1963-02-17	3	2	2022-02-10 05:16:18.931
21031	1963-10-26	1	1	2022-02-10 22:05:39.776
19926	1994-05-22	2	2	2022-02-10 02:49:00.352
28185	1982-05-20	1	1	2022-02-10 23:54:07.329
44366	1977-12-11	3	2	2022-02-10 09:23:58.759
34818	2004-12-13	3	1	2022-02-10 21:17:02.016
11266	1988-10-02	3	1	2022-02-10 13:12:01.023
37003	1968-10-21	3	1	2022-02-10 17:52:22.898
8247	1974-06-06	1	1	2022-02-10 09:00:31.110
44040	1991-11-16	2	1	2022-02-10 16:41:07.185
42093	1975-09-26	3	1	2022-02-10 18:39:18.686
11016	1980-06-26	3	1	2022-02-10 11:28:55.786
38306	1995-07-27	3	2	2022-02-10 19:46:21.454
42883	1980-05-23	2	2	2022-02-10 06:42:03.267
38998	1963-04-02	2	2	2022-02-10 23:45:19.933
29969	1969-05-02	3	2	2022-02-10 22:02:45.434
33142	1973-10-17	3	1	2022-02-10 15:34:18.617
6889	2007-06-19	1	2	2022-02-10 20:03:38.221
15205	2005-10-10	2	1	2022-02-10 14:13:19.828
18219	1980-07-12	3	1	2022-02-10 09:25:16.137
34259	1981-10-03	3	1	2022-02-10 00:37:10.254
40442	1995-04-08	2	2	2022-02-10 15:41:00.972
41123	1996-07-01	2	2	2022-02-10 23:55:02.880
24710	1961-12-18	2	1	2022-02-10 11:50:26.263
40665	1955-07-21	2	1	2022-02-10 22:19:34.530
11088	1980-02-06	1	1	2022-02-10 09:44:06.343
22937	1991-07-03	2	1	2022-02-10 23:45:45.772
39217	1976-12-23	2	2	2022-02-10 09:16:08.811
6350	1957-02-08	1	2	2022-02-10 09:34:06.827
8514	2008-02-09	3	1	2022-02-10 23:10:31.497
37098	1960-11-17	2	1	2022-02-10 03:36:53.212
25793	1962-07-12	3	1	2022-02-10 11:10:34.510
43275	1955-09-18	2	1	2022-02-10 16:05:25.478
31497	1983-07-05	3	1	2022-02-10 12:27:37.790
539	1955-09-24	3	1	2022-02-10 20:28:45.505
43884	1995-03-07	3	2	2022-02-10 12:20:57.153
1803	1993-10-07	1	1	2022-02-10 08:32:21.228
9161	1985-12-14	2	1	2022-02-10 20:53:49.380
38175	1951-06-11	1	2	2022-02-10 11:42:06.186
15397	2003-04-22	2	1	2022-02-10 23:23:34.058
36607	2001-03-08	2	1	2022-02-10 05:46:00.244
7195	1962-01-02	1	2	2022-02-10 01:23:48.617
31902	2000-12-05	3	1	2022-02-10 03:28:32.932
15367	1999-11-25	1	1	2022-02-10 18:21:16.392
18123	1999-05-16	2	2	2022-02-10 00:12:56.417
1856	1992-01-27	1	1	2022-02-10 22:32:50.886
2614	1988-12-19	1	2	2022-02-10 00:21:57.839
7150	1999-06-16	1	2	2022-02-10 12:00:22.456
24668	1994-03-12	3	1	2022-02-10 03:09:31.264
3684	2009-03-15	2	1	2022-02-10 03:42:23.371
6121	1964-05-11	3	2	2022-02-10 07:02:10.780
14030	1992-12-16	3	2	2022-02-10 05:07:38.094
24396	2009-06-02	2	1	2022-02-10 12:40:17.775
9939	1955-03-19	1	1	2022-02-10 00:02:46.776
10094	1970-11-25	2	1	2022-02-10 10:13:05.574
20761	1988-08-12	2	2	2022-02-10 10:21:27.799
15909	1996-09-16	2	2	2022-02-10 21:18:31.299
17130	1971-02-23	3	1	2022-02-10 06:58:43.073
9327	1966-07-16	3	2	2022-02-10 18:21:31.113
44099	2002-08-28	2	1	2022-02-10 15:50:08.826
7875	1951-02-07	2	1	2022-02-10 02:35:07.611
4877	1965-01-16	3	1	2022-02-10 00:09:45.401
26201	1996-09-26	2	1	2022-02-10 13:36:39.635
43127	1994-09-13	3	1	2022-02-10 11:33:07.852
14452	2005-10-24	3	1	2022-02-10 12:06:00.335
21178	1977-12-15	2	2	2022-02-10 14:58:36.850
1232	1950-06-18	1	2	2022-02-10 16:36:37.865
22656	1973-07-18	3	2	2022-02-10 22:13:59.501
8902	1966-04-22	1	1	2022-02-10 09:10:59.948
16992	1990-07-06	1	2	2022-02-10 01:56:53.721
28613	1982-10-03	3	1	2022-02-10 07:13:42.237
2337	1983-02-04	3	1	2022-02-10 11:40:46.048
41518	2005-02-14	1	1	2022-02-10 16:25:44.670
39927	1951-06-07	2	1	2022-02-10 16:46:08.326
35106	1964-06-13	3	1	2022-02-10 12:38:41.848
43236	2008-01-07	3	1	2022-02-10 09:29:16.471
7724	2001-11-09	2	1	2022-02-10 09:07:01.818
6601	2009-04-01	3	1	2022-02-10 02:56:06.908
12446	1966-12-19	1	2	2022-02-10 04:32:20.668
11927	1989-10-06	1	1	2022-02-10 14:45:57.320
15558	1959-10-25	1	1	2022-02-10 16:05:58.903
5634	1964-11-17	2	2	2022-02-10 20:00:54.937
1323	1966-03-22	2	1	2022-02-10 15:09:03.903
31588	1981-10-14	1	1	2022-02-10 17:05:36.448
10993	1952-08-15	1	2	2022-02-10 11:21:28.330
23142	1957-07-23	2	1	2022-02-10 13:59:05.520
35489	1987-09-05	3	1	2022-02-10 05:19:11.631
110	1993-11-30	3	2	2022-02-10 12:34:31.660
4569	2009-10-02	2	2	2022-02-10 04:02:39.655
25273	1984-10-06	1	1	2022-02-10 19:29:10.749
837	1981-04-03	3	2	2022-02-10 01:10:05.862
26109	1983-07-20	3	1	2022-02-10 03:58:01.441
38972	1966-12-04	2	2	2022-02-10 22:56:40.041
27366	1951-01-18	3	1	2022-02-10 18:51:24.112
11210	1958-09-08	2	1	2022-02-10 08:13:02.991
14305	1958-05-30	3	1	2022-02-10 22:27:54.020
39123	1986-07-20	2	2	2022-02-10 04:30:20.072
36872	1998-01-05	2	1	2022-02-10 23:28:30.513
40719	1986-09-20	3	1	2022-02-10 17:24:03.152
18644	1968-02-22	1	2	2022-02-10 23:38:47.282
20447	1968-12-02	1	1	2022-02-10 15:18:16.619
11301	1959-08-17	1	2	2022-02-10 07:33:55.051
35933	1998-04-06	3	1	2022-02-10 19:55:41.969
3816	2000-07-05	1	1	2022-02-10 09:34:38.885
32860	2007-03-23	1	2	2022-02-10 11:28:28.149
5304	1993-12-24	2	2	2022-02-10 01:29:52.681
20446	1963-02-26	1	1	2022-02-10 23:00:55.774
114	1986-10-25	3	2	2022-02-10 01:16:51.132
11357	2008-02-05	2	2	2022-02-10 09:45:27.340
36362	2001-10-16	3	1	2022-02-10 02:50:58.692
6793	1978-06-28	1	2	2022-02-10 05:41:15.770
12279	2005-07-24	3	2	2022-02-10 11:33:58.591
44509	1961-10-17	2	2	2022-02-10 05:44:30.324
35052	1954-01-09	3	1	2022-02-10 00:29:36.159
2572	1992-07-09	1	2	2022-02-10 20:12:04.017
3965	1964-12-12	1	1	2022-02-10 01:23:02.210
32085	1965-12-11	2	1	2022-02-10 15:46:22.456
24281	1999-09-09	1	2	2022-02-10 12:58:51.746
7707	1982-01-04	1	2	2022-02-10 09:49:49.106
16001	1953-08-17	2	2	2022-02-10 13:59:31.400
21339	1968-07-02	1	1	2022-02-10 06:36:39.984
19100	1983-06-07	1	2	2022-02-10 14:23:41.029
18066	1950-06-08	3	2	2022-02-10 15:39:49.326
35908	1995-12-03	2	1	2022-02-10 20:19:54.884
30400	1968-08-09	2	2	2022-02-10 23:19:34.250
17842	1988-03-29	3	1	2022-02-10 02:26:25.905
28312	1983-12-26	2	1	2022-02-10 18:51:23.648
43016	1971-07-17	2	2	2022-02-10 04:36:05.923
10423	1971-07-16	1	2	2022-02-10 06:48:21.852
43854	2003-06-04	3	1	2022-02-10 16:51:26.701
15953	1954-06-22	1	1	2022-02-10 05:02:17.011
16961	1967-07-04	1	2	2022-02-10 21:34:04.209
6532	1984-06-19	3	2	2022-02-10 06:00:14.597
34662	2006-01-26	1	1	2022-02-10 07:12:48.354
20593	1976-01-29	2	1	2022-02-10 16:07:48.801
10084	2004-12-29	2	2	2022-02-10 05:04:27.238
42063	1992-02-21	3	2	2022-02-10 01:37:17.182
35180	1983-11-10	3	1	2022-02-10 21:10:49.471
27143	1958-02-04	2	2	2022-02-10 13:31:16.133
20652	1950-06-21	2	1	2022-02-10 13:24:51.982
41446	1982-08-07	1	1	2022-02-10 09:39:23.600
9565	1970-10-30	3	2	2022-02-10 04:22:07.422
27474	1985-01-11	2	2	2022-02-10 10:29:20.957
2194	1957-04-29	2	2	2022-02-10 17:34:39.829
42473	2008-03-21	1	2	2022-02-10 20:23:45.026
36456	1973-04-07	2	2	2022-02-10 14:07:10.167
27250	2007-02-01	1	2	2022-02-10 02:57:11.875
3494	1979-10-11	3	2	2022-02-10 07:06:38.121
41197	1973-02-19	1	1	2022-02-10 17:13:11.537
26811	1951-12-24	1	2	2022-02-10 22:10:27.161
37392	1996-09-06	1	1	2022-02-10 22:40:43.321
25375	1998-01-04	1	2	2022-02-10 06:45:14.086
26461	1992-09-10	3	2	2022-02-10 07:45:44.928
12535	1985-11-02	3	2	2022-02-10 03:47:19.877
34059	1960-07-19	3	1	2022-02-10 16:48:28.086
11519	1990-10-16	2	1	2022-02-10 23:28:51.526
34876	1968-04-16	2	2	2022-02-10 18:19:25.587
19834	2009-08-12	1	1	2022-02-10 13:23:37.315
36122	1968-02-23	3	2	2022-02-10 18:48:06.073
16655	1979-05-24	1	1	2022-02-10 06:42:22.321
13930	1998-08-07	3	1	2022-02-10 18:25:17.943
25495	1986-01-23	3	1	2022-02-10 02:54:41.422
647	1952-05-23	2	1	2022-02-10 18:57:09.526
13716	1956-12-08	3	2	2022-02-10 07:58:57.504
42045	1970-05-04	2	1	2022-02-10 20:18:02.387
32396	1990-10-28	3	2	2022-02-10 12:10:17.152
24037	1978-02-23	2	2	2022-02-10 01:40:10.643
27594	1976-02-27	3	1	2022-02-10 04:31:18.700
24394	1998-12-14	3	1	2022-02-10 17:20:42.717
28136	1985-08-12	3	1	2022-02-10 09:22:03.197
3149	1977-11-02	1	2	2022-02-10 16:52:33.565
28882	1955-11-22	2	1	2022-02-10 19:41:11.035
43791	1986-03-24	2	2	2022-02-10 22:29:18.196
37988	1989-07-07	1	2	2022-02-10 23:05:10.123
35049	2001-10-26	3	1	2022-02-10 06:27:07.296
32344	1959-03-09	1	2	2022-02-10 17:17:26.926
36209	1950-05-29	3	2	2022-02-10 10:42:57.924
228	2000-08-11	2	2	2022-02-10 04:08:58.239
25138	1976-12-31	3	1	2022-02-10 16:31:16.103
8617	1955-12-20	2	1	2022-02-10 21:37:29.440
6356	2004-02-09	1	2	2022-02-10 20:19:43.162
33188	2004-12-05	3	1	2022-02-10 20:22:00.135
9994	1991-04-04	2	2	2022-02-10 13:55:18.192
8385	1977-08-30	1	2	2022-02-10 23:53:06.029
7711	1997-08-03	3	1	2022-02-10 11:01:07.138
15237	1965-12-23	3	1	2022-02-10 15:39:06.739
27725	2009-11-04	3	2	2022-02-10 13:20:16.253
41198	2006-10-12	3	2	2022-02-10 06:20:33.394
42080	2004-07-01	2	1	2022-02-10 15:40:58.839
41544	1995-08-16	1	2	2022-02-10 19:15:57.109
8605	1973-02-02	3	2	2022-02-10 05:38:32.045
24961	1970-04-20	1	2	2022-02-10 09:16:33.111
5067	2002-03-03	2	2	2022-02-10 23:47:29.636
33434	1968-05-12	3	2	2022-02-10 03:24:33.662
39409	1971-08-18	1	1	2022-02-10 17:40:50.132
38511	1967-11-27	2	2	2022-02-10 11:58:40.201
26519	1992-01-05	2	1	2022-02-10 13:20:36.215
27087	1981-07-14	2	2	2022-02-10 18:51:25.506
32235	1965-01-06	1	2	2022-02-10 22:29:51.901
19342	1955-12-15	1	1	2022-02-10 08:27:36.572
28094	1967-11-19	3	2	2022-02-10 22:48:20.980
28643	1962-08-20	2	1	2022-02-10 04:29:40.036
12115	1966-02-23	3	1	2022-02-10 12:59:51.383
16126	1988-11-03	1	1	2022-02-10 21:26:56.841
16772	1967-03-16	3	1	2022-02-10 19:11:23.823
35666	1981-05-10	2	1	2022-02-10 01:05:35.803
28425	2003-10-05	1	1	2022-02-10 04:09:21.376
15372	1982-01-13	1	2	2022-02-10 19:17:18.464
19587	1955-05-30	3	2	2022-02-10 01:39:06.447
40571	2008-10-19	1	2	2022-02-10 12:35:47.559
41407	1967-05-30	2	1	2022-02-10 21:04:28.266
11074	1992-06-01	3	2	2022-02-10 03:24:56.736
38078	1958-06-05	2	2	2022-02-10 04:15:07.688
5206	1964-03-11	3	1	2022-02-10 11:09:24.139
32214	1980-11-26	3	2	2022-02-10 12:41:25.842
42779	1968-05-20	1	2	2022-02-10 21:07:38.226
22948	1984-05-03	3	2	2022-02-10 04:21:51.906
25362	2007-04-26	3	1	2022-02-10 06:11:07.015
11335	1975-06-20	2	1	2022-02-10 17:39:22.470
17098	1990-07-31	1	2	2022-02-10 15:10:33.437
4822	1981-12-16	1	1	2022-02-10 22:45:27.750
26325	1959-12-25	1	2	2022-02-10 00:49:20.406
19151	1962-08-23	2	1	2022-02-10 10:18:14.861
28050	1979-07-31	2	1	2022-02-10 11:57:00.894
24711	2008-02-29	1	2	2022-02-10 00:33:56.834
35621	1962-09-03	1	1	2022-02-10 00:02:17.042
30602	1996-05-23	1	1	2022-02-10 21:17:44.205
34717	1961-10-30	3	2	2022-02-10 05:57:15.348
9600	1950-06-30	1	1	2022-02-10 08:39:57.904
12484	1957-05-24	2	2	2022-02-10 20:16:09.119
6413	1977-07-30	2	2	2022-02-10 07:50:36.385
32597	1985-11-14	3	1	2022-02-10 20:52:45.834
41161	1979-01-02	1	2	2022-02-10 02:50:34.591
16416	1965-03-01	2	1	2022-02-10 08:21:50.403
44624	1961-11-07	3	1	2022-02-10 16:32:52.209
6719	2004-09-10	2	1	2022-02-10 05:55:34.960
41494	1965-07-02	1	2	2022-02-10 14:19:09.161
15954	2008-01-28	1	1	2022-02-10 05:58:01.144
34016	1957-03-25	3	2	2022-02-10 18:14:43.021
36789	1975-04-27	1	1	2022-02-10 09:15:43.958
10680	1984-04-07	2	2	2022-02-10 10:12:08.896
1087	1998-01-06	3	2	2022-02-10 01:10:34.914
4103	1961-10-31	2	2	2022-02-10 20:14:57.899
9550	1996-08-17	2	1	2022-02-10 15:02:06.676
12759	1981-09-11	3	2	2022-02-10 20:37:31.456
42114	1963-04-21	1	2	2022-02-10 18:50:35.193
29496	1958-03-23	1	2	2022-02-10 22:39:09.866
1751	1960-06-15	3	1	2022-02-10 14:47:51.732
12943	1971-09-20	3	2	2022-02-10 01:43:25.316
152	1994-01-23	3	2	2022-02-10 06:09:47.543
42370	1953-10-24	2	1	2022-02-10 01:59:06.138
19637	1956-03-03	3	1	2022-02-10 01:14:18.840
2560	1961-12-09	3	2	2022-02-10 01:29:31.555
15279	1957-12-20	2	1	2022-02-10 09:36:07.245
6699	1963-06-11	2	2	2022-02-10 02:15:30.514
2800	1982-12-12	1	2	2022-02-10 01:52:04.472
42532	1956-07-30	1	1	2022-02-10 01:21:48.873
5292	1957-05-25	3	1	2022-02-10 15:42:07.183
8173	1999-03-30	2	2	2022-02-10 09:45:10.363
2413	2007-11-25	1	2	2022-02-10 06:28:12.506
30090	1970-01-05	2	1	2022-02-10 01:54:33.002
17967	1995-05-31	3	1	2022-02-10 15:48:49.967
11713	1959-06-04	1	1	2022-02-10 06:16:00.091
18602	1974-12-23	1	1	2022-02-10 22:04:15.924
30892	1957-05-06	2	2	2022-02-10 13:52:19.014
8935	1994-10-08	1	1	2022-02-10 04:48:28.998
22880	1974-02-02	3	2	2022-02-10 16:16:47.502
5263	1990-07-13	3	2	2022-02-10 04:48:20.754
18555	1989-05-13	2	2	2022-02-10 18:42:17.701
10391	1990-03-28	1	1	2022-02-10 13:28:55.553
7149	2001-02-24	2	1	2022-02-10 06:30:39.017
32221	1968-11-30	1	1	2022-02-10 05:22:19.536
39724	1976-09-01	2	2	2022-02-10 14:45:24.574
42337	1959-02-24	2	2	2022-02-10 19:26:13.508
4540	1953-01-28	1	1	2022-02-10 08:19:49.179
5087	1983-03-20	1	2	2022-02-10 10:21:51.656
12468	1991-01-05	3	1	2022-02-10 01:53:42.249
28212	1984-10-06	3	2	2022-02-10 00:25:16.583
27404	1981-04-15	3	1	2022-02-10 08:03:30.074
38521	1980-09-08	1	2	2022-02-10 09:36:04.413
15671	1996-01-31	1	2	2022-02-10 07:20:57.305
25092	1979-02-15	1	1	2022-02-10 17:35:39.441
35336	1999-04-01	2	1	2022-02-10 01:54:27.869
28282	2004-10-27	1	2	2022-02-10 16:02:07.561
6657	1993-06-20	1	1	2022-02-10 18:42:59.308
10691	1969-12-25	2	2	2022-02-10 05:07:00.808
5442	1982-02-26	1	2	2022-02-10 18:15:42.832
1136	1987-03-17	3	1	2022-02-10 05:48:37.565
15957	1983-10-16	3	1	2022-02-10 04:33:10.353
2259	1983-05-17	2	1	2022-02-10 01:59:16.924
34094	1965-01-12	2	2	2022-02-10 17:03:33.320
17008	1992-11-12	3	1	2022-02-10 00:03:58.336
17447	1960-08-30	1	1	2022-02-10 23:57:12.336
23641	1994-10-15	2	2	2022-02-10 00:29:52.711
20939	1978-11-30	2	1	2022-02-10 16:00:42.579
21053	1964-04-06	3	2	2022-02-10 16:18:33.044
27564	1989-01-13	2	1	2022-02-10 00:53:15.143
17685	2000-12-24	2	1	2022-02-10 04:46:46.604
39771	1990-12-30	3	1	2022-02-10 16:20:22.068
38112	1969-05-13	3	2	2022-02-10 02:37:25.282
10684	1961-07-06	1	1	2022-02-10 02:01:55.374
6280	1958-12-14	3	2	2022-02-10 09:10:16.701
7953	1980-05-23	1	1	2022-02-10 08:28:24.967
10027	1999-02-01	1	2	2022-02-10 08:43:13.161
24769	1956-07-18	2	1	2022-02-10 08:53:14.819
29162	2005-05-24	2	2	2022-02-10 19:38:11.643
26439	1957-05-29	2	1	2022-02-10 06:39:22.336
25058	1958-12-13	3	1	2022-02-10 12:21:06.058
33659	1978-07-25	3	1	2022-02-10 07:27:37.679
3142	2006-08-08	2	2	2022-02-10 13:04:04.171
9077	1963-06-05	2	2	2022-02-10 10:05:31.025
36172	2009-06-18	1	2	2022-02-10 06:13:21.717
38346	1970-08-24	1	2	2022-02-10 11:19:14.652
14155	2000-06-06	1	2	2022-02-10 22:15:42.913
12113	1992-09-04	1	2	2022-02-10 09:15:18.863
35442	1993-12-15	2	1	2022-02-10 02:26:37.429
22934	1983-09-12	1	2	2022-02-10 11:50:47.037
34114	2003-08-08	1	1	2022-02-10 16:48:17.133
35619	1957-10-20	3	1	2022-02-10 08:20:06.856
2174	1976-04-26	1	2	2022-02-10 13:44:58.335
37990	1991-11-16	1	2	2022-02-10 10:50:36.448
3893	1955-11-15	2	2	2022-02-10 20:20:22.494
16093	1983-08-12	1	2	2022-02-10 19:10:00.009
42926	1983-06-28	3	1	2022-02-10 09:20:38.351
4310	1970-09-02	2	2	2022-02-10 19:42:19.858
14455	1966-11-27	3	2	2022-02-10 22:25:58.171
42171	1999-06-12	2	2	2022-02-10 04:31:33.634
43282	2003-03-08	1	1	2022-02-10 13:41:48.419
34429	1965-12-02	1	1	2022-02-10 16:40:37.683
44299	1973-07-21	1	2	2022-02-10 14:28:54.145
10322	1996-09-22	3	2	2022-02-10 20:02:42.003
18155	1978-10-06	3	2	2022-02-10 07:05:39.960
44793	2002-12-05	3	2	2022-02-10 21:56:09.548
38530	1955-12-30	1	1	2022-02-10 19:37:25.093
20509	1975-12-29	2	1	2022-02-10 07:49:57.781
31705	2003-11-15	1	2	2022-02-10 03:23:01.197
36756	1984-05-30	3	1	2022-02-10 04:46:02.948
42232	1995-09-10	1	2	2022-02-10 06:50:11.231
43590	1983-09-16	3	1	2022-02-10 18:17:44.564
37828	2006-06-22	1	2	2022-02-10 23:08:52.031
17198	1955-05-24	2	1	2022-02-10 03:23:29.667
31409	1967-07-01	1	2	2022-02-10 10:11:26.126
8380	1994-03-07	2	2	2022-02-10 04:10:50.751
35909	1957-06-10	1	1	2022-02-10 07:35:53.210
36023	1973-02-28	1	1	2022-02-10 18:26:53.841
24112	2007-12-30	1	2	2022-02-10 06:26:37.300
34504	1968-03-27	2	2	2022-02-10 17:34:02.740
14311	1965-11-13	1	1	2022-02-10 10:45:45.141
9155	1955-09-30	1	1	2022-02-10 06:50:40.524
36637	2005-04-02	3	1	2022-02-10 13:04:21.761
40694	1960-11-27	1	1	2022-02-10 08:15:52.111
250	1996-01-09	2	2	2022-02-10 16:10:54.458
40390	1950-08-29	3	1	2022-02-10 07:43:49.610
25976	2008-01-03	2	1	2022-02-10 13:07:25.007
37169	1960-01-26	2	2	2022-02-10 13:03:07.467
9341	2005-05-24	2	1	2022-02-10 07:25:25.137
20037	1960-09-12	1	1	2022-02-10 18:51:18.427
15544	1976-11-09	1	2	2022-02-10 18:16:49.072
16387	1986-11-14	3	2	2022-02-10 01:37:46.662
31262	2005-11-28	1	1	2022-02-10 03:38:35.029
5263	2008-02-09	3	2	2022-02-10 22:17:28.379
8418	1972-02-02	3	1	2022-02-10 08:20:59.221
43522	1989-05-18	3	1	2022-02-10 03:20:28.715
27344	1982-06-28	1	1	2022-02-10 09:35:48.669
42186	1978-11-19	1	2	2022-02-10 11:14:21.962
9418	1968-06-29	1	2	2022-02-10 07:43:30.080
17547	1971-07-06	3	1	2022-02-10 16:13:43.449
18936	1999-04-04	2	2	2022-02-10 10:04:29.674
7043	1970-01-22	1	1	2022-02-10 16:50:12.861
43021	1999-10-01	3	2	2022-02-10 15:18:50.383
19457	1964-12-08	2	1	2022-02-10 17:35:55.764
17432	2002-09-03	1	2	2022-02-10 06:09:41.690
40530	1981-05-16	2	2	2022-02-10 03:05:37.868
38433	1991-05-05	1	2	2022-02-10 02:10:53.940
8408	1985-06-30	1	1	2022-02-10 16:10:17.358
36668	1993-07-02	2	1	2022-02-10 21:59:53.409
42513	1976-01-29	3	2	2022-02-10 07:09:50.909
26646	1962-03-14	3	1	2022-02-10 18:26:07.054
18465	1972-01-03	3	1	2022-02-10 21:18:53.164
19727	1952-03-03	1	2	2022-02-10 23:23:23.539
7860	2007-06-03	1	1	2022-02-10 12:37:26.070
41505	2003-08-25	3	1	2022-02-10 07:43:06.981
40270	1981-04-17	3	2	2022-02-10 19:20:04.418
15920	1999-05-07	3	1	2022-02-10 00:06:46.773
27706	2009-02-09	3	1	2022-02-10 09:55:06.658
28801	2003-03-11	1	2	2022-02-10 14:00:42.320
3873	1954-05-10	1	2	2022-02-10 01:56:47.590
3291	1971-05-23	1	2	2022-02-10 08:30:33.989
9066	1972-02-03	1	1	2022-02-10 15:05:36.069
40242	1963-07-10	1	2	2022-02-10 12:56:51.294
40279	1969-01-04	1	1	2022-02-10 07:40:37.990
30780	1994-08-10	2	1	2022-02-10 10:41:59.553
3753	2005-01-20	2	2	2022-02-10 10:07:28.046
28649	1998-05-03	3	1	2022-02-10 21:32:56.293
5169	1971-05-09	1	1	2022-02-10 02:22:12.071
13676	1961-07-03	3	2	2022-02-10 19:36:50.097
26424	1973-11-20	3	2	2022-02-10 19:49:13.979
