userid	birthdate	profileLevel	gender	updatedTime
48	1989-02-01	3	1	2022-02-11 12:44:17.825
42065	1997-10-19	2	1	2022-02-11 20:18:18.110
7217	1983-03-21	2	1	2022-02-11 08:30:27.536
29368	1987-05-24	3	1	2022-02-11 00:50:41.020
13426	1951-03-27	3	2	2022-02-11 12:09:00.129
4817	1987-05-18	2	1	2022-02-11 13:22:18.286
41580	2006-05-19	3	2	2022-02-11 21:36:42.109
40517	1976-02-02	1	1	2022-02-11 08:09:22.609
38278	1983-02-23	1	2	2022-02-11 18:10:46.250
5744	1964-11-21	3	2	2022-02-11 18:34:49.486
17533	1976-05-21	1	2	2022-02-11 01:10:31.994
26990	1985-05-30	3	1	2022-02-11 21:45:17.210
34618	2007-12-07	2	1	2022-02-11 10:18:19.351
35801	2005-07-02	1	2	2022-02-11 21:12:54.750
12688	1959-05-15	1	2	2022-02-11 19:08:58.062
1556	1965-11-06	2	1	2022-02-11 18:16:14.963
99	1972-02-19	1	1	2022-02-11 16:24:11.884
17726	1968-01-01	3	2	2022-02-11 12:05:17.098
32654	1971-11-10	2	1	2022-02-11 14:32:56.270
20677	1997-05-18	2	1	2022-02-11 22:00:31.089
27688	1988-10-16	2	2	2022-02-11 03:04:59.512
27470	1978-12-15	1	2	2022-02-11 12:43:58.187
20397	2000-06-08	1	2	2022-02-11 20:25:27.184
8821	1977-11-30	3	2	2022-02-11 11:40:47.899
35873	1958-06-07	2	1	2022-02-11 19:59:17.368
1277	2004-05-14	3	1	2022-02-11 06:34:57.693
2511	2004-08-24	3	2	2022-02-11 00:42:39.997
3636	2003-01-22	3	1	2022-02-11 22:24:12.549
15165	1988-05-16	3	2	2022-02-11 14:27:52.900
40264	1951-09-08	3	2	2022-02-11 01:53:30.074
23287	2003-09-04	1	2	2022-02-11 14:26:21.210
18940	2008-06-11	1	2	2022-02-11 11:41:13.445
35157	2009-09-10	1	2	2022-02-11 01:09:18.229
20799	2001-02-09	2	1	2022-02-11 10:07:34.051
42020	1960-11-12	1	1	2022-02-11 19:38:55.528
28604	1995-09-18	2	1	2022-02-11 10:15:11.681
