userid	birthdate	profileLevel	gender	updatedTime
40322	1986-12-27	3	2	2022-02-12 22:37:14.153
14674	1978-04-06	2	1	2022-02-12 12:19:47.451
8137	1987-09-15	1	2	2022-02-12 17:21:37.091
7999	2008-04-03	3	1	2022-02-12 21:02:27.422
22870	1992-01-05	3	2	2022-02-12 01:41:18.052
15116	1950-07-23	1	2	2022-02-12 14:58:52.802
15396	1981-09-09	3	1	2022-02-12 09:43:49.243
3994	1970-06-24	3	1	2022-02-12 07:47:42.588
6361	2005-09-21	1	1	2022-02-12 23:21:38.954
21893	1964-07-05	1	2	2022-02-12 17:38:47.852
26652	1984-12-08	1	1	2022-02-12 13:01:18.702
714	1984-03-14	3	1	2022-02-12 10:55:30.127
39047	1992-08-11	2	1	2022-02-12 22:50:15.199
23531	1958-01-19	3	2	2022-02-12 17:35:13.567
5008	1950-03-09	1	1	2022-02-12 17:21:08.065
13595	2002-08-12	2	2	2022-02-12 01:10:49.401
39434	1996-05-04	1	2	2022-02-12 19:52:49.767
12947	1991-12-08	2	1	2022-02-12 08:24:54.965
9802	1966-12-24	1	2	2022-02-12 12:06:58.733
14337	2000-08-07	2	1	2022-02-12 19:32:39.134
30294	1953-05-13	3	2	2022-02-12 03:23:21.695
472	1982-06-22	3	1	2022-02-12 00:38:24.236
1538	1971-01-30	2	1	2022-02-12 02:42:52.257
24315	2006-08-15	1	1	2022-02-12 12:55:21.713
6331	1975-07-07	2	2	2022-02-12 00:42:09.535
28725	2008-08-12	1	1	2022-02-12 05:21:55.946
8798	1981-11-14	3	1	2022-02-12 15:49:29.963
11559	1996-06-20	3	1	2022-02-12 16:28:55.304
36098	2003-10-04	3	1	2022-02-12 08:17:55.151
38529	1996-12-15	2	2	2022-02-12 20:59:06.083
1662	1987-01-05	2	1	2022-02-12 02:55:46.074
24309	1980-08-10	3	1	2022-02-12 14:16:42.340
25045	1975-03-22	1	2	2022-02-12 18:13:17.731
369	1973-07-10	1	1	2022-02-12 20:17:30.250
25383	1988-08-01	1	2	2022-02-12 18:36:05.248
19897	2002-09-25	2	2	2022-02-12 09:22:34.306
11026	1966-08-08	1	2	2022-02-12 16:44:54.368
39905	1999-03-28	2	2	2022-02-12 20:16:52.404
985	1993-12-02	3	2	2022-02-12 05:24:47.148
21153	1996-03-26	3	2	2022-02-12 17:50:17.088
35729	1980-05-08	2	2	2022-02-12 18:33:40.769
17470	1976-11-08	2	1	2022-02-12 20:58:53.489
21309	2000-10-13	1	2	2022-02-12 16:05:02.882
35392	1958-09-29	3	1	2022-02-12 21:15:06.926
1139	1962-05-14	1	1	2022-02-12 17:57:26.027
11793	1983-01-27	1	1	2022-02-12 02:46:23.169
8744	1955-02-15	2	1	2022-02-12 03:52:14.756
19319	1956-07-31	1	1	2022-02-12 02:03:50.543
828	1993-08-19	3	2	2022-02-12 22:20:34.151
22395	1972-04-18	1	1	2022-02-12 15:24:59.455
27852	1995-04-09	3	1	2022-02-12 16:19:30.482
36985	2003-03-21	1	1	2022-02-12 02:04:35.397
4404	1955-09-09	1	2	2022-02-12 18:35:17.230
39599	1980-04-04	2	2	2022-02-12 01:57:36.317
21218	1984-02-20	3	2	2022-02-12 14:02:59.065
1911	1984-10-13	2	2	2022-02-12 20:31:54.013
26632	2006-08-23	2	1	2022-02-12 02:43:11.749
31273	1968-06-24	2	2	2022-02-12 16:27:32.127
19585	1984-01-10	3	2	2022-02-12 16:02:12.275
17231	2001-05-17	3	2	2022-02-12 18:41:29.122
18079	1966-06-13	1	2	2022-02-12 11:07:28.100
13493	2008-05-02	3	1	2022-02-12 03:15:39.864
10079	1995-10-12	1	2	2022-02-12 10:39:31.459
15605	1992-07-06	3	2	2022-02-12 02:28:31.543
19768	2007-02-14	3	1	2022-02-12 05:26:59.280
20895	1999-02-08	3	2	2022-02-12 16:28:09.192
31640	2000-06-14	1	2	2022-02-12 08:21:58.937
13552	1972-11-07	1	2	2022-02-12 17:19:42.658
37188	1971-04-27	3	2	2022-02-12 04:36:00.975
17489	1996-03-02	3	1	2022-02-12 19:22:42.786
10785	1997-06-03	3	1	2022-02-12 04:00:27.453
11713	1981-11-14	1	2	2022-02-12 11:12:44.354
7104	1973-09-30	2	2	2022-02-12 14:53:37.101
42695	1972-10-31	2	1	2022-02-12 21:54:47.207
16917	1983-03-29	1	2	2022-02-12 02:34:02.049
6073	1957-02-17	1	2	2022-02-12 00:28:20.214
9809	1986-03-31	2	2	2022-02-12 08:47:51.525
34419	2004-10-03	1	1	2022-02-12 20:47:42.043
22670	1997-02-16	2	2	2022-02-12 08:28:58.740
29941	1987-09-23	3	2	2022-02-12 13:05:11.288
28108	1978-12-17	2	2	2022-02-12 14:49:20.498
32179	1997-06-21	2	1	2022-02-12 09:41:12.716
24856	1989-11-16	3	1	2022-02-12 15:39:39.994
30296	1964-09-24	3	1	2022-02-12 20:35:27.692
44986	2005-04-21	1	2	2022-02-12 22:34:45.156
31265	1951-11-01	1	2	2022-02-12 19:00:44.024
28867	1973-04-29	1	2	2022-02-12 20:41:50.162
17786	1960-04-02	3	1	2022-02-12 07:50:27.818
16847	1993-12-13	1	2	2022-02-12 10:18:06.931
28222	1969-04-21	3	1	2022-02-12 11:00:58.302
23018	1994-08-07	3	1	2022-02-12 19:48:22.218
