userid	birthdate	profileLevel	gender	updatedTime
11708	2000-03-24	2	1	2022-02-13 17:47:35.152
7753	1999-09-07	3	1	2022-02-13 03:42:53.601
22629	1972-04-30	1	1	2022-02-13 11:35:30.813
34178	1967-04-23	3	1	2022-02-13 06:55:27.319
35653	1993-12-02	2	2	2022-02-13 02:48:15.815
20406	1973-07-27	1	1	2022-02-13 16:33:59.499
18693	2006-04-27	1	2	2022-02-13 00:39:23.652
16123	1989-02-22	1	1	2022-02-13 23:39:47.822
2536	1979-06-10	3	2	2022-02-13 11:46:20.580
39388	1996-09-01	3	2	2022-02-13 12:48:30.124
5501	2005-03-28	1	2	2022-02-13 07:09:39.854
18734	1957-01-02	3	1	2022-02-13 04:05:01.825
23579	2004-12-01	1	2	2022-02-13 08:34:36.410
3694	2001-11-17	1	2	2022-02-13 19:18:36.977
4795	1965-04-27	1	2	2022-02-13 03:05:50.506
19194	1961-02-01	1	2	2022-02-13 13:29:39.436
24624	1986-05-05	2	2	2022-02-13 23:18:33.612
35610	1963-09-16	1	1	2022-02-13 23:07:09.072
28973	1994-03-26	1	1	2022-02-13 11:26:54.553
6351	1960-05-14	1	2	2022-02-13 22:49:54.721
37060	1983-08-15	1	1	2022-02-13 04:56:34.082
3437	1965-10-02	2	2	2022-02-13 03:26:24.249
11285	1996-08-12	3	2	2022-02-13 12:31:23.930
9442	1975-09-18	3	2	2022-02-13 02:23:42.838
40041	1983-05-27	1	2	2022-02-13 22:54:19.722
31527	1954-07-26	1	1	2022-02-13 06:53:32.906
36819	2002-06-26	3	2	2022-02-13 21:56:49.943
15240	1956-10-18	2	2	2022-02-13 18:25:02.733
22497	1986-04-01	2	2	2022-02-13 07:33:09.844
17930	1984-04-21	3	2	2022-02-13 09:40:32.286
3579	1986-08-24	2	2	2022-02-13 15:26:45.339
32303	2001-02-17	1	2	2022-02-13 19:06:27.630
9741	1953-07-12	3	1	2022-02-13 17:58:18.619
28147	1958-04-16	3	1	2022-02-13 17:54:43.572
19378	1961-02-15	3	1	2022-02-13 09:41:58.956
27054	1970-12-01	2	2	2022-02-13 07:47:06.000
40324	2001-11-04	3	2	2022-02-13 10:45:38.540
9373	1957-04-24	1	1	2022-02-13 16:36:14.626
13396	1988-12-15	1	1	2022-02-13 20:22:48.255
20737	1968-12-29	3	2	2022-02-13 21:05:47.876
30674	1985-03-12	2	1	2022-02-13 21:44:08.130
37507	1982-12-11	3	1	2022-02-13 09:53:33.271
29169	1962-06-20	2	1	2022-02-13 05:52:27.711
1547	1983-10-01	2	1	2022-02-13 08:36:35.747
42607	1973-08-15	3	2	2022-02-13 08:07:02.339
24398	1966-10-01	2	2	2022-02-13 06:07:10.525
23345	2009-01-02	3	1	2022-02-13 06:41:53.793
11332	1960-07-12	2	1	2022-02-13 00:11:42.931
35652	1998-08-21	2	2	2022-02-13 14:25:13.614
40242	1998-12-08	2	1	2022-02-13 07:04:12.100
26662	1994-11-30	2	1	2022-02-13 15:00:44.093
33297	1980-12-20	2	1	2022-02-13 01:10:14.948
16028	2008-03-02	3	2	2022-02-13 10:15:31.876
16497	1997-03-14	2	1	2022-02-13 09:35:25.595
21899	2002-09-23	1	1	2022-02-13 10:53:44.851
38847	1956-01-28	1	1	2022-02-13 04:12:39.719
6920	1977-10-26	2	1	2022-02-13 14:25:41.315
30162	1988-03-04	1	2	2022-02-13 18:56:04.339
37846	1972-12-15	1	1	2022-02-13 19:46:01.762
40546	1993-05-08	3	2	2022-02-13 11:25:58.249
40807	1974-05-21	3	2	2022-02-13 18:52:29.706
44881	1992-12-30	1	1	2022-02-13 09:12:57.713
21320	1976-08-29	1	2	2022-02-13 06:25:07.578
18997	1968-03-20	2	2	2022-02-13 02:38:02.632
19405	1976-02-08	3	2	2022-02-13 16:36:10.438
35900	1961-04-27	1	1	2022-02-13 22:56:15.015
229	1958-04-05	2	2	2022-02-13 06:23:46.644
7251	1959-03-01	2	2	2022-02-13 07:53:20.542
