userid	birthdate	profileLevel	gender	updatedTime
14711	2008-02-27	3	1	2022-02-14 03:10:04.185
6447	1977-12-01	1	2	2022-02-14 12:39:52.874
1141	1961-12-27	3	1	2022-02-14 05:50:26.191
32723	1978-01-08	1	1	2022-02-14 07:08:15.182
26240	1986-08-27	3	1	2022-02-14 14:13:14.180
30022	1990-04-12	3	2	2022-02-14 19:51:40.050
6063	1976-07-17	2	1	2022-02-14 15:42:00.476
34561	1953-11-24	3	1	2022-02-14 14:29:08.813
42504	1985-08-20	1	2	2022-02-14 12:30:41.264
17789	1992-09-04	2	1	2022-02-14 18:09:48.062
1697	1981-11-03	2	2	2022-02-14 03:03:39.202
9632	1966-12-17	3	1	2022-02-14 06:53:21.681
27227	1984-10-04	3	2	2022-02-14 13:07:16.887
33843	1981-04-01	1	1	2022-02-14 11:11:55.204
16461	1997-01-10	1	2	2022-02-14 12:55:14.653
39124	1966-02-23	2	2	2022-02-14 18:54:34.315
15211	1972-05-26	2	1	2022-02-14 06:49:01.199
41529	1982-05-05	1	2	2022-02-14 22:00:22.375
40592	1961-06-23	2	2	2022-02-14 16:52:21.261
15325	1956-07-08	1	1	2022-02-14 07:59:51.898
17351	1961-03-10	1	2	2022-02-14 21:58:40.117
16296	1983-04-29	3	1	2022-02-14 12:29:04.639
14343	1965-11-13	1	2	2022-02-14 00:35:17.892
20614	1993-11-23	3	2	2022-02-14 13:06:44.612
28943	1980-08-20	1	2	2022-02-14 08:07:33.276
44570	1964-08-15	3	1	2022-02-14 23:20:14.957
18002	1997-08-09	3	1	2022-02-14 16:17:03.071
25178	2007-03-10	3	1	2022-02-14 03:36:50.479
15173	1960-08-10	2	2	2022-02-14 03:41:06.217
38674	2007-05-28	1	2	2022-02-14 09:05:21.708
18371	1987-10-07	3	2	2022-02-14 00:04:39.858
35379	1962-08-20	1	1	2022-02-14 12:49:39.840
29885	1965-04-15	1	2	2022-02-14 02:00:34.749
9779	1963-08-23	3	2	2022-02-14 19:27:10.410
42320	1970-09-02	1	2	2022-02-14 08:16:47.987
23285	1993-02-25	2	2	2022-02-14 02:56:09.084
7686	2008-12-10	2	2	2022-02-14 10:29:47.556
32084	1971-01-09	3	1	2022-02-14 20:50:00.478
15526	1996-04-02	3	1	2022-02-14 10:51:09.447
2350	2007-02-17	2	2	2022-02-14 15:51:04.493
17591	2001-04-01	2	1	2022-02-14 23:39:11.951
28581	1990-03-07	2	2	2022-02-14 11:24:56.275
24864	2002-08-21	3	2	2022-02-14 05:58:54.201
12477	1966-07-13	1	1	2022-02-14 15:50:10.031
11125	1992-06-13	3	2	2022-02-14 15:00:13.552
31244	1981-06-07	2	2	2022-02-14 13:21:49.892
17871	1997-10-22	3	2	2022-02-14 10:29:08.012
15328	1987-03-01	1	1	2022-02-14 06:55:50.632
2231	1954-10-05	2	2	2022-02-14 01:27:40.134
20965	2000-11-27	2	2	2022-02-14 14:23:27.796
29785	1985-03-26	3	1	2022-02-14 02:13:43.287
14828	2008-04-29	2	1	2022-02-14 14:07:44.319
10507	1996-09-04	1	1	2022-02-14 07:29:15.553
37447	1973-10-03	2	2	2022-02-14 01:12:53.205
29066	1980-08-25	1	2	2022-02-14 17:46:13.838
29183	2003-03-27	3	1	2022-02-14 10:08:42.991
27805	1966-06-02	2	2	2022-02-14 04:41:57.934
37161	1983-01-07	1	2	2022-02-14 22:40:39.276
43959	1997-02-13	1	2	2022-02-14 23:54:10.087
1472	1971-08-11	3	1	2022-02-14 15:41:43.588
31243	2007-04-04	1	2	2022-02-14 00:58:40.594
36260	2004-10-20	3	1	2022-02-14 14:34:13.565
1851	2008-09-17	1	2	2022-02-14 23:22:10.246
32148	1953-10-30	1	2	2022-02-14 01:36:17.419
10950	1982-07-06	1	1	2022-02-14 19:01:02.618
30700	2004-01-30	3	2	2022-02-14 12:01:20.861
29985	1958-08-13	3	2	2022-02-14 03:07:34.370
16476	2001-03-01	2	2	2022-02-14 08:45:20.119
30313	1958-12-31	3	2	2022-02-14 00:20:00.134
20072	1959-08-09	1	2	2022-02-14 06:40:50.243
6066	1962-02-09	3	1	2022-02-14 21:40:17.391
21782	2007-04-05	3	2	2022-02-14 17:29:27.300
15025	2003-12-20	2	1	2022-02-14 00:35:48.407
31498	1990-04-17	3	2	2022-02-14 07:48:04.630
25518	1956-05-24	3	2	2022-02-14 02:22:57.891
1711	1966-01-29	2	2	2022-02-14 11:14:47.182
9174	1999-02-03	3	2	2022-02-14 13:07:04.657
14718	1978-11-19	3	1	2022-02-14 23:34:19.150
5052	2001-07-05	1	1	2022-02-14 21:50:05.502
29913	2005-02-17	2	2	2022-02-14 22:15:11.995
9681	2004-07-13	3	1	2022-02-14 05:13:53.515
10429	1987-03-30	1	2	2022-02-14 23:10:33.657
25658	2004-07-01	3	2	2022-02-14 03:50:30.662
22981	1950-07-31	3	2	2022-02-14 11:26:59.627
44608	1994-01-11	3	1	2022-02-14 19:15:37.467
37984	1971-05-02	2	1	2022-02-14 11:15:58.640
7533	1950-09-03	2	1	2022-02-14 17:27:30.505
32289	2003-04-02	3	2	2022-02-14 03:59:38.496
23087	2006-07-07	3	2	2022-02-14 23:20:34.022
26319	1979-01-01	3	2	2022-02-14 14:17:12.110
9506	2008-05-04	3	1	2022-02-14 05:37:40.107
38096	1998-12-31	1	2	2022-02-14 02:50:11.644
3086	1965-03-09	2	1	2022-02-14 10:47:46.984
31634	1997-10-06	3	1	2022-02-14 23:28:26.539
36260	1965-09-08	1	2	2022-02-14 20:13:21.921
4256	2001-09-16	1	1	2022-02-14 01:30:20.845
34903	1982-07-22	2	2	2022-02-14 15:24:43.351
1169	2004-08-20	1	1	2022-02-14 05:31:30.298
10140	2003-09-25	1	1	2022-02-14 01:30:29.051
24277	2000-08-18	2	1	2022-02-14 03:13:02.519
40908	2008-01-17	1	1	2022-02-14 09:49:59.501
21298	1957-02-13	3	1	2022-02-14 14:55:03.722
38952	1955-01-02	1	2	2022-02-14 04:02:02.358
13302	1990-11-25	3	1	2022-02-14 06:25:32.567
15804	1966-07-16	2	2	2022-02-14 16:43:52.175
22145	2009-08-22	3	2	2022-02-14 15:49:19.156
38718	2008-03-24	2	1	2022-02-14 12:10:32.717
26304	2005-07-05	1	1	2022-02-14 22:32:06.865
36404	1984-10-21	1	2	2022-02-14 12:40:08.731
13346	1963-10-17	3	2	2022-02-14 09:12:58.300
22688	2009-02-19	3	2	2022-02-14 14:19:16.045
8882	1971-04-18	2	2	2022-02-14 15:38:23.446
5922	1976-04-10	3	1	2022-02-14 15:57:25.839
13759	1972-06-20	2	2	2022-02-14 05:41:22.470
39471	1959-08-29	2	2	2022-02-14 13:40:51.867
29843	1979-09-10	2	2	2022-02-14 13:36:22.883
10646	1982-11-27	1	2	2022-02-14 23:58:49.578
