userid	birthdate	profileLevel	gender	updatedTime
5315	1967-04-02	3	2	2022-02-15 06:30:46.738
44697	1960-11-29	1	1	2022-02-15 09:01:59.111
15929	1990-07-25	2	1	2022-02-15 17:21:17.783
16179	1968-06-18	2	1	2022-02-15 22:04:10.840
7211	1960-07-03	2	2	2022-02-15 10:18:11.901
29385	1997-06-23	3	1	2022-02-15 04:25:56.828
42950	1959-05-26	2	1	2022-02-15 00:03:35.346
25288	1959-12-17	3	2	2022-02-15 11:25:29.654
21155	1996-04-02	2	1	2022-02-15 01:22:14.400
2953	1971-05-13	3	2	2022-02-15 19:54:54.196
22857	1988-11-20	1	1	2022-02-15 05:53:16.052
27781	1964-03-10	1	2	2022-02-15 19:03:41.364
17753	1968-03-23	1	2	2022-02-15 13:37:58.269
26735	1983-08-29	2	2	2022-02-15 05:40:54.500
35397	1988-07-08	3	1	2022-02-15 00:00:45.715
1003	1978-02-17	2	1	2022-02-15 12:29:19.965
28796	2002-09-11	2	2	2022-02-15 09:36:23.768
10325	1987-08-28	2	1	2022-02-15 07:20:36.781
39423	2008-08-10	1	1	2022-02-15 17:21:16.737
16758	1984-12-29	3	2	2022-02-15 09:59:21.061
39431	1955-11-21	3	2	2022-02-15 00:46:19.167
42640	1982-04-30	1	2	2022-02-15 12:55:17.115
10521	1957-06-02	1	1	2022-02-15 21:31:15.777
33622	1960-09-28	1	2	2022-02-15 18:49:26.861
14033	1961-03-01	3	2	2022-02-15 05:53:45.485
34805	1974-02-27	1	2	2022-02-15 19:38:05.769
14632	1962-04-09	2	2	2022-02-15 06:03:58.803
1082	2000-05-29	2	1	2022-02-15 03:54:08.664
34283	1972-10-09	1	2	2022-02-15 05:56:52.820
15030	1982-08-07	3	2	2022-02-15 13:45:37.169
16825	2001-12-04	2	2	2022-02-15 12:03:10.014
28657	1952-04-26	1	2	2022-02-15 11:05:34.660
28153	1963-06-30	3	2	2022-02-15 15:35:11.057
7254	1995-02-20	1	2	2022-02-15 14:58:39.094
4115	1966-09-02	3	2	2022-02-15 04:08:35.444
29971	1996-06-02	1	1	2022-02-15 08:54:10.956
15193	1982-01-20	1	2	2022-02-15 05:11:42.461
39166	1953-07-16	2	2	2022-02-15 05:21:10.655
16162	1974-06-21	1	2	2022-02-15 12:53:42.727
21096	2001-07-20	2	1	2022-02-15 18:38:36.290
36013	1968-07-20	1	2	2022-02-15 11:24:47.639
502	1965-04-03	2	2	2022-02-15 09:39:46.721
27520	1955-12-16	3	2	2022-02-15 23:25:46.017
38585	1968-10-31	1	2	2022-02-15 11:10:44.672
32005	1998-07-19	2	2	2022-02-15 17:05:46.610
42694	1997-02-26	1	2	2022-02-15 00:40:56.509
17404	1994-04-25	1	1	2022-02-15 20:17:43.847
29966	1975-08-05	1	1	2022-02-15 12:26:38.898
39035	1994-04-26	1	2	2022-02-15 04:59:26.429
34963	1957-12-21	3	1	2022-02-15 06:50:26.385
10662	1980-10-27	1	1	2022-02-15 00:26:25.758
43205	2005-01-10	2	1	2022-02-15 13:49:44.630
11733	2004-03-14	3	1	2022-02-15 08:43:22.112
38031	1982-07-16	1	1	2022-02-15 05:01:50.330
39299	2003-08-19	1	1	2022-02-15 07:43:22.547
30599	1960-12-13	2	2	2022-02-15 00:49:07.134
40675	2002-12-30	3	2	2022-02-15 22:52:35.548
22247	1979-07-21	2	2	2022-02-15 20:46:39.119
16585	1958-01-29	2	1	2022-02-15 09:55:01.618
25845	1998-10-22	1	1	2022-02-15 04:42:23.657
33169	1988-01-10	3	2	2022-02-15 00:52:46.865
32409	1992-11-07	3	2	2022-02-15 15:34:14.906
13667	2007-08-18	1	1	2022-02-15 18:47:20.766
29818	2002-08-11	2	1	2022-02-15 03:53:26.054
39006	1998-05-29	1	2	2022-02-15 11:34:20.510
12655	1981-12-13	1	1	2022-02-15 14:21:18.051
13842	1970-12-19	3	2	2022-02-15 12:07:48.369
14631	1968-05-13	1	1	2022-02-15 06:49:14.042
759	1967-09-15	2	1	2022-02-15 15:44:49.938
43477	1993-03-10	3	1	2022-02-15 20:55:05.398
6097	1996-12-29	1	1	2022-02-15 15:29:46.868
7630	1959-06-10	2	2	2022-02-15 17:36:30.083
17859	1966-12-04	3	1	2022-02-15 12:16:52.054
35919	1973-05-25	2	2	2022-02-15 14:18:32.218
39689	2009-07-14	3	1	2022-02-15 11:51:17.577
39942	1985-02-11	3	1	2022-02-15 02:37:30.744
42590	1984-09-25	2	1	2022-02-15 07:38:40.727
10162	1966-08-25	3	1	2022-02-15 16:10:11.502
1252	1964-05-04	3	1	2022-02-15 18:51:02.487
2810	1979-08-13	1	2	2022-02-15 00:00:08.198
4522	1993-09-01	2	1	2022-02-15 22:24:46.057
26929	1954-11-25	3	2	2022-02-15 22:39:41.516
37990	1982-09-11	1	1	2022-02-15 21:50:29.032
2982	1959-03-27	1	1	2022-02-15 10:18:03.270
6594	1984-12-01	2	2	2022-02-15 17:03:47.385
40769	1971-11-30	3	2	2022-02-15 04:23:30.531
28848	1990-10-26	2	1	2022-02-15 17:30:58.446
16769	1951-09-07	2	2	2022-02-15 23:09:30.327
39353	1978-12-25	1	1	2022-02-15 21:43:56.109
2976	1985-05-06	3	1	2022-02-15 16:08:13.969
26569	1979-08-31	2	2	2022-02-15 13:04:22.545
9905	2000-02-08	2	1	2022-02-15 22:04:33.287
30887	1958-01-03	3	1	2022-02-15 12:03:54.119
8962	2004-11-23	1	2	2022-02-15 18:37:22.484
