userid	birthdate	profileLevel	gender	updatedTime
34145	1981-03-10	1	2	2022-02-17 16:08:34.770
36733	1975-05-02	2	1	2022-02-17 15:02:56.605
36638	1961-01-03	1	2	2022-02-17 06:25:13.425
6778	1974-04-10	1	2	2022-02-17 00:49:39.440
41022	1986-11-04	3	2	2022-02-17 01:49:51.234
27411	1999-12-22	3	2	2022-02-17 23:36:22.322
34161	1965-09-25	1	1	2022-02-17 22:14:04.319
21850	1986-01-15	2	2	2022-02-17 13:27:01.900
8806	1975-02-21	3	1	2022-02-17 21:54:28.015
26293	1965-04-16	3	2	2022-02-17 16:12:02.808
36548	1996-01-30	1	1	2022-02-17 01:03:03.093
33640	1964-06-01	2	1	2022-02-17 05:59:05.345
18293	1972-12-13	2	1	2022-02-17 02:30:40.356
24265	2002-11-01	3	1	2022-02-17 04:37:12.318
6443	1986-06-20	1	2	2022-02-17 17:16:43.447
36914	1971-02-08	3	1	2022-02-17 13:14:09.792
33339	1955-09-08	1	1	2022-02-17 11:29:22.170
30767	1965-12-27	3	1	2022-02-17 15:52:01.719
43251	1997-11-12	3	1	2022-02-17 12:15:58.710
11156	1974-02-07	1	2	2022-02-17 14:02:19.934
41450	2006-09-12	1	1	2022-02-17 14:59:21.820
28521	1981-10-24	3	2	2022-02-17 07:38:56.904
3067	2000-04-19	1	1	2022-02-17 16:34:48.763
32006	1986-12-25	2	1	2022-02-17 13:06:49.617
20027	1983-11-27	1	2	2022-02-17 14:29:19.105
33805	1981-10-28	3	1	2022-02-17 11:44:29.720
35926	1978-10-07	3	1	2022-02-17 17:15:46.374
28244	1992-11-11	3	2	2022-02-17 22:05:26.890
31333	1972-04-17	1	2	2022-02-17 16:12:24.941
43565	2006-08-26	1	2	2022-02-17 19:33:04.044
31328	1971-05-07	3	1	2022-02-17 15:18:49.152
18430	1974-02-21	2	2	2022-02-17 08:48:33.022
12044	1958-08-13	2	1	2022-02-17 11:00:41.367
21630	1965-09-03	3	2	2022-02-17 13:32:16.389
40820	1979-03-02	1	1	2022-02-17 19:31:06.978
17401	2004-09-05	2	1	2022-02-17 03:07:37.763
18740	1994-02-14	1	1	2022-02-17 17:01:56.304
13443	1951-01-29	2	1	2022-02-17 18:35:49.112
38003	1975-12-18	3	2	2022-02-17 22:54:50.829
33796	1967-11-05	3	2	2022-02-17 15:47:42.526
37977	1999-07-19	2	2	2022-02-17 18:56:31.437
10929	2009-10-24	1	1	2022-02-17 03:18:36.427
41826	1997-01-25	2	2	2022-02-17 23:55:17.843
42086	1970-01-20	1	2	2022-02-17 06:42:52.432
30025	1955-04-26	1	2	2022-02-17 18:51:12.736
14677	1989-03-26	1	2	2022-02-17 08:35:56.751
41802	1953-02-15	3	1	2022-02-17 11:50:08.157
13639	1979-09-13	2	2	2022-02-17 20:01:17.115
12979	1984-07-05	1	2	2022-02-17 04:14:13.603
35037	1987-03-01	2	1	2022-02-17 22:34:44.726
3461	1952-03-10	1	1	2022-02-17 16:48:42.308
3963	1955-09-28	1	2	2022-02-17 13:37:04.626
32858	1998-08-31	3	1	2022-02-17 12:35:00.268
5273	1998-05-22	1	2	2022-02-17 09:40:55.052
27008	1979-08-02	3	2	2022-02-17 16:07:00.340
24779	1998-11-22	2	2	2022-02-17 03:44:59.774
34097	1959-09-24	3	2	2022-02-17 04:25:27.614
35510	1971-11-19	3	2	2022-02-17 13:15:53.805
2465	1951-01-31	1	1	2022-02-17 14:11:37.438
3162	1990-08-20	2	1	2022-02-17 15:17:14.049
42200	2000-05-29	2	1	2022-02-17 18:12:58.732
22823	1977-10-18	1	2	2022-02-17 13:31:50.117
35005	1999-04-19	3	2	2022-02-17 11:14:30.364
17257	1965-06-17	2	2	2022-02-17 10:16:42.643
32687	1975-12-07	2	1	2022-02-17 15:20:04.985
35562	1988-10-08	2	2	2022-02-17 03:17:19.364
20025	2009-04-27	3	2	2022-02-17 07:27:48.869
39060	2002-01-15	2	2	2022-02-17 07:06:45.704
40023	1973-12-05	2	1	2022-02-17 07:53:34.928
42045	2001-04-15	1	2	2022-02-17 00:35:08.648
14866	1969-07-21	1	1	2022-02-17 01:08:10.273
3701	1986-09-21	1	2	2022-02-17 12:12:58.184
8469	1997-05-15	3	1	2022-02-17 18:14:34.061
23675	2003-09-27	1	2	2022-02-17 08:18:04.608
10464	1957-05-16	1	1	2022-02-17 22:41:06.781
18352	1977-10-12	3	1	2022-02-17 23:46:21.645
4195	1972-07-09	1	2	2022-02-17 21:20:06.663
17885	1965-03-23	3	2	2022-02-17 02:20:25.565
43083	1974-10-07	2	1	2022-02-17 12:36:05.350
30383	1987-12-06	2	2	2022-02-17 20:47:31.603
8242	1985-02-18	1	2	2022-02-17 16:10:50.237
40965	1966-01-29	1	2	2022-02-17 19:13:02.516
11254	2004-02-20	2	2	2022-02-17 04:06:20.681
853	1964-08-11	2	1	2022-02-17 22:20:11.316
34571	1990-06-27	2	2	2022-02-17 08:19:09.709
12014	1968-06-22	2	2	2022-02-17 10:56:43.643
22229	1989-09-11	2	2	2022-02-17 13:10:17.969
17384	1989-08-03	2	1	2022-02-17 07:37:00.284
16796	1976-06-12	2	2	2022-02-17 14:51:24.546
1204	1990-07-05	2	2	2022-02-17 13:11:28.293
14792	1980-06-19	3	1	2022-02-17 12:24:59.363
42548	1974-12-02	2	2	2022-02-17 07:41:51.244
33626	1954-10-31	3	2	2022-02-17 10:06:28.099
30826	2007-03-13	2	1	2022-02-17 15:12:14.277
11443	1950-04-10	3	1	2022-02-17 07:11:21.815
42828	1955-03-26	2	2	2022-02-17 03:43:47.365
12482	1992-03-17	1	2	2022-02-17 11:20:44.977
13734	1997-06-23	2	2	2022-02-17 03:45:36.538
35615	1988-03-19	3	1	2022-02-17 10:01:52.469
14954	1972-01-07	1	1	2022-02-17 09:19:23.135
2895	1976-12-03	2	2	2022-02-17 22:23:37.236
26891	2000-09-29	3	2	2022-02-17 01:00:52.396
14771	1963-08-26	2	1	2022-02-17 20:05:55.554
5145	1998-10-07	2	2	2022-02-17 05:12:37.582
41749	1993-07-18	3	1	2022-02-17 03:45:52.202
2847	2007-03-18	1	1	2022-02-17 12:55:58.238
35659	1981-05-17	1	1	2022-02-17 01:50:13.494
7753	1963-11-18	3	2	2022-02-17 07:32:51.723
23024	1989-04-11	3	1	2022-02-17 08:37:20.305
7778	2004-12-11	2	1	2022-02-17 05:27:26.393
30152	2004-08-10	3	1	2022-02-17 12:26:01.559
40109	1953-07-30	1	1	2022-02-17 16:25:35.149
34483	1972-03-09	2	1	2022-02-17 06:41:44.303
36732	1961-12-17	3	1	2022-02-17 15:42:06.877
12582	2008-02-27	3	1	2022-02-17 20:15:56.925
27611	1952-04-20	2	2	2022-02-17 14:49:31.445
43749	1985-07-05	3	1	2022-02-17 09:01:59.279
17308	1960-03-13	3	1	2022-02-17 12:57:03.371
27498	1997-03-22	2	1	2022-02-17 01:15:11.504
32513	1956-12-14	2	2	2022-02-17 17:27:51.086
43772	1999-07-19	3	1	2022-02-17 23:02:10.170
1570	2008-08-25	2	2	2022-02-17 12:20:52.827
37960	1956-07-24	2	1	2022-02-17 10:53:40.456
17839	1992-06-03	1	1	2022-02-17 17:09:16.669
29673	1964-03-04	1	1	2022-02-17 19:16:43.115
19576	1977-02-09	2	1	2022-02-17 02:19:04.714
3008	1974-09-05	2	1	2022-02-17 01:50:19.981
31951	1987-11-17	1	1	2022-02-17 22:32:08.291
27296	1991-06-16	1	2	2022-02-17 09:46:55.766
32938	1952-05-17	1	2	2022-02-17 09:15:04.823
6851	1974-09-03	3	1	2022-02-17 13:36:33.281
33702	1958-11-07	3	2	2022-02-17 02:03:26.878
10144	1999-06-12	3	2	2022-02-17 20:15:19.687
22393	1976-07-13	2	2	2022-02-17 11:45:53.864
38930	1962-02-05	2	1	2022-02-17 00:50:41.352
44142	1978-01-16	3	1	2022-02-17 07:41:30.258
29833	1975-07-17	2	1	2022-02-17 12:57:58.014
6437	1954-02-11	3	2	2022-02-17 20:25:21.254
14658	1954-12-07	3	1	2022-02-17 03:55:24.022
40064	1951-08-25	3	1	2022-02-17 14:30:46.157
29196	1987-06-07	3	2	2022-02-17 22:18:46.883
11072	1976-01-02	2	2	2022-02-17 01:10:10.135
42140	1979-11-01	2	2	2022-02-17 07:18:34.645
11945	2000-11-06	2	1	2022-02-17 08:33:57.695
35710	1967-10-31	2	2	2022-02-17 06:10:20.971
18786	1986-03-25	2	2	2022-02-17 12:51:03.972
2242	1975-12-05	2	2	2022-02-17 20:45:44.915
15792	1961-02-12	2	2	2022-02-17 18:09:41.792
8492	1966-12-16	2	2	2022-02-17 04:49:03.716
35853	1953-06-20	2	2	2022-02-17 18:11:50.288
14992	1974-03-18	3	2	2022-02-17 06:47:11.203
17428	1973-06-29	1	1	2022-02-17 05:51:18.216
27900	1952-01-19	3	1	2022-02-17 15:26:38.447
2402	1986-10-28	2	1	2022-02-17 00:40:19.050
32849	1961-07-10	3	1	2022-02-17 07:34:11.700
23222	1992-09-20	2	2	2022-02-17 17:15:40.080
