userid	birthdate	profileLevel	gender	updatedTime
36951	2001-10-19	2	2	2022-02-18 15:48:34.616
16782	1982-08-20	3	1	2022-02-18 12:55:51.910
2283	1997-08-04	2	1	2022-02-18 20:36:28.993
27158	2007-10-27	2	2	2022-02-18 11:56:57.187
9853	1991-08-30	2	2	2022-02-18 08:29:29.492
20402	2005-11-18	1	2	2022-02-18 04:18:06.340
12449	2008-11-08	3	2	2022-02-18 18:47:07.115
13673	1982-07-03	2	1	2022-02-18 01:20:11.160
34468	1960-01-27	1	1	2022-02-18 06:03:54.189
15670	1959-07-31	3	2	2022-02-18 02:43:57.410
39677	1979-04-20	1	1	2022-02-18 07:11:33.079
44602	1976-12-18	3	2	2022-02-18 13:26:54.229
34431	1961-08-01	3	1	2022-02-18 12:32:58.020
26405	2007-09-28	3	2	2022-02-18 06:53:01.708
16394	1982-05-24	3	2	2022-02-18 19:17:03.622
10206	1951-01-07	1	1	2022-02-18 04:44:42.745
3527	1996-09-01	2	1	2022-02-18 09:35:13.812
34076	1950-08-22	3	1	2022-02-18 10:33:48.801
36452	1984-06-18	3	2	2022-02-18 02:11:08.044
22497	1974-04-26	3	2	2022-02-18 06:26:47.190
1989	1974-10-22	2	1	2022-02-18 02:04:47.782
5065	2009-08-11	1	2	2022-02-18 19:23:45.044
12481	1995-04-26	3	2	2022-02-18 14:26:00.207
20373	1990-01-03	3	1	2022-02-18 15:47:42.907
44266	1990-01-21	1	1	2022-02-18 13:44:32.690
38131	2001-08-16	3	1	2022-02-18 06:06:00.260
13968	1999-06-15	1	2	2022-02-18 05:28:20.654
9247	1964-03-12	1	2	2022-02-18 12:04:50.656
7631	1956-09-30	1	1	2022-02-18 17:36:43.376
14378	1976-10-11	3	2	2022-02-18 15:17:11.322
24658	1983-01-23	1	1	2022-02-18 16:03:18.485
2926	1967-07-24	1	2	2022-02-18 04:04:23.610
31	1971-01-22	1	1	2022-02-18 07:30:56.799
28204	1956-06-27	3	2	2022-02-18 00:52:45.295
26619	2009-11-21	1	2	2022-02-18 18:08:24.227
40	2002-04-02	3	1	2022-02-18 23:43:15.945
30091	1951-02-18	3	1	2022-02-18 02:40:50.692
1898	1957-12-14	1	2	2022-02-18 10:31:13.554
25996	1974-01-01	3	2	2022-02-18 09:00:24.541
17837	1955-08-20	1	1	2022-02-18 01:26:20.949
30271	1975-03-18	3	2	2022-02-18 20:05:38.120
29061	1993-02-28	2	1	2022-02-18 22:17:45.860
41755	1956-03-08	2	1	2022-02-18 04:25:06.446
31232	2006-06-18	1	1	2022-02-18 20:52:16.189
4857	2007-06-28	1	1	2022-02-18 18:38:59.347
42040	1956-05-02	1	2	2022-02-18 20:02:51.540
4823	1957-09-08	1	2	2022-02-18 18:27:05.618
22082	1959-08-01	1	1	2022-02-18 13:22:53.678
35489	2004-12-12	3	2	2022-02-18 21:39:06.882
5487	1989-12-28	1	2	2022-02-18 14:33:32.891
3704	2002-10-13	1	1	2022-02-18 08:13:32.184
29263	1985-07-12	1	1	2022-02-18 23:29:28.653
25722	1950-02-03	2	2	2022-02-18 23:38:34.937
31461	1980-03-01	1	1	2022-02-18 09:38:49.848
37246	1965-04-16	1	2	2022-02-18 10:11:24.740
16336	1970-01-07	3	2	2022-02-18 00:38:36.194
44337	1976-05-17	2	1	2022-02-18 18:39:13.623
24395	1986-02-15	3	1	2022-02-18 23:03:25.808
14891	1988-01-09	3	2	2022-02-18 19:25:25.046
28057	1957-04-14	1	1	2022-02-18 11:23:22.858
14008	2004-03-06	1	2	2022-02-18 23:27:52.674
22497	1999-06-20	1	2	2022-02-18 08:45:58.729
13869	2002-02-03	2	2	2022-02-18 23:02:06.540
14725	1961-12-05	3	2	2022-02-18 00:00:33.714
32793	1993-07-19	3	2	2022-02-18 06:32:44.809
2759	1960-05-21	1	1	2022-02-18 14:13:53.206
22977	1992-04-12	1	1	2022-02-18 04:07:09.121
39206	1990-04-05	1	1	2022-02-18 17:27:43.388
12841	1959-08-06	2	1	2022-02-18 05:10:49.150
19443	1951-10-15	3	1	2022-02-18 09:27:39.974
19422	2002-12-20	3	2	2022-02-18 02:26:07.722
32393	1970-03-26	1	1	2022-02-18 18:13:21.487
39736	1995-03-09	2	2	2022-02-18 14:21:55.174
13377	1969-05-18	1	1	2022-02-18 19:51:44.025
35595	1971-04-20	2	1	2022-02-18 18:21:31.671
39966	2003-10-04	2	1	2022-02-18 16:39:48.576
33817	1982-08-28	3	2	2022-02-18 05:53:41.934
7762	1982-07-13	3	2	2022-02-18 14:54:19.414
13301	1951-02-16	1	2	2022-02-18 03:18:18.892
29274	1998-01-28	2	2	2022-02-18 07:06:33.755
14140	1952-02-08	3	2	2022-02-18 08:33:59.034
16783	2006-09-14	3	2	2022-02-18 02:35:24.524
2215	1982-08-19	3	1	2022-02-18 14:13:26.765
3444	1984-10-13	1	2	2022-02-18 21:19:26.842
11495	1991-05-13	2	1	2022-02-18 17:27:37.032
43416	1972-04-13	3	2	2022-02-18 07:48:56.211
28558	1988-12-20	1	2	2022-02-18 04:02:24.989
41926	1969-06-13	1	2	2022-02-18 21:59:47.311
1659	1993-01-17	1	1	2022-02-18 11:12:53.028
14161	1964-08-29	1	2	2022-02-18 13:00:05.252
15234	1951-05-09	3	1	2022-02-18 12:16:44.844
1625	1986-12-11	3	1	2022-02-18 08:18:11.135
4279	1979-02-16	1	1	2022-02-18 17:03:34.782
