userid	birthdate	profileLevel	gender	updatedTime
18900	1980-07-01	2	2	2022-02-19 10:19:48.438
31145	1980-12-28	3	1	2022-02-19 09:33:23.373
16676	2005-06-09	1	2	2022-02-19 04:29:57.606
13514	1972-10-14	3	2	2022-02-19 13:30:28.399
27553	1951-02-21	3	1	2022-02-19 20:20:33.420
32859	1999-04-03	3	2	2022-02-19 18:44:03.533
28958	2002-01-17	3	1	2022-02-19 02:07:45.801
19736	1965-04-09	3	1	2022-02-19 03:37:03.151
274	1951-05-22	3	2	2022-02-19 11:53:24.686
12604	1963-04-26	2	1	2022-02-19 18:14:25.001
14388	1993-10-19	1	2	2022-02-19 16:11:22.676
7011	1990-01-28	1	2	2022-02-19 08:09:10.755
17934	1956-09-28	3	1	2022-02-19 23:23:53.954
8184	1978-05-07	1	1	2022-02-19 06:10:06.238
8427	1959-11-04	2	1	2022-02-19 23:23:40.954
22200	1993-05-21	2	1	2022-02-19 10:24:47.807
3849	1969-03-27	2	2	2022-02-19 19:24:16.147
3771	2009-08-22	3	2	2022-02-19 09:05:03.888
20682	2002-11-16	1	2	2022-02-19 16:59:02.182
27423	1950-05-19	1	1	2022-02-19 10:20:01.588
30709	1969-12-20	3	1	2022-02-19 10:38:37.269
10866	1970-08-16	3	1	2022-02-19 07:06:23.414
9267	1994-04-14	1	1	2022-02-19 00:03:49.332
9687	1961-02-22	2	2	2022-02-19 11:55:46.820
10510	1951-09-18	2	1	2022-02-19 23:14:32.782
40061	1959-11-15	2	2	2022-02-19 21:32:11.292
16886	1958-11-01	2	1	2022-02-19 05:46:58.421
39205	1958-06-26	1	1	2022-02-19 21:00:33.622
25282	1952-06-30	3	1	2022-02-19 18:31:27.164
12341	1973-10-18	3	2	2022-02-19 03:11:40.205
37250	1982-10-05	3	2	2022-02-19 21:55:17.939
35339	1964-12-25	2	2	2022-02-19 20:23:22.609
35330	2001-01-09	1	2	2022-02-19 13:17:39.833
10443	1992-07-23	2	2	2022-02-19 13:01:01.252
29863	1984-03-03	2	1	2022-02-19 09:51:56.188
41548	1952-02-25	3	2	2022-02-19 10:29:42.183
24239	1952-09-04	3	2	2022-02-19 08:42:17.683
21278	2006-02-14	2	1	2022-02-19 07:29:40.842
11245	1996-02-08	1	1	2022-02-19 18:30:38.803
38509	1966-09-01	1	1	2022-02-19 06:50:13.714
41481	1995-10-22	2	1	2022-02-19 11:03:48.392
10544	1988-01-02	3	2	2022-02-19 22:52:58.581
31049	1964-08-26	1	2	2022-02-19 15:23:48.897
11735	1961-12-02	3	2	2022-02-19 16:41:09.113
15160	1981-05-31	3	1	2022-02-19 18:27:52.052
35700	1963-11-06	3	1	2022-02-19 06:09:47.997
12169	1996-12-25	2	1	2022-02-19 15:08:42.584
8612	1978-09-11	3	1	2022-02-19 21:07:00.711
33300	1995-07-17	2	2	2022-02-19 09:49:25.541
38516	1963-09-18	1	2	2022-02-19 05:30:45.584
34074	1964-02-26	3	2	2022-02-19 17:10:51.519
13762	1984-05-22	1	1	2022-02-19 12:12:57.884
42685	1988-07-18	1	2	2022-02-19 14:37:31.323
20633	2005-07-15	1	2	2022-02-19 03:58:42.769
799	1964-07-16	1	1	2022-02-19 08:38:13.686
28202	1956-08-25	1	1	2022-02-19 17:17:02.223
2135	1991-08-12	2	2	2022-02-19 07:05:46.773
40852	1985-10-21	3	2	2022-02-19 16:22:21.081
27252	1954-07-04	2	2	2022-02-19 07:17:43.563
8212	1988-07-08	1	1	2022-02-19 00:40:40.370
1702	1998-12-10	1	2	2022-02-19 09:03:34.376
29458	2008-07-11	1	1	2022-02-19 03:35:23.435
31117	2003-05-11	3	2	2022-02-19 20:30:44.724
27263	1984-05-09	1	2	2022-02-19 08:36:15.730
378	1950-12-15	3	2	2022-02-19 05:36:48.117
43093	1978-11-07	1	1	2022-02-19 13:12:25.965
4256	1983-01-30	3	1	2022-02-19 16:43:59.208
2858	2009-09-08	2	1	2022-02-19 22:13:49.434
15188	1994-11-29	1	1	2022-02-19 09:02:00.704
39447	1988-11-15	2	1	2022-02-19 10:45:58.361
22708	2003-11-23	1	1	2022-02-19 19:26:32.211
27082	1969-12-05	1	1	2022-02-19 15:54:45.615
27424	1982-01-23	1	2	2022-02-19 11:39:30.186
37407	1981-12-06	1	1	2022-02-19 00:22:34.421
39308	1989-06-21	2	2	2022-02-19 17:19:02.909
13452	1954-03-06	1	1	2022-02-19 23:12:13.975
33880	2006-07-13	3	1	2022-02-19 16:49:21.163
1132	2004-06-20	2	2	2022-02-19 17:11:31.402
17818	1984-02-05	1	1	2022-02-19 18:16:43.110
8751	1962-06-24	2	1	2022-02-19 16:32:33.073
33898	1982-03-25	3	1	2022-02-19 15:09:50.668
20673	1974-12-11	1	2	2022-02-19 21:50:00.947
6541	1956-12-21	1	1	2022-02-19 11:01:06.187
21040	1957-10-28	2	1	2022-02-19 20:40:55.292
4465	1992-01-01	3	1	2022-02-19 04:33:57.868
40995	2004-06-15	2	1	2022-02-19 14:08:17.939
32517	1983-01-05	3	1	2022-02-19 15:11:32.322
30222	1954-12-15	3	2	2022-02-19 15:39:46.004
24376	1979-07-16	1	2	2022-02-19 05:38:00.094
19267	1962-04-08	1	2	2022-02-19 20:38:32.833
11705	1990-07-28	1	1	2022-02-19 06:12:59.674
32208	1975-03-24	3	2	2022-02-19 20:23:02.186
39712	1991-08-30	2	1	2022-02-19 03:30:33.376
24586	1987-09-10	3	1	2022-02-19 23:28:45.415
2182	2009-03-23	2	2	2022-02-19 16:43:10.603
18219	1979-05-28	3	1	2022-02-19 05:29:59.982
42052	1964-02-19	2	1	2022-02-19 10:54:20.825
24736	2004-05-18	2	1	2022-02-19 09:43:26.589
776	1952-06-12	2	1	2022-02-19 14:18:33.238
29569	1984-07-28	2	1	2022-02-19 08:30:05.226
27296	1962-12-27	2	1	2022-02-19 07:19:53.756
15473	1972-02-19	1	2	2022-02-19 20:15:47.090
41173	1963-06-14	2	1	2022-02-19 05:51:11.868
15678	1952-12-08	1	1	2022-02-19 14:46:50.538
27993	1996-11-19	1	2	2022-02-19 05:10:06.268
13509	1958-07-22	3	2	2022-02-19 10:50:12.644
36724	1994-12-02	1	1	2022-02-19 14:25:06.884
27883	1961-07-10	3	1	2022-02-19 22:53:18.650
40738	2005-11-29	3	2	2022-02-19 13:21:29.068
41597	1957-06-13	3	1	2022-02-19 11:28:37.748
6569	1985-08-23	2	1	2022-02-19 21:29:44.240
7553	1950-01-08	1	1	2022-02-19 12:00:36.672
26525	1993-05-06	1	2	2022-02-19 14:20:51.666
36814	1989-11-28	1	1	2022-02-19 21:01:47.821
35448	1960-05-13	1	2	2022-02-19 16:42:18.802
18100	1952-10-30	2	1	2022-02-19 11:17:56.265
23610	1981-10-07	1	1	2022-02-19 20:22:55.165
8678	1970-03-03	3	2	2022-02-19 01:11:51.472
23273	1998-06-14	1	2	2022-02-19 07:19:23.591
19252	2008-08-08	3	1	2022-02-19 10:57:13.501
12858	1957-11-11	1	2	2022-02-19 01:28:02.787
35850	2008-10-17	1	2	2022-02-19 14:14:25.499
32951	1986-06-07	2	2	2022-02-19 19:04:58.619
22870	1969-02-02	3	1	2022-02-19 02:32:03.761
40301	1988-06-30	2	1	2022-02-19 00:44:22.602
8202	1970-09-19	1	2	2022-02-19 10:02:41.811
18780	1985-12-20	3	2	2022-02-19 19:23:43.469
25228	2009-10-24	2	2	2022-02-19 02:49:32.798
12590	1998-01-04	2	2	2022-02-19 05:36:56.758
14973	1987-05-23	3	1	2022-02-19 04:45:53.963
34105	1953-04-10	2	2	2022-02-19 17:05:52.013
13409	2009-07-05	1	2	2022-02-19 12:35:11.250
5501	1958-11-08	2	2	2022-02-19 02:00:45.855
62	2007-02-07	3	1	2022-02-19 08:54:23.216
19297	1962-04-06	3	1	2022-02-19 19:59:43.487
